指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
寶島股價指數,"17,903.87",+,3.93,0.02,
發行量加權股價指數,"15,598.72",+,0.23,--,
臺灣公司治理100指數,"8,891.46",-,10.81,-0.12,
臺灣50指數,"11,929.01",-,31.59,-0.26,
臺灣50權重上限30%指數,"11,269.82",-,18.70,-0.17,
臺灣中型100指數,"13,824.66",+,23.09,0.17,
臺灣資訊科技指數,"20,771.95",-,76.75,-0.37,
臺灣發達指數,"10,013.44",+,61.05,0.61,
臺灣高股息指數,"6,513.18",+,37.87,0.58,
臺灣就業99指數,"9,573.24",+,16.53,0.17,
臺灣高薪100指數,"8,500.40",+,9.89,0.12,
未含金融指數,"13,476.15",+,5.51,0.04,
未含電子指數,"17,948.52",+,44.90,0.25,
未含金融電子指數,"15,076.99",+,72.88,0.49,
小型股300指數,"8,860.50",+,35.18,0.40,
水泥窯製類指數,657.70,+,0.07,0.01,
塑膠化工類指數,853.78,+,3.89,0.46,
機電類指數,"4,112.89",-,6.53,-0.16,
水泥類指數,170.06,+,0.41,0.24,
食品類指數,"1,885.61",+,10.88,0.58,
塑膠類指數,246.05,+,0.41,0.17,
紡織纖維類指數,588.35,+,3.60,0.62,
電機機械類指數,263.02,+,0.22,0.08,
電器電纜類指數,113.37,-,0.97,-0.85,
化學生技醫療類指數,125.38,+,1.36,1.10,
化學類指數,136.77,+,0.79,0.58,
生技醫療類指數,78.20,+,1.19,1.55,
玻璃陶瓷類指數,58.56,-,0.80,-1.35,
造紙類指數,315.74,+,0.75,0.24,
鋼鐵類指數,147.13,+,1.49,1.02,
橡膠類指數,239.89,+,1.02,0.43,
汽車類指數,345.74,-,2.21,-0.64,
電子工業類指數,732.46,-,1.17,-0.16,
半導體類指數,353.58,-,1.86,-0.52,
電腦及週邊設備類指數,134.81,+,0.49,0.36,
光電類指數,35.40,+,0.07,0.20,
通信網路類指數,131.27,+,1.12,0.86,
電子零組件類指數,164.05,+,0.63,0.39,
電子通路類指數,181.68,+,2.82,1.58,
資訊服務類指數,139.13,+,0.34,0.24,
其他電子類指數,98.99,+,0.27,0.27,
建材營造類指數,363.62,-,0.05,-0.01,
航運類指數,169.99,+,3.82,2.30,
觀光類指數,146.27,+,1.57,1.09,
金融保險類指數,"1,557.46",-,4.59,-0.29,
貿易百貨類指數,299.90,+,2.55,0.86,
油電燃氣類指數,110.14,-,0.09,-0.08,
其他類指數,371.60,+,0.07,0.02,
臺指日報酬兩倍指數,"30,301.26",+,0.89,--,
臺指反向一倍指數,"4,368.64",-,0.06,--,
電子類兩倍槓桿指數,"29,239.10",-,93.56,-0.32,
電子類反向指數,"3,885.31",+,6.19,0.16,
價格指數(跨市場),,,,,
指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
臺灣生技指數,"4,595.63",+,65.92,1.46,
