指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
寶島股價指數,"15,378.26",-,443.13,-2.80,
發行量加權股價指數,"13,466.07",-,360.52,-2.61,
臺灣公司治理100指數,"7,702.37",-,178.23,-2.26,
臺灣50指數,"10,259.40",-,238.70,-2.27,
臺灣50權重上限30%指數,"9,749.68",-,228.15,-2.29,
臺灣中型100指數,"11,759.14",-,389.94,-3.21,
臺灣資訊科技指數,"17,262.42",-,459.84,-2.59,
臺灣發達指數,"9,017.32",-,223.84,-2.42,
臺灣高股息指數,"5,498.81",-,114.49,-2.04,
臺灣就業99指數,"8,207.20",-,214.90,-2.55,
臺灣高薪100指數,"7,438.12",-,185.65,-2.44,
未含金融指數,"11,504.86",-,322.91,-2.73,
未含電子指數,"16,128.26",-,395.65,-2.39,
未含金融電子指數,"13,309.98",-,366.92,-2.68,
小型股300指數,"7,555.53",-,297.29,-3.79,
水泥窯製類指數,581.84,-,13.99,-2.35,
塑膠化工類指數,772.29,-,18.48,-2.34,
機電類指數,"3,448.97",-,98.73,-2.78,
水泥類指數,154.59,-,3.73,-2.36,
食品類指數,"1,792.77",-,10.20,-0.57,
塑膠類指數,224.07,-,2.75,-1.21,
紡織纖維類指數,545.87,-,15.12,-2.70,
電機機械類指數,204.98,-,6.15,-2.91,
電器電纜類指數,89.93,-,5.51,-5.77,
化學生技醫療類指數,108.38,-,5.29,-4.65,
化學類指數,123.83,-,5.43,-4.20,
生技醫療類指數,64.73,-,3.48,-5.10,
玻璃陶瓷類指數,43.48,-,1.03,-2.31,
造紙類指數,279.45,-,9.05,-3.14,
鋼鐵類指數,123.90,-,2.65,-2.09,
橡膠類指數,236.80,-,6.98,-2.86,
汽車類指數,307.34,-,10.06,-3.17,
電子工業類指數,615.71,-,17.43,-2.75,
半導體類指數,286.69,-,8.11,-2.75,
電腦及週邊設備類指數,115.71,-,1.60,-1.36,
光電類指數,29.48,-,1.66,-5.33,
通信網路類指數,128.23,-,1.35,-1.04,
電子零組件類指數,139.44,-,6.18,-4.24,
電子通路類指數,158.90,-,2.52,-1.56,
資訊服務類指數,119.09,-,3.02,-2.47,
其他電子類指數,92.71,-,2.78,-2.91,
建材營造類指數,332.14,-,8.01,-2.35,
航運類指數,149.94,-,10.34,-6.45,
觀光類指數,99.56,-,3.07,-2.99,
金融保險類指數,"1,457.27",-,25.87,-1.74,
貿易百貨類指數,265.08,-,3.62,-1.35,
油電燃氣類指數,105.52,+,0.61,0.58,
其他類指數,318.91,-,9.45,-2.88,
臺指日報酬兩倍指數,"22,924.04",-,"1,261.23",-5.21,
臺指反向一倍指數,"5,137.79",+,130.56,2.61,
電子類兩倍槓桿指數,"21,208.27",-,"1,235.74",-5.51,
電子類反向指數,"4,746.32",+,127.16,2.75,
價格指數(跨市場),,,,,
指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
臺灣生技指數,"3,911.08",-,241.40,-5.81,
臺灣中小型公司治理指數,"5,962.25",-,201.20,-3.26,
臺灣IPO指數,"4,488.76",-,264.01,-5.55,
智慧中立指數,"3,510.96",-,4.74,-0.13,
臺灣5G指數,"6,359.49",-,203.45,-3.10,
臺灣企業社會責任中小型指數,"7,200.21",-,194.08,-2.62,
特選臺灣電動車代表指數,"5,288.38",-,140.14,-2.58,
臺灣5G+通訊指數,"4,919.77",-,151.15,-2.98,
臺灣全市場指數,"4,547.20",-,133.09,-2.84,
臺灣全市場半導體指數,"3,921.83",-,154.16,-3.78,
臺灣電動車與自駕科技永續概念指數,"3,571.44",-,106.36,-2.89,
臺灣智慧移動與電動車指數,"3,225.04",-,141.82,-4.21,
特選小資高價30指數,"3,706.08",-,142.03,-3.69,
特選臺灣綠能及電動車指數,"3,927.58",-,99.38,-2.47,
特選臺灣智能車供應鏈聯盟指數,"3,678.57",-,112.63,-2.97,
臺灣全市場半導體精選30指數,"3,080.59",-,113.41,-3.55,
特選臺灣高股息30指數,"3,413.78",-,96.96,-2.76,
臺灣友善環境指數,"4,027.14",-,114.36,-2.76,
台灣永續價值指數,"3,842.35",-,85.57,-2.18,
特選臺灣IC設計指數,"2,159.12",-,115.58,-5.08,
特選臺灣環境永續高股息指數,"3,553.17",-,89.88,-2.47,
臺灣友善環境50指數,"3,491.82",-,89.25,-2.49,
特選台灣策略高股息30指數,"3,295.58",-,93.33,-2.75,
特選臺灣IC設計產業代表指數,"2,562.45",-,118.16,-4.41,
特選臺灣綠能指數,"4,281.00",-,141.10,-3.19,
特選臺灣成長高股息指數,"3,293.93",-,98.13,-2.89,
特選臺灣智慧50指數,"3,217.06",-,116.87,-3.51,
特選臺灣標竿PCB指數,"3,219.17",-,180.03,-5.30,
臺灣晶圓製造指數,"3,571.26",-,133.55,-3.60,
臺灣精選高息指數,"3,236.81",-,98.47,-2.95,
臺灣多因子優選高股息30指數,"4,316.01",-,76.15,-1.73,
特選臺灣優利高填息30指數,"3,873.95",-,110.04,-2.76,
價格指數(臺灣指數公司),,,,,
指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
金融類日報酬兩倍指數,"23,595.47",-,852.89,-3.49,
金融類日報酬反向一倍指數,"5,268.45",+,90.32,1.74,
漲升股利150指數,"7,038.33",-,180.33,-2.50,
藍籌30指數,"6,442.45",-,164.39,-2.49,
工業菁英30指數,"6,705.25",-,203.51,-2.95,
電子菁英30指數,"6,506.90",-,254.81,-3.77,
低波動股利精選30指數,"6,432.35",-,68.60,-1.06,
中小型A級動能50指數,"12,330.18",-,673.26,-5.18,
特選高息低波指數,"6,156.49",-,109.79,-1.75,
臺灣永續指數,"6,877.47",-,156.47,-2.22,
特選內需高收益指數,"5,520.43",-,69.78,-1.25,
價值投資指數,"4,725.28",-,243.98,-4.91,
存股雙十等權重指數,"5,988.54",-,161.51,-2.63,
特選大蘋果指數,"5,843.08",-,207.86,-3.44,
中小型300指數,"7,539.44",-,277.27,-3.55,
特股高息20指數,"5,637.10",-,45.94,-0.81,
臺灣500指數,"6,946.65",-,184.94,-2.59,
臺灣勞工權益指數,"6,601.09",-,143.90,-2.13,
微波高息精選20指數,"6,046.17",-,58.01,-0.95,
特選世代行動通訊指數,"5,557.22",-,252.07,-4.34,
智慧投資多因子30指數,"4,492.00",-,86.53,-1.89,
臺股期貨指數,"7,072.43",-,158.56,-2.19,
特選價值成長指數,"5,267.11",-,220.35,-4.02,
臺灣上櫃永續指數,"4,792.34",-,244.52,-4.85,
特選台股領航指數,"5,929.79",-,167.52,-2.75,
特選Smart多因子指數,"4,954.23",-,137.46,-2.70,
特選ESG高股息指數,"3,459.95",-,82.43,-2.33,
特選上櫃ESG成長指數,"3,453.50",-,174.67,-4.81,
特選上櫃ESG電子菁英指數,"3,531.02",-,174.13,-4.70,
新臺灣高股息指數,"3,965.45",-,92.26,-2.27,
臺灣優息存股指數,"4,381.35",-,93.81,-2.10,
特選上櫃ESG永續高股息指數,"4,952.92",-,245.10,-4.72,
特選臺灣金融高股息存股指數,"4,706.79",-,94.87,-1.98,
報酬指數(臺灣證券交易所),,,,,
報酬指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
寶島股價報酬指數,"21,479.13",-,618.93,-2.80,
發行量加權股價報酬指數,"27,945.29",-,748.16,-2.61,
臺灣公司治理100報酬指數,"10,564.37",-,244.45,-2.26,
臺灣50報酬指數,"21,445.39",-,498.93,-2.27,
臺灣50權重上限30%報酬指數,"20,598.24",-,482.00,-2.29,
臺灣中型100報酬指數,"22,987.00",-,762.26,-3.21,
臺灣資訊科技股報酬指數,"33,879.32",-,902.50,-2.59,
臺灣發達報酬指數,"17,385.31",-,431.52,-2.42,
臺灣高股息報酬指數,"15,169.91",-,315.86,-2.04,
臺灣就業99報酬指數,"12,801.12",-,335.17,-2.55,
臺灣高薪100報酬指數,"10,722.09",-,267.62,-2.44,
未含金融電子報酬指數,"28,306.88",-,780.33,-2.68,
小型股300報酬指數,"10,002.88",-,393.59,-3.79,
水泥類報酬指數,307.20,-,7.41,-2.36,
