指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
寶島股價指數,"17,408.43",+,158.12,0.92,
發行量加權股價指數,"15,200.04",+,130.85,0.87,
臺灣公司治理100指數,"8,746.38",+,73.87,0.85,
臺灣50指數,"11,679.71",+,100.69,0.87,
臺灣50權重上限30%指數,"11,037.66",+,91.07,0.83,
臺灣中型100指數,"13,015.32",+,111.53,0.86,
臺灣資訊科技指數,"19,840.38",+,173.46,0.88,
臺灣發達指數,"9,987.41",+,84.70,0.86,
臺灣高股息指數,"6,176.95",+,29.51,0.48,
臺灣就業99指數,"9,092.20",+,55.90,0.62,
臺灣高薪100指數,"8,304.77",+,65.43,0.79,
未含金融指數,"13,053.16",+,114.48,0.88,
未含電子指數,"17,852.21",+,137.31,0.78,
未含金融電子指數,"14,843.77",+,115.81,0.79,
小型股300指數,"8,439.37",+,74.49,0.89,
水泥窯製類指數,642.02,+,3.47,0.54,
塑膠化工類指數,846.26,+,4.65,0.55,
機電類指數,"3,940.35",+,36.39,0.93,
水泥類指數,170.95,+,1.01,0.59,
食品類指數,"1,846.19",+,13.85,0.76,
塑膠類指數,244.00,+,1.22,0.50,
紡織纖維類指數,579.58,+,7.20,1.26,
電機機械類指數,229.46,+,3.17,1.40,
電器電纜類指數,95.85,-,0.18,-0.19,
化學生技醫療類指數,122.43,+,1.18,0.97,
化學類指數,143.14,+,1.97,1.40,
生技醫療類指數,71.45,+,0.39,0.55,
玻璃陶瓷類指數,47.25,+,0.08,0.17,
造紙類指數,305.87,+,0.13,0.04,
鋼鐵類指數,139.77,+,0.42,0.30,
橡膠類指數,248.35,-,0.79,-0.32,
汽車類指數,327.57,+,4.15,1.28,
電子工業類指數,704.20,+,6.49,0.93,
半導體類指數,336.35,+,3.64,1.09,
電腦及週邊設備類指數,123.49,+,0.92,0.75,
光電類指數,33.55,+,0.38,1.15,
通信網路類指數,136.19,+,0.87,0.64,
電子零組件類指數,158.79,+,1.01,0.64,
電子通路類指數,172.92,+,0.90,0.52,
資訊服務類指數,128.27,+,1.27,1.00,
其他電子類指數,101.95,+,0.38,0.37,
建材營造類指數,358.86,+,2.16,0.61,
航運類指數,194.67,+,2.05,1.06,
觀光類指數,97.67,+,0.25,0.26,
金融保險類指數,"1,585.88",+,11.79,0.75,
貿易百貨類指數,290.44,-,0.12,-0.04,
油電燃氣類指數,113.56,+,1.58,1.41,
其他類指數,361.36,+,3.22,0.90,
臺指日報酬兩倍指數,"29,325.49",+,500.59,1.74,
臺指反向一倍指數,"4,569.44",-,40.03,-0.87,
電子類兩倍槓桿指數,"27,882.19",+,509.24,1.86,
電子類反向指數,"4,170.12",-,39.15,-0.93,
價格指數(跨市場),,,,,
指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
臺灣生技指數,"4,543.57",+,65.20,1.46,
臺灣中小型公司治理指數,"6,835.88",+,78.71,1.16,
臺灣IPO指數,"5,378.11",+,69.91,1.32,
智慧中立指數,"3,655.46",+,1.73,0.05,
臺灣5G指數,"7,346.76",+,48.89,0.67,
臺灣企業社會責任中小型指數,"7,898.19",+,46.93,0.60,
特選臺灣電動車代表指數,"5,614.96",+,23.56,0.42,
臺灣5G+通訊指數,"5,625.20",+,44.94,0.81,
臺灣全市場指數,"5,168.14",+,47.46,0.93,
臺灣全市場半導體指數,"4,731.65",+,65.49,1.40,
臺灣電動車與自駕科技永續概念指數,"4,076.89",+,39.65,0.98,
臺灣智慧移動與電動車指數,"3,755.99",+,41.59,1.12,
特選小資高價30指數,"4,371.29",+,63.44,1.47,
特選臺灣綠能及電動車指數,"4,361.15",+,31.88,0.74,
特選臺灣智能車供應鏈聯盟指數,"4,172.51",+,32.56,0.79,
臺灣全市場半導體精選30指數,"3,722.52",+,52.69,1.44,
特選臺灣高股息30指數,"3,792.44",+,28.04,0.74,
臺灣友善環境指數,"4,544.95",+,29.79,0.66,
台灣永續價值指數,"4,265.42",+,30.79,0.73,
特選臺灣IC設計指數,"2,783.54",+,61.22,2.25,
特選臺灣環境永續高股息指數,"3,972.48",+,26.46,0.67,
臺灣友善環境50指數,"3,972.36",+,28.30,0.72,
特選台灣策略高股息30指數,"3,757.24",+,25.67,0.69,
特選臺灣IC設計產業代表指數,"3,258.34",+,67.17,2.10,
特選臺灣綠能指數,"4,720.48",+,21.48,0.46,
特選臺灣成長高股息指數,"3,715.66",+,15.74,0.43,
特選臺灣智慧50指數,"3,867.08",+,50.19,1.31,
特選臺灣標竿PCB指數,"3,800.92",+,11.28,0.30,
臺灣晶圓製造指數,"4,284.38",+,53.18,1.26,
臺灣精選高息指數,"3,776.56",+,29.52,0.79,
臺灣多因子優選高股息30指數,"4,707.20",+,14.06,0.30,
特選臺灣優利高填息30指數,"4,434.00",+,43.16,0.98,
價格指數(臺灣指數公司),,,,,
指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
金融類日報酬兩倍指數,"28,006.64",+,413.35,1.50,
金融類日報酬反向一倍指數,"4,851.80",-,36.61,-0.75,
漲升股利150指數,"7,828.99",+,53.28,0.69,
藍籌30指數,"7,342.39",+,64.08,0.88,
工業菁英30指數,"7,757.37",+,81.55,1.06,
電子菁英30指數,"7,418.20",+,84.16,1.15,
低波動股利精選30指數,"6,950.97",+,52.53,0.76,
中小型A級動能50指數,"13,864.92",+,298.04,2.20,
特選高息低波指數,"6,621.91",+,18.60,0.28,
臺灣永續指數,"7,722.87",+,58.96,0.77,
特選內需高收益指數,"5,873.60",+,9.99,0.17,
價值投資指數,"5,818.31",+,70.27,1.22,
存股雙十等權重指數,"6,775.22",+,62.96,0.94,
特選大蘋果指數,"6,466.03",+,35.05,0.55,
中小型300指數,"8,430.11",+,66.08,0.79,
特股高息20指數,"5,936.27",+,12.84,0.22,
臺灣500指數,"7,835.07",+,66.38,0.85,
臺灣勞工權益指數,"7,198.56",+,52.63,0.74,
微波高息精選20指數,"6,381.30",+,40.10,0.63,
特選世代行動通訊指數,"6,394.41",+,101.95,1.62,
智慧投資多因子30指數,"5,131.19",+,39.28,0.77,
臺股期貨指數,"7,929.37",+,71.60,0.91,
特選價值成長指數,"6,200.35",+,47.29,0.77,
臺灣上櫃永續指數,"5,876.99",+,102.71,1.78,
特選台股領航指數,"6,749.10",+,41.92,0.63,
特選Smart多因子指數,"5,683.67",+,42.23,0.75,
特選ESG高股息指數,"3,949.01",+,38.05,0.97,
特選上櫃ESG成長指數,"4,298.72",+,98.98,2.36,
特選上櫃ESG電子菁英指數,"4,451.00",+,82.71,1.89,
新臺灣高股息指數,"4,348.45",+,32.78,0.76,
臺灣優息存股指數,"4,764.96",+,32.14,0.68,
報酬指數(臺灣證券交易所),,,,,
報酬指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
寶島股價報酬指數,"24,246.85",+,229.28,0.95,
發行量加權股價報酬指數,"31,453.34",+,282.79,0.91,
臺灣公司治理100報酬指數,"11,964.77",+,102.06,0.86,
臺灣50報酬指數,"24,333.63",+,209.76,0.87,
臺灣50權重上限30%報酬指數,"23,259.26",+,191.91,0.83,
臺灣中型100報酬指數,"25,365.89",+,246.78,0.98,
臺灣資訊科技股報酬指數,"38,762.87",+,349.24,0.91,
臺灣發達報酬指數,"19,242.41",+,166.41,0.87,
臺灣高股息報酬指數,"17,040.73",+,103.86,0.61,
臺灣就業99報酬指數,"14,163.28",+,91.66,0.65,
臺灣高薪100報酬指數,"11,950.60",+,94.15,0.79,
未含金融電子報酬指數,"31,495.22",+,261.81,0.84,
小型股300報酬指數,"11,143.03",+,108.40,0.98,
水泥類報酬指數,339.53,+,2.01,0.60,
食品類報酬指數,"2,883.81",+,21.64,0.76,
塑膠類報酬指數,447.76,+,2.29,0.51,
紡織纖維類報酬指數,944.36,+,12.43,1.33,
電機機械類報酬指數,344.67,+,4.86,1.43,
電器電纜類報酬指數,147.50,-,0.27,-0.18,
化學生技醫療類報酬指數,191.25,+,1.85,0.98,
化學類報酬指數,238.88,+,3.28,1.39,
生技醫療類報酬指數,101.06,+,0.55,0.55,
玻璃陶瓷類報酬指數,59.73,+,0.11,0.18,
造紙類報酬指數,475.88,+,0.19,0.04,
鋼鐵類報酬指數,235.72,+,0.72,0.31,
橡膠類報酬指數,397.49,+,0.99,0.25,
汽車類報酬指數,525.68,+,9.81,1.90,
電子工業類報酬指數,"1,317.44",+,12.67,0.97,
半導體類報酬指數,589.09,+,6.55,1.12,
電腦及週邊設備類報酬指數,272.52,+,2.24,0.83,
光電類報酬指數,49.48,+,0.58,1.19,
通信網路類報酬指數,285.81,+,1.98,0.70,
電子零組件類報酬指數,294.74,+,2.26,0.77,
電子通路類報酬指數,415.27,+,2.15,0.52,
資訊服務類報酬指數,299.06,+,2.96,1.00,
其他電子類報酬指數,164.32,+,0.60,0.37,
建材營造類報酬指數,707.23,+,4.24,0.60,
航運類報酬指數,311.08,+,3.28,1.07,
觀光類報酬指數,135.54,+,0.40,0.30,
金融保險類報酬指數,"2,752.91",+,20.47,0.75,
貿易百貨類報酬指數,450.55,-,0.17,-0.04,
油電燃氣類報酬指數,179.76,+,2.50,1.41,
其他類報酬指數,613.54,+,5.47,0.90,
報酬指數(跨市場),,,,,
報酬指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
臺灣生技報酬指數,"5,022.12",+,72.06,1.46,
臺灣中小型公司治理報酬指數,"8,976.77",+,126.10,1.42,
臺灣IPO報酬指數,"6,253.70",+,82.11,1.33,
智慧中立報酬指數,"4,223.85",+,3.82,0.09,
加權指數掩護性臺指買權價外5%報酬指數,"6,847.13",+,61.55,0.91,
臺灣5G報酬指數,"8,203.67",+,58.49,0.72,
臺灣企業社會責任中小型報酬指數,"9,173.48",+,65.63,0.72,
特選臺灣電動車代表報酬指數,"6,316.25",+,30.06,0.48,
臺灣5G+通訊報酬指數,"6,091.77",+,50.90,0.84,
臺灣全市場報酬指數,"5,536.27",+,52.41,0.96,
臺灣全市場半導體報酬指數,"5,083.99",+,72.19,1.44,
臺灣電動車與自駕科技永續概念報酬指數,"4,417.13",+,42.96,0.98,
