指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
寶島股價指數,"16,604.63",+,92.00,0.56,
發行量加權股價指數,"14,542.20",+,92.81,0.64,
臺灣公司治理100指數,"8,388.31",+,76.56,0.92,
臺灣50指數,"11,279.23",+,116.37,1.04,
臺灣50權重上限30%指數,"10,653.40",+,82.66,0.78,
臺灣中型100指數,"12,576.13",-,5.33,-0.04,
臺灣資訊科技指數,"19,429.62",+,197.15,1.03,
臺灣發達指數,"9,425.67",+,35.62,0.38,
臺灣高股息指數,"5,868.12",-,24.63,-0.42,
臺灣就業99指數,"8,886.83",+,25.73,0.29,
臺灣高薪100指數,"7,968.24",+,38.35,0.48,
未含金融指數,"12,516.93",+,79.15,0.64,
未含電子指數,"16,730.33",+,70.59,0.42,
未含金融電子指數,"13,885.80",+,42.73,0.31,
小型股300指數,"7,925.16",-,6.17,-0.08,
水泥窯製類指數,600.04,+,0.59,0.10,
塑膠化工類指數,815.03,+,4.99,0.62,
機電類指數,"3,819.01",+,28.64,0.76,
水泥類指數,150.71,-,0.65,-0.43,
食品類指數,"1,759.10",-,3.89,-0.22,
塑膠類指數,244.33,+,2.49,1.03,
紡織纖維類指數,556.00,+,0.44,0.08,
電機機械類指數,213.36,+,0.48,0.23,
電器電纜類指數,97.87,-,0.91,-0.92,
化學生技醫療類指數,109.13,-,0.05,-0.05,
化學類指數,125.15,+,0.24,0.19,
生技醫療類指數,64.93,-,0.19,-0.29,
玻璃陶瓷類指數,62.66,+,1.72,2.82,
造紙類指數,306.31,+,0.50,0.16,
鋼鐵類指數,134.75,-,0.52,-0.38,
橡膠類指數,229.46,-,0.78,-0.34,
汽車類指數,325.81,-,0.46,-0.14,
電子工業類指數,682.90,+,5.31,0.78,
半導體類指數,328.09,+,4.20,1.30,
電腦及週邊設備類指數,120.35,-,0.38,-0.31,
光電類指數,33.56,-,0.15,-0.44,
通信網路類指數,122.06,-,0.07,-0.06,
電子零組件類指數,160.10,-,0.24,-0.15,
電子通路類指數,167.07,+,1.20,0.72,
資訊服務類指數,119.72,+,0.30,0.25,
其他電子類指數,94.71,+,0.30,0.32,
建材營造類指數,345.22,+,1.09,0.32,
航運類指數,151.60,+,1.01,0.67,
觀光類指數,103.46,-,0.46,-0.44,
金融保險類指數,"1,492.38",+,10.17,0.69,
貿易百貨類指數,267.03,+,0.13,0.05,
油電燃氣類指數,109.51,+,0.98,0.90,
其他類指數,340.79,+,1.73,0.51,
臺指日報酬兩倍指數,"26,503.74",+,336.15,1.28,
臺指反向一倍指數,"4,716.48",-,30.49,-0.64,
電子類兩倍槓桿指數,"25,694.09",+,396.49,1.57,
電子類反向指數,"4,214.07",-,33.28,-0.78,
價格指數(跨市場),,,,,
指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
臺灣生技指數,"4,196.77",-,38.49,-0.91,
臺灣中小型公司治理指數,"6,581.24",-,10.12,-0.15,
臺灣IPO指數,"4,544.57",-,43.22,-0.94,
智慧中立指數,"3,444.86",+,5.66,0.16,
臺灣5G指數,"7,349.28",+,15.85,0.22,
臺灣企業社會責任中小型指數,"7,756.83",-,10.43,-0.13,
特選臺灣電動車代表指數,"5,584.66",-,33.01,-0.59,
臺灣5G+通訊指數,"5,539.69",+,26.82,0.49,
臺灣全市場指數,"4,937.69",+,30.95,0.63,
臺灣全市場半導體指數,"4,671.07",+,15.70,0.34,
臺灣電動車與自駕科技永續概念指數,"4,072.69",+,9.85,0.24,
臺灣智慧移動與電動車指數,"3,813.20",-,7.67,-0.20,
特選小資高價30指數,"4,393.72",+,15.94,0.36,
特選臺灣綠能及電動車指數,"4,243.69",+,1.51,0.04,
特選臺灣智能車供應鏈聯盟指數,"4,139.45",+,20.05,0.49,
臺灣全市場半導體精選30指數,"3,716.10",+,15.04,0.41,
特選臺灣高股息30指數,"3,724.19",-,2.37,-0.06,
臺灣友善環境指數,"4,395.10",+,24.56,0.56,
台灣永續價值指數,"4,129.87",+,32.91,0.80,
特選臺灣IC設計指數,"2,734.78",-,16.95,-0.62,
特選臺灣環境永續高股息指數,"3,933.79",-,9.72,-0.25,
臺灣友善環境50指數,"3,857.12",+,27.14,0.71,
特選台灣策略高股息30指數,"3,626.13",-,13.87,-0.38,
特選臺灣IC設計產業代表指數,"3,293.85",-,16.76,-0.51,
特選臺灣綠能指數,"4,519.90",-,26.25,-0.58,
特選臺灣成長高股息指數,"3,754.89",+,0.98,0.03,
特選臺灣智慧50指數,"3,675.38",+,23.93,0.66,
特選臺灣標竿PCB指數,"3,778.03",-,2.30,-0.06,
臺灣晶圓製造指數,"4,329.77",+,29.30,0.68,
臺灣精選高息指數,"3,686.15",+,1.60,0.04,
臺灣多因子優選高股息30指數,"4,667.39",+,34.03,0.73,
特選臺灣優利高填息30指數,"4,319.23",+,6.64,0.15,
臺灣多因子優選成長30指數,"5,179.98",+,58.96,1.15,
價格指數(臺灣指數公司),,,,,
指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
