指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
寶島股價指數,"20,526.41",-,147.23,-0.71,
發行量加權股價指數,"17,889.56",-,145.07,-0.80,
臺灣公司治理100指數,"10,089.66",-,104.96,-1.03,
臺灣50指數,"13,514.69",-,158.56,-1.16,
臺灣50權重上限30%指數,"12,501.61",-,102.44,-0.81,
臺灣中型100指數,"18,232.90",-,89.08,-0.49,
臺灣資訊科技指數,"26,278.24",-,389.94,-1.46,
臺灣發達指數,"9,440.26",-,18.83,-0.20,
臺灣高股息指數,"8,819.31",-,30.42,-0.34,
臺灣就業99指數,"11,588.13",-,51.76,-0.44,
臺灣高薪100指數,"9,840.28",-,45.91,-0.46,
未含金融指數,"15,579.13",-,145.02,-0.92,
未含電子指數,"17,961.07",+,4.89,0.03,
未含金融電子指數,"14,598.38",-,5.42,-0.04,
小型股300指數,"10,062.62",-,18.81,-0.19,
水泥窯製類指數,578.61,-,2.14,-0.37,
塑膠化工類指數,768.19,-,1.14,-0.15,
機電類指數,"5,091.33",-,61.17,-1.19,
水泥類指數,150.50,-,0.47,-0.31,
食品類指數,"2,029.68",+,12.76,0.63,
塑膠類指數,200.62,-,0.43,-0.21,
紡織纖維類指數,614.24,+,1.17,0.19,
電機機械類指數,319.56,+,1.87,0.59,
電器電纜類指數,100.09,-,0.24,-0.24,
化學生技醫療類指數,126.95,-,0.31,-0.24,
化學類指數,159.57,-,1.49,-0.93,
生技醫療類指數,68.53,+,0.21,0.31,
玻璃陶瓷類指數,49.61,-,0.36,-0.72,
造紙類指數,329.71,+,0.84,0.26,
鋼鐵類指數,141.05,-,0.29,-0.21,
橡膠類指數,264.38,+,1.26,0.48,
汽車類指數,390.18,-,2.63,-0.67,
電子工業類指數,909.66,-,11.42,-1.24,
半導體類指數,428.47,-,7.10,-1.63,
電腦及週邊設備類指數,251.41,-,3.32,-1.30,
光電類指數,37.64,-,0.21,-0.55,
通信網路類指數,148.77,+,0.25,0.17,
電子零組件類指數,198.68,-,1.67,-0.83,
電子通路類指數,261.28,-,0.95,-0.36,
資訊服務類指數,180.08,-,0.20,-0.11,
其他電子類指數,100.92,+,0.19,0.19,
建材營造類指數,427.23,+,0.71,0.17,
航運類指數,149.83,-,1.08,-0.72,
觀光餐旅類指數,125.96,-,0.43,-0.34,
金融保險類指數,"1,677.83",+,2.80,0.17,
貿易百貨類指數,275.69,+,0.01,--,
油電燃氣類指數,100.42,+,1.05,1.06,
綠能環保類指數,95.70,-,0.10,-0.10,
數位雲端類指數,72.72,-,0.47,-0.64,
運動休閒類指數,87.71,+,0.03,0.03,
居家生活類指數,100.45,-,1.39,-1.36,
其他類指數,357.51,+,0.36,0.10,
臺指日報酬兩倍指數,"39,419.93",-,644.55,-1.61,
臺指反向一倍指數,"3,757.58",+,29.98,0.80,
電子類兩倍槓桿指數,"44,190.27",-,"1,123.65",-2.48,
電子類反向指數,"3,062.21",+,37.50,1.24,
價格指數(跨市場),,,,,
指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
臺灣生技指數,"4,013.79",+,7.72,0.19,
臺灣中小型公司治理指數,"9,780.89",+,15.13,0.15,
臺灣IPO指數,"5,159.06",-,24.70,-0.48,
智慧中立指數,"3,430.09",+,0.47,0.01,
臺灣5G指數,"8,998.20",-,79.56,-0.88,
臺灣企業社會責任中小型指數,"11,469.66",-,38.29,-0.33,
特選臺灣電動車代表指數,"8,165.36",-,40.94,-0.50,
臺灣5G+通訊指數,"7,311.98",-,79.72,-1.08,
臺灣全市場指數,"6,155.42",-,50.37,-0.81,
臺灣全市場半導體指數,"6,372.78",-,42.75,-0.67,
臺灣智慧移動與電動車指數,"4,751.92",-,48.88,-1.02,
特選小資高價30指數,"6,137.58",-,38.28,-0.62,
特選臺灣綠能及電動車指數,"5,236.88",-,21.96,-0.42,
