指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
寶島股價指數,"17,086.32",+,128.18,0.76,
發行量加權股價指數,"15,000.07",+,108.17,0.73,
臺灣公司治理100指數,"8,687.67",+,72.06,0.84,
臺灣50指數,"11,641.91",+,94.57,0.82,
臺灣50權重上限30%指數,"10,984.57",+,63.83,0.58,
臺灣中型100指數,"12,555.09",+,50.86,0.41,
臺灣資訊科技指數,"19,769.08",+,175.17,0.89,
臺灣發達指數,"9,897.17",+,89.12,0.91,
臺灣高股息指數,"6,178.97",+,35.50,0.58,
臺灣就業99指數,"8,868.90",-,6.36,-0.07,
臺灣高薪100指數,"8,208.58",+,29.91,0.37,
未含金融指數,"12,913.22",+,108.52,0.85,
未含電子指數,"17,482.51",+,84.35,0.48,
未含金融電子指數,"14,602.03",+,110.95,0.77,
小型股300指數,"8,145.91",+,68.62,0.85,
水泥窯製類指數,629.99,+,9.67,1.56,
塑膠化工類指數,817.86,+,7.31,0.90,
機電類指數,"3,903.75",+,32.33,0.84,
水泥類指數,167.55,+,2.79,1.69,
食品類指數,"1,900.05",+,12.87,0.68,
塑膠類指數,237.73,+,2.65,1.13,
紡織纖維類指數,531.18,+,3.64,0.69,
電機機械類指數,223.27,-,1.96,-0.87,
電器電纜類指數,86.86,-,0.18,-0.21,
化學生技醫療類指數,114.49,+,0.47,0.41,
化學類指數,135.43,+,1.05,0.78,
生技醫療類指數,66.00,-,0.03,-0.05,
玻璃陶瓷類指數,46.74,+,0.27,0.58,
造紙類指數,296.27,+,1.22,0.41,
鋼鐵類指數,132.28,+,1.53,1.17,
橡膠類指數,249.60,+,1.77,0.71,
汽車類指數,328.32,+,3.55,1.09,
電子工業類指數,698.46,+,6.13,0.89,
半導體類指數,335.66,+,4.06,1.22,
電腦及週邊設備類指數,124.47,-,0.99,-0.79,
光電類指數,31.81,+,0.62,1.99,
通信網路類指數,134.28,+,0.33,0.25,
電子零組件類指數,155.12,+,0.19,0.12,
電子通路類指數,171.41,+,1.09,0.64,
資訊服務類指數,123.46,+,0.50,0.41,
