指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
寶島股價指數,"19,124.36",-,125.78,-0.65,
發行量加權股價指數,"16,843.44",-,90.34,-0.53,
臺灣公司治理100指數,"9,884.06",-,61.56,-0.62,
臺灣50指數,"13,523.66",-,126.59,-0.93,
臺灣50權重上限30%指數,"12,802.29",-,115.07,-0.89,
臺灣中型100指數,"12,853.81",-,37.99,-0.29,
臺灣資訊科技指數,"23,333.85",-,396.85,-1.67,
臺灣發達指數,"11,280.68",+,112.05,1.00,
臺灣高股息指數,"8,165.06",+,16.97,0.21,
臺灣就業99指數,"9,933.48",-,40.45,-0.41,
臺灣高薪100指數,"8,787.53",-,3.74,-0.04,
未含金融指數,"14,772.11",-,109.99,-0.74,
未含電子指數,"18,675.67",+,238.49,1.29,
未含金融電子指數,"16,232.18",+,210.23,1.31,
小型股300指數,"8,959.33",-,16.22,-0.18,
水泥窯製類指數,789.71,+,11.97,1.54,
塑膠化工類指數,"1,005.58",+,7.84,0.79,
機電類指數,"4,517.44",-,71.67,-1.56,
水泥類指數,200.26,+,3.03,1.54,
食品類指數,"1,935.95",-,17.34,-0.89,
塑膠類指數,304.49,+,4.01,1.33,
紡織纖維類指數,679.79,+,12.30,1.84,
電機機械類指數,253.35,-,6.30,-2.43,
電器電纜類指數,91.48,+,6.45,7.59,
化學生技醫療類指數,112.99,+,0.62,0.55,
化學類指數,127.02,+,0.94,0.75,
生技醫療類指數,68.81,+,0.23,0.34,
玻璃陶瓷類指數,78.24,+,1.20,1.56,
造紙類指數,428.98,+,10.00,2.39,
鋼鐵類指數,181.54,+,11.21,6.58,
橡膠類指數,371.92,-,6.29,-1.66,
汽車類指數,337.16,-,1.02,-0.30,
電子工業類指數,808.98,-,13.12,-1.60,
半導體類指數,401.26,-,8.64,-2.11,
電腦及週邊設備類指數,143.23,-,0.02,-0.01,
光電類指數,48.59,-,0.33,-0.67,
通信網路類指數,128.26,-,1.09,-0.84,
電子零組件類指數,163.78,-,4.09,-2.44,
電子通路類指數,163.00,+,0.23,0.14,
資訊服務類指數,132.87,+,0.63,0.48,
其他電子類指數,102.56,+,0.85,0.84,
建材營造類指數,368.72,+,0.94,0.26,
航運類指數,172.68,+,3.92,2.32,
觀光類指數,104.10,+,0.09,0.09,
金融保險類指數,"1,489.43",+,18.33,1.25,
貿易百貨類指數,284.75,+,0.17,0.06,
油電燃氣類指數,134.50,+,3.57,2.73,
其他類指數,354.34,+,1.96,0.56,
臺指日報酬兩倍指數,"37,567.50",-,405.16,-1.07,
臺指反向一倍指數,"4,300.71",+,22.82,0.53,
電子類兩倍槓桿指數,"38,901.19",-,"1,282.60",-3.19,
電子類反向指數,"3,837.02",+,60.27,1.60,
價格指數(跨市場),,,,,
指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
臺灣生技指數,"4,464.12",+,9.85,0.22,
臺灣中小型公司治理指數,"7,579.87",-,26.54,-0.35,
臺灣IPO指數,"7,148.25",-,67.78,-0.94,
智慧中立指數,"4,432.62",-,14.40,-0.32,
臺灣企業社會責任中小型指數,"7,435.71",+,13.32,0.18,
臺灣5G+通訊指數,"6,610.94",-,147.09,-2.18,
臺灣全市場指數,"5,724.14",-,44.39,-0.77,
臺灣全市場半導體指數,"5,860.94",-,244.17,-4.00,
價格指數(臺灣指數公司),,,,,
指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
金融類日報酬兩倍指數,"25,761.07",+,626.36,2.49,
金融類日報酬反向一倍指數,"5,386.21",-,67.96,-1.25,
漲升股利150指數,"9,024.18",-,69.81,-0.77,
漲升股利100指數,"8,114.01",-,24.30,-0.30,
藍籌30指數,"8,526.83",-,109.23,-1.26,
工業菁英30指數,"9,527.33",-,192.71,-1.98,
電子菁英30指數,"8,903.26",-,156.56,-1.73,
