指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
寶島股價指數,"19,274.19",+,149.83,0.78,
發行量加權股價指數,"16,994.36",+,150.92,0.90,
臺灣公司治理100指數,"9,993.61",+,109.55,1.11,
臺灣50指數,"13,676.91",+,153.25,1.13,
臺灣50權重上限30%指數,"12,989.42",+,187.13,1.46,
臺灣中型100指數,"12,884.88",+,31.07,0.24,
臺灣資訊科技指數,"23,496.95",+,163.10,0.70,
臺灣發達指數,"11,485.14",+,204.46,1.81,
臺灣高股息指數,"8,160.79",-,4.27,-0.05,
臺灣就業99指數,"9,941.55",+,8.07,0.08,
臺灣高薪100指數,"8,881.85",+,94.32,1.07,
未含金融指數,"14,899.72",+,127.61,0.86,
未含電子指數,"18,945.37",+,269.70,1.44,
未含金融電子指數,"16,484.12",+,251.94,1.55,
小型股300指數,"8,989.57",+,30.24,0.34,
水泥窯製類指數,825.49,+,35.78,4.53,
塑膠化工類指數,"1,026.42",+,20.84,2.07,
機電類指數,"4,543.58",+,26.14,0.58,
水泥類指數,207.38,+,7.12,3.56,
食品類指數,"1,958.03",+,22.08,1.14,
塑膠類指數,313.27,+,8.78,2.88,
紡織纖維類指數,694.68,+,14.89,2.19,
電機機械類指數,254.98,+,1.63,0.64,
電器電纜類指數,93.30,+,1.82,1.99,
化學生技醫療類指數,113.09,+,0.10,0.09,
化學類指數,127.89,+,0.87,0.68,
生技醫療類指數,68.40,-,0.41,-0.60,
玻璃陶瓷類指數,85.48,+,7.24,9.25,
造紙類指數,428.33,-,0.65,-0.15,
鋼鐵類指數,189.92,+,8.38,4.62,
橡膠類指數,374.99,+,3.07,0.83,
汽車類指數,338.74,+,1.58,0.47,
電子工業類指數,813.57,+,4.59,0.57,
半導體類指數,404.09,+,2.83,0.71,
電腦及週邊設備類指數,142.45,-,0.78,-0.54,
光電類指數,47.78,-,0.81,-1.67,
通信網路類指數,129.01,+,0.75,0.58,
電子零組件類指數,165.80,+,2.02,1.23,
電子通路類指數,162.64,-,0.36,-0.22,
資訊服務類指數,133.29,+,0.42,0.32,
其他電子類指數,104.07,+,1.51,1.47,
建材營造類指數,369.08,+,0.36,0.10,
航運類指數,171.55,-,1.13,-0.65,
觀光類指數,104.12,+,0.02,0.02,
金融保險類指數,"1,506.83",+,17.40,1.17,
貿易百貨類指數,287.15,+,2.40,0.84,
油電燃氣類指數,139.89,+,5.39,4.01,
其他類指數,352.15,-,2.19,-0.62,
臺指日報酬兩倍指數,"38,240.72",+,673.22,1.79,
臺指反向一倍指數,"4,262.17",-,38.54,-0.90,
電子類兩倍槓桿指數,"39,342.63",+,441.44,1.13,
