指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
寶島股價指數,"14,885.96",-,106.73,-0.71,
發行量加權股價指數,"12,986.60",-,113.57,-0.87,
臺灣公司治理100指數,"7,332.30",-,95.69,-1.29,
臺灣50指數,"9,659.88",-,150.41,-1.53,
臺灣50權重上限30%指數,"9,376.67",-,111.24,-1.17,
臺灣中型100指數,"11,773.40",+,10.50,0.09,
臺灣資訊科技指數,"16,212.11",-,278.39,-1.69,
臺灣發達指數,"8,891.34",-,35.38,-0.40,
臺灣高股息指數,"5,487.01",-,31.29,-0.57,
臺灣就業99指數,"8,186.76",-,44.10,-0.54,
臺灣高薪100指數,"7,322.94",-,47.21,-0.64,
未含金融指數,"11,092.12",-,102.39,-0.91,
未含電子指數,"15,791.96",-,72.00,-0.45,
未含金融電子指數,"13,109.07",-,55.06,-0.42,
小型股300指數,"7,559.03",+,25.47,0.34,
水泥窯製類指數,545.92,-,6.17,-1.12,
塑膠化工類指數,763.36,-,1.22,-0.16,
機電類指數,"3,295.05",-,36.97,-1.11,
水泥類指數,139.39,-,1.46,-1.04,
食品類指數,"1,765.38",-,2.02,-0.11,
塑膠類指數,227.70,-,0.61,-0.27,
紡織纖維類指數,550.89,-,3.23,-0.58,
電機機械類指數,202.60,-,0.07,-0.03,
電器電纜類指數,88.50,+,0.80,0.91,
化學生技醫療類指數,101.93,+,0.18,0.18,
化學類指數,119.31,+,0.19,0.16,
生技醫療類指數,59.41,+,0.11,0.19,
玻璃陶瓷類指數,52.28,-,0.85,-1.60,
造紙類指數,286.15,-,2.70,-0.93,
鋼鐵類指數,126.11,-,1.12,-0.88,
橡膠類指數,223.83,-,0.69,-0.31,
汽車類指數,308.15,-,2.37,-0.76,
電子工業類指數,587.57,-,6.86,-1.15,
半導體類指數,263.78,-,5.15,-1.91,
電腦及週邊設備類指數,113.59,-,0.55,-0.48,
光電類指數,31.65,+,0.09,0.29,
通信網路類指數,121.93,+,0.01,0.01,
電子零組件類指數,146.94,+,0.84,0.57,
電子通路類指數,157.83,+,0.52,0.33,
資訊服務類指數,116.62,+,0.18,0.15,
其他電子類指數,93.11,-,0.68,-0.73,
建材營造類指數,332.22,-,1.00,-0.30,
航運類指數,142.23,-,0.95,-0.66,
觀光類指數,95.88,-,0.26,-0.27,
金融保險類指數,"1,408.16",-,7.57,-0.53,
貿易百貨類指數,252.82,-,1.34,-0.53,
油電燃氣類指數,107.13,-,0.15,-0.14,
其他類指數,311.60,-,1.87,-0.60,
臺指日報酬兩倍指數,"21,200.66",-,374.08,-1.73,
臺指反向一倍指數,"5,298.29",+,45.54,0.87,
電子類兩倍槓桿指數,"19,126.59",-,451.89,-2.31,
電子類反向指數,"4,926.99",+,56.21,1.15,
價格指數(跨市場),,,,,
指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
臺灣生技指數,"3,856.77",+,16.29,0.42,
臺灣中小型公司治理指數,"6,005.38",+,23.09,0.39,
臺灣IPO指數,"4,197.68",+,39.84,0.96,
智慧中立指數,"3,452.27",-,11.02,-0.32,
臺灣5G指數,"6,399.40",-,34.36,-0.53,
臺灣企業社會責任中小型指數,"7,245.02",-,13.95,-0.19,
特選臺灣電動車代表指數,"5,396.86",-,43.43,-0.80,
臺灣5G+通訊指數,"4,821.26",-,50.90,-1.04,
臺灣全市場指數,"4,379.66",-,37.83,-0.86,
臺灣全市場半導體指數,"3,908.32",-,21.01,-0.53,
臺灣電動車與自駕科技永續概念指數,"3,545.84",-,27.80,-0.78,
臺灣智慧移動與電動車指數,"3,342.61",-,13.93,-0.42,
特選小資高價30指數,"3,720.45",-,12.10,-0.32,
特選臺灣綠能及電動車指數,"3,890.52",-,24.72,-0.63,
特選臺灣智能車供應鏈聯盟指數,"3,632.21",-,30.67,-0.84,
臺灣全市場半導體精選30指數,"3,073.79",-,15.59,-0.50,
特選臺灣高股息30指數,"3,437.64",+,2.72,0.08,
臺灣友善環境指數,"3,928.68",-,36.98,-0.93,
台灣永續價值指數,"3,670.47",-,38.91,-1.05,
特選臺灣IC設計指數,"2,275.41",+,0.44,0.02,
特選臺灣環境永續高股息指數,"3,625.59",+,0.51,0.01,
