指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
寶島股價指數,"24,644.82",+,688.31,2.87,
發行量加權股價指數,"21,653.25",+,622.25,2.96,
臺灣公司治理100指數,"12,667.51",+,405.79,3.31,
臺灣50指數,"17,673.96",+,609.05,3.57,
臺灣50權重上限30%指數,"15,400.49",+,471.75,3.16,
臺灣中型100指數,"19,217.37",+,408.27,2.17,
臺灣資訊科技指數,"35,000.27",+,"1,370.49",4.08,
臺灣發達指數,"9,880.98",+,214.51,2.22,
臺灣高股息指數,"9,314.53",+,181.13,1.98,
臺灣就業99指數,"12,973.87",+,267.73,2.11,
臺灣高薪100指數,"11,324.53",+,235.84,2.13,
未含金融指數,"18,865.50",+,594.61,3.25,
未含電子指數,"19,531.87",+,214.08,1.11,
未含金融電子指數,"15,084.90",+,206.06,1.38,
小型股300指數,"11,360.01",+,194.64,1.74,
水泥窯製類指數,590.85,+,4.64,0.79,
塑膠化工類指數,676.63,+,8.18,1.22,
機電類指數,"6,478.79",+,236.73,3.79,
水泥類指數,156.32,+,0.97,0.62,
食品類指數,"2,340.15",+,28.06,1.21,
塑膠類指數,136.97,+,1.53,1.13,
紡織纖維類指數,646.56,+,7.43,1.16,
電機機械類指數,386.99,+,12.09,3.22,
電器電纜類指數,105.18,+,0.89,0.85,
化學生技醫療類指數,140.67,+,2.00,1.44,
化學類指數,168.74,+,3.48,2.11,
生技醫療類指數,78.49,+,0.78,1.00,
玻璃陶瓷類指數,44.95,+,0.90,2.04,
造紙類指數,308.91,+,3.71,1.22,
鋼鐵類指數,128.49,+,2.30,1.82,
橡膠類指數,280.14,+,1.99,0.72,
汽車類指數,382.52,+,6.87,1.83,
電子工業類指數,"1,160.42",+,42.74,3.82,
半導體類指數,583.32,+,23.11,4.13,
電腦及週邊設備類指數,248.99,+,9.14,3.81,
光電類指數,40.43,+,0.57,1.43,
通信網路類指數,157.64,+,1.59,1.02,
電子零組件類指數,226.59,+,9.59,4.42,
電子通路類指數,253.89,+,3.79,1.52,
資訊服務類指數,189.50,+,3.79,2.04,
其他電子類指數,162.27,+,6.18,3.96,
建材營造類指數,596.72,+,1.91,0.32,
航運類指數,177.26,+,1.85,1.05,
觀光餐旅類指數,117.88,+,1.69,1.45,
金融保險類指數,"2,023.27",+,11.88,0.59,
貿易百貨類指數,310.25,+,3.81,1.24,
油電燃氣類指數,69.56,+,1.60,2.35,
綠能環保類指數,120.27,+,1.39,1.17,
數位雲端類指數,65.93,+,1.02,1.57,
運動休閒類指數,98.82,+,0.42,0.43,
居家生活類指數,135.04,+,4.61,3.53,
其他類指數,355.56,+,4.01,1.14,
臺指日報酬兩倍指數,"55,779.54",+,"3,116.32",5.92,
臺指反向一倍指數,"3,002.85",-,91.55,-2.96,
電子類兩倍槓桿指數,"68,222.15",+,"4,846.93",7.65,
電子類反向指數,"2,281.55",-,90.72,-3.82,
價格指數(跨市場),,,,,
指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
臺灣生技指數,"4,300.50",+,38.47,0.90,
臺灣中小型公司治理指數,"10,182.04",+,288.65,2.92,
臺灣IPO指數,"5,488.66",+,78.27,1.45,
智慧中立指數,"3,920.98",-,25.66,-0.65,
臺灣5G指數,"10,860.18",+,363.05,3.46,
臺灣企業社會責任中小型指數,"11,566.93",+,204.06,1.80,
特選臺灣電動車代表指數,"9,794.88",+,319.98,3.38,
臺灣5G+通訊指數,"9,428.56",+,350.31,3.86,
臺灣全市場指數,"7,523.96",+,216.01,2.96,
臺灣全市場半導體指數,"7,398.05",+,262.59,3.68,
臺灣智慧移動與電動車指數,"5,565.24",+,191.21,3.56,
特選小資高價30指數,"7,524.30",+,292.39,4.04,
特選臺灣綠能及電動車指數,"5,844.64",+,176.48,3.11,
特選臺灣智能車供應鏈聯盟指數,"6,786.59",+,255.78,3.92,
臺灣全市場半導體精選30指數,"5,824.19",+,214.28,3.82,
特選臺灣高股息30指數,"5,190.17",+,62.73,1.22,
臺灣友善環境指數,"6,577.89",+,175.12,2.74,
台灣永續價值指數,"6,057.37",+,156.58,2.65,
特選臺灣IC設計指數,"4,156.54",+,156.92,3.92,
特選臺灣環境永續高股息指數,"6,856.42",+,74.37,1.10,
臺灣友善環境50指數,"5,479.48",+,173.78,3.28,
特選臺灣IC設計產業代表指數,"5,469.43",+,211.93,4.03,
特選臺灣綠能指數,"5,497.75",+,171.30,3.22,
特選臺灣智慧50指數,"5,092.43",+,128.19,2.58,
臺灣晶圓製造指數,"6,097.00",+,200.89,3.41,
臺灣精選高息指數,"5,268.78",+,44.90,0.86,
臺灣多因子優選高股息30指數,"8,684.63",+,64.35,0.75,
特選臺灣優利高填息30指數,"7,179.66",+,119.50,1.69,
特選臺灣科技優息指數,"8,792.69",+,109.76,1.26,
臺灣半導體收益指數,"6,690.15",+,178.64,2.74,
臺灣優選成長高股息指數,"7,672.02",+,105.12,1.39,
特選臺灣ESG低碳高息40指數,"8,080.44",+,94.20,1.18,
臺灣優選多因子30指數,"8,311.58",+,149.73,1.83,
臺灣創新科技50指數,"7,143.85",+,285.36,4.16,
臺灣全市場新經濟產業指數,"5,002.67",+,55.71,1.13,
臺灣ESG永續高股息等權重指數,"6,143.44",+,73.05,1.20,
臺灣永續高息中小型指數,"5,765.08",+,71.79,1.26,
特選臺灣高息優質成長指數,"6,035.11",+,50.39,0.84,
特選臺灣高息動能指數,"6,474.68",+,65.76,1.03,
臺灣電子成長高息等權重指數,"5,585.89",+,88.50,1.61,
特選臺灣優利成長指數,"5,105.16",+,68.59,1.36,
臺灣價值高息指數,"5,442.22",+,74.03,1.38,
特選臺灣IC設計動能指數,"4,726.83",+,184.82,4.07,
臺灣科技高股息指數,"5,488.52",+,67.09,1.24,
臺灣趨勢動能高股息指數,"5,706.86",+,57.07,1.01,
特選臺灣科技高息成長指數,"5,320.40",+,56.50,1.07,
特選臺灣AI優息動能指數,"4,705.54",+,129.73,2.84,
臺灣優選AI 50指數,"4,802.85",+,124.37,2.66,
價格指數(臺灣指數公司),,,,,
指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
金融類日報酬兩倍指數,"43,732.88",+,510.57,1.18,
金融類日報酬反向一倍指數,"3,650.39",-,21.69,-0.59,
漲升股利150指數,"9,823.06",+,234.67,2.45,
藍籌30指數,"10,302.09",+,327.77,3.29,
工業菁英30指數,"10,959.43",+,305.64,2.87,
低波動股利精選30指數,"8,171.77",+,60.91,0.75,
中小型A級動能50指數,"23,784.93",+,696.95,3.02,
特選高息低波指數,"10,386.19",+,90.67,0.88,
臺灣永續指數,"11,284.53",+,334.15,3.05,
價值投資指數,"8,066.99",+,132.62,1.67,
存股雙十等權重指數,"9,185.60",+,242.63,2.71,
特選大蘋果指數,"10,897.78",+,436.28,4.17,
中小型300指數,"11,562.73",+,232.62,2.05,
臺灣500指數,"10,956.03",+,303.06,2.84,
臺灣勞工權益指數,"9,374.73",+,177.47,1.93,
微波高息精選20指數,"8,504.92",+,179.30,2.15,
特選世代行動通訊指數,"8,155.07",+,128.81,1.60,
智慧投資多因子30指數,"7,872.04",+,65.43,0.84,
臺股期貨指數,"11,874.19",+,386.71,3.37,
特選價值成長指數,"9,501.72",+,110.80,1.18,
臺灣上櫃永續指數,"7,885.37",+,163.54,2.12,
特選台股領航指數,"10,601.84",+,347.37,3.39,
特選Smart多因子指數,"8,689.17",+,250.00,2.96,
特選ESG高股息指數,"6,645.85",+,140.53,2.16,
特選上櫃ESG成長指數,"5,708.95",+,141.75,2.55,
特選上櫃ESG電子菁英指數,"5,739.79",+,139.36,2.49,
臺灣優息存股指數,"5,096.37",+,55.85,1.11,
特選上櫃ESG永續高股息指數,"7,657.38",+,98.86,1.31,
特選臺灣金融高股息存股指數,"6,430.66",+,34.29,0.54,
特選臺灣產業龍頭存股等權重指數,"6,862.64",+,113.79,1.69,
上櫃ESG 30指數,"6,712.91",+,120.17,1.82,
臺灣ESG低碳50指數,"7,428.03",+,231.05,3.21,
臺灣創新板指數,"6,505.92",+,83.87,1.31,
特選上櫃ESG龍頭指數,"6,412.78",+,134.18,2.14,
報酬指數(臺灣證券交易所),,,,,
報酬指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
寶島股價報酬指數,"36,572.26",+,"1,074.17",3.03,
發行量加權股價報酬指數,"47,767.18",+,"1,448.06",3.13,
臺灣公司治理100報酬指數,"18,493.81",+,632.18,3.54,
臺灣50報酬指數,"39,218.85",+,"1,446.41",3.83,
臺灣50權重上限30%報酬指數,"34,847.11",+,"1,116.96",3.31,
臺灣中型100報酬指數,"39,741.40",+,853.83,2.20,
臺灣資訊科技股報酬指數,"72,639.49",+,"3,049.37",4.38,
臺灣發達報酬指數,"20,501.60",+,450.05,2.24,
臺灣高股息報酬指數,"28,042.70",+,553.61,2.01,
臺灣就業99報酬指數,"21,611.00",+,455.41,2.15,
臺灣高薪100報酬指數,"18,196.22",+,388.26,2.18,
未含金融電子報酬指數,"34,531.02",+,478.97,1.41,
小型股300報酬指數,"16,047.76",+,274.96,1.74,
水泥類報酬指數,331.64,+,2.06,0.63,
食品類報酬指數,"3,910.92",+,46.89,1.21,
塑膠類報酬指數,265.10,+,2.96,1.13,
紡織纖維類報酬指數,"1,136.12",+,15.99,1.43,
電機機械類報酬指數,604.93,+,18.90,3.23,
電器電纜類報酬指數,173.52,+,1.47,0.85,
化學生技醫療類報酬指數,232.06,+,3.42,1.50,
化學類報酬指數,302.99,+,6.60,2.23,
生技醫療類報酬指數,115.20,+,1.14,1.00,
玻璃陶瓷類報酬指數,57.21,+,1.14,2.03,
造紙類報酬指數,500.76,+,6.03,1.22,
鋼鐵類報酬指數,231.27,+,4.14,1.82,
橡膠類報酬指數,475.60,+,3.36,0.71,
汽車類報酬指數,643.45,+,11.55,1.83,
電子工業類報酬指數,"2,307.92",+,90.17,4.07,
半導體類報酬指數,"1,082.48",+,46.57,4.50,
電腦及週邊設備類報酬指數,588.35,+,21.61,3.81,
光電類報酬指數,62.96,+,0.89,1.43,
通信網路類報酬指數,354.06,+,3.58,1.02,
電子零組件類報酬指數,446.80,+,18.91,4.42,
電子通路類報酬指數,677.28,+,10.10,1.51,
資訊服務類報酬指數,480.11,+,9.59,2.04,
其他電子類報酬指數,282.09,+,10.75,3.96,
建材營造類報酬指數,"1,284.08",+,4.84,0.38,
航運類報酬指數,353.44,+,3.70,1.06,
觀光餐旅類報酬指數,172.49,+,2.47,1.45,
金融保險類報酬指數,"3,721.91",+,21.85,0.59,
貿易百貨類報酬指數,514.82,+,6.32,1.24,
油電燃氣類報酬指數,115.28,+,2.65,2.35,
綠能環保類報酬指數,126.24,+,1.46,1.17,
數位雲端類報酬指數,68.46,+,1.06,1.57,
運動休閒類報酬指數,105.32,+,0.44,0.42,
