指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
寶島股價指數,"19,183.56",-,215.77,-1.11,
發行量加權股價指數,"16,733.69",-,188.79,-1.12,
臺灣公司治理100指數,"9,531.25",-,110.84,-1.15,
臺灣50指數,"12,657.69",-,146.67,-1.15,
臺灣50權重上限30%指數,"11,900.95",-,120.43,-1.00,
臺灣中型100指數,"15,529.21",-,231.99,-1.47,
臺灣資訊科技指數,"22,558.56",-,345.28,-1.51,
臺灣發達指數,"10,482.81",-,72.65,-0.69,
臺灣高股息指數,"7,268.71",-,56.08,-0.77,
臺灣就業99指數,"10,600.13",-,117.89,-1.10,
臺灣高薪100指數,"9,244.39",-,68.24,-0.73,
未含金融指數,"14,491.61",-,176.19,-1.20,
未含電子指數,"18,830.98",-,113.48,-0.60,
未含金融電子指數,"15,792.67",-,105.12,-0.66,
小型股300指數,"9,560.40",-,73.49,-0.76,
水泥窯製類指數,661.35,-,1.65,-0.25,
塑膠化工類指數,875.43,-,5.74,-0.65,
機電類指數,"4,480.30",-,64.84,-1.43,
水泥類指數,174.40,-,0.43,-0.25,
食品類指數,"2,060.05",+,1.81,0.09,
塑膠類指數,251.92,-,1.09,-0.43,
紡織纖維類指數,590.51,-,1.30,-0.22,
電機機械類指數,305.66,-,4.12,-1.33,
電器電纜類指數,115.22,-,0.90,-0.78,
化學生技醫療類指數,128.36,-,1.58,-1.22,
化學類指數,147.51,-,0.56,-0.38,
生技醫療類指數,76.31,-,1.57,-2.02,
玻璃陶瓷類指數,51.79,-,0.16,-0.31,
造紙類指數,385.05,-,3.50,-0.90,
鋼鐵類指數,144.80,-,0.46,-0.32,
橡膠類指數,249.74,-,0.91,-0.36,
汽車類指數,443.99,-,12.37,-2.71,
電子工業類指數,796.95,-,11.61,-1.44,
半導體類指數,376.45,-,5.75,-1.50,
電腦及週邊設備類指數,176.71,-,2.79,-1.55,
光電類指數,36.67,-,0.57,-1.53,
通信網路類指數,142.62,-,0.86,-0.60,
電子零組件類指數,181.26,-,3.40,-1.84,
電子通路類指數,187.31,-,0.93,-0.49,
資訊服務類指數,172.75,-,3.20,-1.82,
其他電子類指數,104.92,-,1.11,-1.05,
建材營造類指數,387.79,-,2.77,-0.71,
航運類指數,167.69,+,1.94,1.17,
觀光類指數,170.73,+,0.74,0.44,
金融保險類指數,"1,640.28",-,7.48,-0.45,
貿易百貨類指數,290.39,-,4.17,-1.42,
油電燃氣類指數,116.83,-,1.31,-1.11,
其他類指數,378.15,-,4.03,-1.05,
臺指日報酬兩倍指數,"34,748.84",-,793.02,-2.23,
臺指反向一倍指數,"4,058.00",+,44.77,1.12,
電子類兩倍槓桿指數,"34,412.97",-,"1,017.48",-2.87,
電子類反向指數,"3,549.87",+,50.25,1.44,
價格指數(跨市場),,,,,
指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
臺灣生技指數,"4,300.85",-,65.18,-1.49,
臺灣中小型公司治理指數,"8,207.73",-,140.90,-1.69,
臺灣IPO指數,"5,146.79",-,50.61,-0.97,
智慧中立指數,"3,466.94",+,8.99,0.26,
臺灣5G指數,"8,268.40",-,84.46,-1.01,
臺灣企業社會責任中小型指數,"9,751.36",-,61.67,-0.63,
特選臺灣電動車代表指數,"7,709.77",-,67.24,-0.86,
臺灣5G+通訊指數,"6,379.86",-,84.69,-1.31,
臺灣全市場指數,"5,692.82",-,65.68,-1.14,
臺灣全市場半導體指數,"5,435.16",-,71.80,-1.30,
臺灣智慧移動與電動車指數,"4,369.70",-,69.48,-1.57,
特選小資高價30指數,"5,246.62",-,105.05,-1.96,
特選臺灣綠能及電動車指數,"5,160.98",-,62.93,-1.20,
特選臺灣智能車供應鏈聯盟指數,"4,791.53",-,71.57,-1.47,
臺灣全市場半導體精選30指數,"4,331.14",-,65.45,-1.49,
特選臺灣高股息30指數,"4,249.71",-,31.40,-0.73,
臺灣友善環境指數,"5,087.87",-,53.28,-1.04,
台灣永續價值指數,"4,753.08",-,42.25,-0.88,
特選臺灣IC設計指數,"3,503.77",-,69.56,-1.95,
特選臺灣環境永續高股息指數,"4,911.47",+,11.60,0.24,
臺灣友善環境50指數,"4,281.31",-,41.26,-0.95,
特選臺灣IC設計產業代表指數,"4,362.48",-,83.57,-1.88,
特選臺灣綠能指數,"5,339.88",-,59.74,-1.11,
特選臺灣智慧50指數,"4,115.98",-,43.17,-1.04,
特選臺灣標竿PCB指數,"4,069.62",-,76.75,-1.85,
臺灣晶圓製造指數,"4,895.82",-,68.42,-1.38,
臺灣精選高息指數,"4,325.57",+,0.99,0.02,
臺灣多因子優選高股息30指數,"5,670.34",-,34.11,-0.60,
特選臺灣優利高填息30指數,"5,414.59",-,16.71,-0.31,
臺灣多因子優選成長30指數,"6,366.64",-,47.84,-0.75,
特選臺灣科技優息指數,"6,698.72",-,4.60,-0.07,
臺灣工業4.0指數,"5,522.75",-,106.83,-1.90,
臺灣半導體收益指數,"5,358.57",-,52.79,-0.98,
臺灣優選成長高股息指數,"5,435.32",-,58.83,-1.07,
特選臺灣ESG低碳高息40指數,"5,952.95",-,40.19,-0.67,
價格指數(臺灣指數公司),,,,,
指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
金融類日報酬兩倍指數,"29,575.74",-,270.98,-0.91,
金融類日報酬反向一倍指數,"4,630.68",+,20.93,0.45,
漲升股利150指數,"8,643.06",-,70.20,-0.81,
藍籌30指數,"7,957.78",-,94.86,-1.18,
工業菁英30指數,"8,526.85",-,96.39,-1.12,
電子菁英30指數,"8,961.06",-,119.67,-1.32,
低波動股利精選30指數,"7,102.80",-,34.27,-0.48,
中小型A級動能50指數,"17,935.01",-,472.62,-2.57,
特選高息低波指數,"7,903.81",-,51.38,-0.65,
臺灣永續指數,"8,501.37",-,86.43,-1.01,
價值投資指數,"6,366.18",-,96.10,-1.49,
存股雙十等權重指數,"7,406.52",-,83.09,-1.11,
特選大蘋果指數,"7,880.10",-,182.38,-2.26,
中小型300指數,"9,844.23",-,131.42,-1.32,
臺灣500指數,"8,607.61",-,97.38,-1.12,
臺灣勞工權益指數,"7,875.34",-,44.53,-0.56,
微波高息精選20指數,"6,994.47",-,47.16,-0.67,
特選世代行動通訊指數,"6,773.52",-,37.91,-0.56,
智慧投資多因子30指數,"5,423.98",-,36.06,-0.66,
臺股期貨指數,"8,938.59",-,90.89,-1.01,
特選價值成長指數,"7,214.92",-,71.07,-0.98,
臺灣上櫃永續指數,"6,491.00",-,86.82,-1.32,
特選台股領航指數,"7,397.56",-,85.86,-1.15,
特選Smart多因子指數,"6,226.88",-,73.81,-1.17,
特選ESG高股息指數,"4,801.48",+,9.57,0.20,
特選上櫃ESG成長指數,"4,625.45",-,77.13,-1.64,
特選上櫃ESG電子菁英指數,"4,734.13",-,70.67,-1.47,
臺灣優息存股指數,"4,944.79",-,29.01,-0.58,
特選上櫃ESG永續高股息指數,"6,465.37",-,122.80,-1.86,
特選臺灣金融高股息存股指數,"5,273.98",-,22.94,-0.43,
特選臺灣產業龍頭存股等權重指數,"6,137.62",-,74.94,-1.21,
上櫃ESG 30指數,"5,926.61",-,138.63,-2.29,
臺灣ESG低碳50指數,"5,606.99",-,70.10,-1.23,
報酬指數(臺灣證券交易所),,,,,
報酬指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
寶島股價報酬指數,"26,951.28",-,300.84,-1.10,
發行量加權股價報酬指數,"34,928.14",-,392.19,-1.11,
臺灣公司治理100報酬指數,"13,148.62",-,152.02,-1.14,
臺灣50報酬指數,"26,624.97",-,308.51,-1.15,
臺灣50權重上限30%報酬指數,"25,263.10",-,255.64,-1.00,
臺灣中型100報酬指數,"30,558.49",-,456.51,-1.47,
臺灣資訊科技股報酬指數,"44,652.36",-,683.45,-1.51,
臺灣發達報酬指數,"20,285.40",-,140.59,-0.69,
臺灣高股息報酬指數,"20,238.04",-,156.15,-0.77,
臺灣就業99報酬指數,"16,588.27",-,184.48,-1.10,
臺灣高薪100報酬指數,"13,384.39",-,97.92,-0.73,
