指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
寶島股價指數,"23,127.25",-,301.86,-1.29,
發行量加權股價指數,"20,532.99",-,254.65,-1.23,
臺灣公司治理100指數,"12,311.39",-,150.09,-1.20,
臺灣50指數,"17,247.13",-,217.97,-1.25,
臺灣50權重上限30%指數,"14,852.38",-,186.32,-1.24,
臺灣中型100指數,"17,379.26",-,210.23,-1.20,
臺灣資訊科技指數,"33,941.52",-,482.50,-1.40,
臺灣發達指數,"9,263.09",+,29.22,0.32,
臺灣高股息指數,"8,773.71",-,95.45,-1.08,
臺灣就業99指數,"12,147.16",-,169.47,-1.38,
臺灣高薪100指數,"11,046.79",-,119.71,-1.07,
未含金融指數,"17,818.90",-,193.71,-1.08,
未含電子指數,"18,047.15",-,134.91,-0.74,
未含金融電子指數,"13,499.63",+,29.76,0.22,
小型股300指數,"9,991.90",-,122.73,-1.21,
水泥窯製類指數,577.76,+,9.34,1.64,
塑膠化工類指數,574.25,+,4.91,0.86,
機電類指數,"6,199.17",-,89.25,-1.42,
水泥類指數,153.78,+,2.87,1.90,
食品類指數,"2,133.25",+,78.20,3.81,
塑膠類指數,106.77,+,3.05,2.94,
紡織纖維類指數,542.02,-,1.81,-0.33,
電機機械類指數,350.29,-,2.89,-0.82,
電器電纜類指數,81.09,-,0.18,-0.22,
化學生技醫療類指數,123.95,-,0.88,-0.70,
化學類指數,152.18,-,1.18,-0.77,
生技醫療類指數,68.04,-,0.46,-0.67,
玻璃陶瓷類指數,42.01,-,0.13,-0.31,
造紙類指數,261.82,+,7.92,3.12,
鋼鐵類指數,122.89,-,0.48,-0.39,
橡膠類指數,262.02,+,4.62,1.79,
汽車類指數,350.55,-,7.32,-2.05,
電子工業類指數,"1,113.08",-,16.25,-1.44,
半導體類指數,573.35,-,7.53,-1.30,
電腦及週邊設備類指數,238.00,-,4.92,-2.03,
光電類指數,33.69,-,0.91,-2.63,
通信網路類指數,159.66,-,0.45,-0.28,
電子零組件類指數,200.66,-,1.96,-0.97,
電子通路類指數,233.98,-,4.29,-1.80,
資訊服務類指數,217.52,-,2.55,-1.16,
其他電子類指數,137.90,-,4.24,-2.98,
建材營造類指數,531.53,+,11.51,2.21,
航運類指數,191.54,+,0.94,0.49,
觀光餐旅類指數,116.27,+,1.37,1.19,
金融保險類指數,"1,981.35",-,48.78,-2.40,
貿易百貨類指數,262.04,-,3.76,-1.41,
油電燃氣類指數,56.41,+,2.61,4.85,
綠能環保類指數,100.52,-,1.12,-1.10,
數位雲端類指數,55.35,-,1.40,-2.47,
運動休閒類指數,79.06,-,3.66,-4.42,
居家生活類指數,111.41,-,2.83,-2.48,
其他類指數,290.00,-,3.56,-1.21,
臺指日報酬兩倍指數,"47,847.72",-,"1,201.72",-2.45,
臺指反向一倍指數,"3,024.66",+,36.60,1.22,
電子類兩倍槓桿指數,"59,098.57",-,"1,751.14",-2.88,
電子類反向指數,"2,241.93",+,31.80,1.44,
價格指數(跨市場),,,,,
指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
臺灣生技指數,"3,432.09",-,49.42,-1.42,
臺灣中小型公司治理指數,"8,984.30",-,219.59,-2.39,
臺灣IPO指數,"4,936.40",-,108.56,-2.15,
智慧中立指數,"3,820.23",+,41.73,1.10,
臺灣5G指數,"10,413.42",-,82.04,-0.78,
臺灣企業社會責任中小型指數,"10,339.93",-,197.01,-1.87,
特選臺灣電動車代表指數,"8,931.02",-,30.50,-0.34,
臺灣科技龍頭通訊指數,"9,059.60",-,111.51,-1.22,
臺灣全市場指數,"7,082.67",-,96.91,-1.35,
臺灣全市場半導體指數,"6,908.87",-,98.33,-1.40,
臺灣智慧移動與電動車指數,"5,152.85",-,61.45,-1.18,
特選小資高價30指數,"7,084.60",-,92.20,-1.28,
特選臺灣綠能及電動車指數,"5,462.00",-,23.16,-0.42,
特選臺灣智能車供應鏈聯盟指數,"6,462.61",-,77.63,-1.19,
臺灣全市場半導體精選30指數,"5,423.76",-,64.39,-1.17,
特選臺灣高股息30指數,"4,595.84",-,49.35,-1.06,
臺灣友善環境指數,"6,337.53",-,79.25,-1.24,
台灣永續價值指數,"5,771.75",-,79.53,-1.36,
特選臺灣IC設計指數,"4,022.26",-,10.28,-0.25,
特選臺灣環境永續高股息指數,"6,419.33",-,70.74,-1.09,
臺灣友善環境50指數,"5,283.62",-,50.80,-0.95,
特選臺灣IC設計產業代表指數,"5,194.22",-,5.17,-0.10,
特選臺灣綠能指數,"4,709.06",+,38.15,0.82,
特選臺灣智慧50指數,"4,902.13",-,40.51,-0.82,
臺灣晶圓製造指數,"5,492.21",-,67.78,-1.22,
臺灣精選高息指數,"5,162.12",-,29.10,-0.56,
臺灣多因子優選高股息30指數,"7,897.81",-,74.10,-0.93,
特選臺灣優利高填息30指數,"6,912.84",-,64.81,-0.93,
特選臺灣科技優息指數,"8,123.64",-,94.14,-1.15,
臺灣半導體收益指數,"6,080.64",-,96.83,-1.57,
臺灣優選成長高股息指數,"6,803.43",-,125.37,-1.81,
特選臺灣ESG低碳高息40指數,"7,556.97",-,87.38,-1.14,
臺灣優選多因子30指數,"8,051.53",-,193.78,-2.35,
臺灣創新科技50指數,"6,790.99",-,69.50,-1.01,
臺灣全市場新經濟產業指數,"4,215.70",-,103.08,-2.39,
臺灣ESG永續高股息等權重指數,"5,497.92",-,50.89,-0.92,
臺灣永續高息中小型指數,"5,061.61",-,79.00,-1.54,
特選臺灣高息優質成長指數,"5,582.67",-,41.45,-0.74,
特選臺灣高息動能指數,"6,269.63",-,4.37,-0.07,
臺灣電子成長高息等權重指數,"5,223.71",-,130.79,-2.44,
特選臺灣優利成長指數,"4,572.24",-,49.54,-1.07,
臺灣價值高息指數,"5,106.15",-,79.63,-1.54,
特選臺灣IC設計動能指數,"4,213.58",-,29.74,-0.70,
臺灣科技高股息指數,"4,714.92",-,111.22,-2.30,
臺灣趨勢動能高股息指數,"5,429.64",-,39.65,-0.72,
特選臺灣科技高息成長指數,"4,849.29",-,81.52,-1.65,
特選臺灣AI優息動能指數,"4,295.83",-,85.69,-1.96,
臺灣優選AI 50指數,"4,264.21",-,88.07,-2.02,
臺灣AI供應鏈聯盟指數,"4,870.71",-,79.02,-1.60,
台灣旗艦動能50指數,"4,811.62",-,78.22,-1.60,
價格指數(臺灣指數公司),,,,,
指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
金融類日報酬兩倍指數,"40,686.60",-,"2,053.94",-4.81,
金融類日報酬反向一倍指數,"3,622.22",+,84.99,2.40,
漲升股利150指數,"9,063.97",-,67.54,-0.74,
藍籌30指數,"10,052.55",-,108.99,-1.07,
工業菁英30指數,"10,231.18",-,159.89,-1.54,
低波動股利精選30指數,"8,385.36",-,2.83,-0.03,
中小型A級動能50指數,"17,395.54",-,337.49,-1.90,
特選高息低波指數,"9,774.40",-,24.75,-0.25,
臺灣永續指數,"10,857.65",-,136.36,-1.24,
存股雙十等權重指數,"9,058.59",-,129.28,-1.41,
特選大蘋果指數,"9,704.94",-,198.14,-2.00,
中小型300指數,"10,260.06",-,128.27,-1.23,
微波高息精選20指數,"8,524.73",+,47.23,0.56,
特選世代行動通訊指數,"8,648.08",-,171.19,-1.94,
智慧投資多因子30指數,"7,569.98",+,41.09,0.55,
臺股期貨指數,"11,052.84",-,147.88,-1.32,
特選價值成長指數,"9,270.66",-,40.23,-0.43,
臺灣上櫃永續指數,"6,500.81",-,79.39,-1.21,
特選台股領航指數,"10,355.57",-,219.51,-2.08,
特選Smart多因子指數,"8,356.22",-,106.71,-1.26,
特選ESG高股息指數,"6,565.62",-,62.85,-0.95,
特選上櫃ESG成長指數,"4,552.61",-,1.29,-0.03,
臺灣優息存股指數,"4,998.54",-,65.94,-1.30,
特選上櫃ESG永續高股息指數,"6,270.40",-,112.83,-1.77,
特選臺灣金融高股息存股指數,"6,374.02",-,151.58,-2.32,
特選臺灣產業龍頭存股等權重指數,"6,316.14",-,21.16,-0.33,
上櫃ESG 30指數,"5,627.00",-,88.49,-1.55,
臺灣ESG低碳50指數,"7,223.16",-,92.80,-1.27,
臺灣創新板指數,"7,414.09",-,201.74,-2.65,
特選上櫃ESG龍頭指數,"5,361.37",-,93.00,-1.71,
臺灣市值動能50指數,"4,477.74",-,70.20,-1.54,
臺灣護城河概念優選50指數,"4,553.10",-,55.25,-1.20,
特選臺灣中小型精選動能100指數,"4,272.70",-,91.55,-2.10,
報酬指數(臺灣證券交易所),,,,,
報酬指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
寶島股價報酬指數,"34,490.84",-,450.17,-1.29,
發行量加權股價報酬指數,"45,518.63",-,564.52,-1.23,
臺灣公司治理100報酬指數,"18,071.39",-,220.30,-1.20,
臺灣50報酬指數,"38,504.73",-,486.63,-1.25,
臺灣50權重上限30%報酬指數,"33,762.57",-,423.53,-1.24,
臺灣中型100報酬指數,"36,038.08",-,435.93,-1.20,
臺灣資訊科技股報酬指數,"70,958.10",-,"1,008.69",-1.40,
臺灣發達報酬指數,"19,246.37",+,60.73,0.32,
臺灣高股息報酬指數,"26,506.43",-,288.35,-1.08,
臺灣就業99報酬指數,"20,283.59",-,282.98,-1.38,
臺灣高薪100報酬指數,"17,803.42",-,192.94,-1.07,
未含金融電子報酬指數,"31,007.68",+,68.35,0.22,
小型股300報酬指數,"14,168.21",-,174.01,-1.21,
水泥類報酬指數,326.24,+,6.09,1.90,
食品類報酬指數,"3,565.97",+,130.71,3.80,
塑膠類報酬指數,206.79,+,5.89,2.93,
紡織纖維類報酬指數,957.67,-,3.20,-0.33,
電機機械類報酬指數,550.33,-,4.53,-0.82,
電器電纜類報酬指數,134.41,-,0.29,-0.22,
化學生技醫療類報酬指數,205.74,-,1.47,-0.71,
化學類報酬指數,276.74,-,2.14,-0.77,
生技醫療類報酬指數,100.09,-,0.68,-0.67,
玻璃陶瓷類報酬指數,53.47,-,0.16,-0.30,
造紙類報酬指數,424.41,+,12.82,3.11,
鋼鐵類報酬指數,222.91,-,0.86,-0.38,
橡膠類報酬指數,446.82,+,7.88,1.80,
汽車類報酬指數,590.22,-,12.32,-2.04,
電子工業類報酬指數,"2,227.23",-,32.52,-1.44,
半導體類報酬指數,"1,072.75",-,14.09,-1.30,
電腦及週邊設備類報酬指數,563.94,-,11.67,-2.03,
光電類報酬指數,52.82,-,1.42,-2.62,
通信網路類報酬指數,358.77,-,1.02,-0.28,
電子零組件類報酬指數,395.76,-,3.86,-0.97,
電子通路類報酬指數,625.28,-,11.47,-1.80,
資訊服務類報酬指數,554.70,-,6.52,-1.16,
其他電子類報酬指數,240.18,-,7.37,-2.98,
建材營造類報酬指數,"1,150.31",+,24.90,2.21,
航運類報酬指數,382.04,+,1.88,0.49,
觀光餐旅類報酬指數,172.53,+,2.04,1.20,
