指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
寶島股價指數,"15,153.98",+,215.28,1.44,
發行量加權股價指數,"13,223.73",+,197.02,1.51,
臺灣公司治理100指數,"7,467.07",+,124.23,1.69,
臺灣50指數,"9,830.04",+,167.61,1.73,
臺灣50權重上限30%指數,"9,547.13",+,153.43,1.63,
臺灣中型100指數,"12,064.63",+,191.89,1.62,
臺灣資訊科技指數,"16,494.39",+,308.18,1.90,
臺灣發達指數,"9,063.53",+,125.68,1.41,
臺灣高股息指數,"5,605.16",+,92.96,1.69,
臺灣就業99指數,"8,375.08",+,139.76,1.70,
臺灣高薪100指數,"7,474.42",+,117.34,1.59,
未含金融指數,"11,286.71",+,170.60,1.53,
未含電子指數,"16,133.68",+,228.10,1.43,
未含金融電子指數,"13,383.62",+,193.53,1.47,
小型股300指數,"7,671.49",+,78.17,1.03,
水泥窯製類指數,560.03,+,7.77,1.41,
塑膠化工類指數,775.40,+,12.70,1.67,
機電類指數,"3,349.89",+,53.50,1.62,
水泥類指數,141.66,+,1.63,1.16,
食品類指數,"1,779.69",+,15.01,0.85,
塑膠類指數,231.91,+,4.53,1.99,
紡織纖維類指數,560.53,+,1.78,0.32,
電機機械類指數,208.29,+,3.52,1.72,
電器電纜類指數,94.48,+,6.52,7.41,
化學生技醫療類指數,102.91,+,1.01,0.99,
化學類指數,121.22,+,1.38,1.15,
生技醫療類指數,59.59,+,0.49,0.83,
玻璃陶瓷類指數,56.40,+,1.48,2.69,
造紙類指數,295.00,+,6.91,2.40,
鋼鐵類指數,128.32,+,2.71,2.16,
橡膠類指數,226.92,+,2.85,1.27,
汽車類指數,312.41,+,2.73,0.88,
電子工業類指數,596.90,+,9.21,1.57,
半導體類指數,269.22,+,6.15,2.34,
電腦及週邊設備類指數,116.44,+,2.50,2.19,
光電類指數,32.10,+,0.23,0.72,
通信網路類指數,121.66,-,0.86,-0.70,
電子零組件類指數,148.37,+,0.25,0.17,
電子通路類指數,160.51,+,0.35,0.22,
資訊服務類指數,117.25,+,0.75,0.64,
其他電子類指數,93.09,+,0.21,0.23,
建材營造類指數,334.07,-,0.41,-0.12,
航運類指數,149.32,+,2.80,1.91,
觀光類指數,99.29,+,2.19,2.26,
金融保險類指數,"1,440.86",+,19.32,1.36,
貿易百貨類指數,255.63,+,3.59,1.42,
油電燃氣類指數,108.54,+,0.84,0.78,
其他類指數,317.64,+,4.14,1.32,
臺指日報酬兩倍指數,"21,976.87",+,645.25,3.02,
臺指反向一倍指數,"5,202.04",-,79.89,-1.51,
電子類兩倍槓桿指數,"19,734.13",+,599.73,3.13,
電子類反向指數,"4,848.78",-,77.20,-1.57,
價格指數(跨市場),,,,,
指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
臺灣生技指數,"3,830.80",-,22.00,-0.57,
臺灣中小型公司治理指數,"6,156.59",+,95.64,1.58,
臺灣IPO指數,"4,313.74",+,73.55,1.73,
智慧中立指數,"3,449.37",+,0.50,0.01,
臺灣5G指數,"6,521.35",+,105.54,1.64,
臺灣企業社會責任中小型指數,"7,411.81",+,132.05,1.81,
特選臺灣電動車代表指數,"5,520.00",+,110.97,2.05,
臺灣5G+通訊指數,"4,900.09",+,73.79,1.53,
臺灣全市場指數,"4,461.66",+,68.41,1.56,
