指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
寶島股價指數,"17,571.67",+,160.99,0.92,
發行量加權股價指數,"15,417.35",+,128.38,0.84,
臺灣公司治理100指數,"8,938.18",+,71.05,0.80,
臺灣50指數,"11,982.76",+,100.32,0.84,
臺灣50權重上限30%指數,"11,312.10",+,84.05,0.75,
臺灣中型100指數,"13,002.06",+,141.52,1.10,
臺灣資訊科技指數,"20,346.94",+,245.85,1.22,
臺灣發達指數,"10,099.15",+,34.43,0.34,
臺灣高股息指數,"6,264.03",-,17.50,-0.28,
臺灣就業99指數,"9,188.42",+,51.06,0.56,
臺灣高薪100指數,"8,451.09",+,19.59,0.23,
未含金融指數,"13,242.43",+,124.68,0.95,
未含電子指數,"17,922.95",+,58.95,0.33,
未含金融電子指數,"14,845.28",+,67.74,0.46,
小型股300指數,"8,312.65",+,73.09,0.89,
水泥窯製類指數,638.11,+,1.92,0.30,
塑膠化工類指數,830.92,+,7.10,0.86,
機電類指數,"4,018.22",+,47.24,1.19,
水泥類指數,169.58,+,0.45,0.27,
食品類指數,"1,828.04",+,7.07,0.39,
塑膠類指數,243.92,+,2.11,0.87,
紡織纖維類指數,563.89,+,6.01,1.08,
電機機械類指數,226.06,+,1.87,0.83,
電器電纜類指數,91.60,+,3.85,4.39,
化學生技醫療類指數,114.48,+,1.24,1.10,
化學類指數,137.76,+,1.73,1.27,
生技醫療類指數,64.79,+,0.57,0.89,
玻璃陶瓷類指數,47.61,+,0.27,0.57,
造紙類指數,299.26,+,2.57,0.87,
鋼鐵類指數,140.26,+,2.43,1.76,
橡膠類指數,248.68,+,0.48,0.19,
汽車類指數,326.05,+,1.16,0.36,
電子工業類指數,719.09,+,8.35,1.17,
半導體類指數,346.10,+,5.28,1.55,
電腦及週邊設備類指數,123.14,-,0.73,-0.59,
光電類指數,33.38,+,0.24,0.72,
通信網路類指數,138.08,-,0.04,-0.03,
電子零組件類指數,161.34,+,3.90,2.48,
電子通路類指數,174.23,+,0.74,0.43,
資訊服務類指數,126.21,+,0.65,0.52,
其他電子類指數,103.17,-,0.13,-0.13,
建材營造類指數,354.40,+,0.66,0.19,
航運類指數,204.61,-,5.31,-2.53,
觀光類指數,96.80,+,0.71,0.74,
金融保險類指數,"1,606.20",+,0.64,0.04,
貿易百貨類指數,300.72,+,2.38,0.80,
油電燃氣類指數,111.21,+,1.17,1.06,
其他類指數,366.20,+,4.27,1.18,
臺指日報酬兩倍指數,"30,179.64",+,498.46,1.68,
臺指反向一倍指數,"4,506.46",-,38.16,-0.84,
電子類兩倍槓桿指數,"29,087.62",+,667.77,2.35,
電子類反向指數,"4,085.69",-,48.57,-1.17,
價格指數(跨市場),,,,,
指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
臺灣生技指數,"4,016.41",+,55.33,1.40,
臺灣中小型公司治理指數,"6,853.78",+,127.87,1.90,
臺灣IPO指數,"5,149.05",+,126.26,2.51,
智慧中立指數,"3,704.01",-,35.66,-0.95,
臺灣5G指數,"7,576.38",+,130.11,1.75,
臺灣企業社會責任中小型指數,"7,913.70",+,33.26,0.42,
特選臺灣電動車代表指數,"5,651.77",+,38.56,0.69,
臺灣5G+通訊指數,"5,783.08",+,64.34,1.13,
臺灣全市場指數,"5,231.65",+,47.41,0.91,
臺灣全市場半導體指數,"4,840.52",+,103.26,2.18,
臺灣電動車與自駕科技永續概念指數,"4,169.75",+,51.12,1.24,
臺灣智慧移動與電動車指數,"3,870.02",+,73.43,1.93,
特選小資高價30指數,"4,439.28",+,96.76,2.23,
特選臺灣綠能及電動車指數,"4,402.07",+,46.28,1.06,
特選臺灣智能車供應鏈聯盟指數,"4,253.71",+,49.23,1.17,
臺灣全市場半導體精選30指數,"3,814.10",+,83.79,2.25,
特選臺灣高股息30指數,"3,812.51",+,10.60,0.28,
臺灣友善環境指數,"4,626.32",+,36.57,0.80,
台灣永續價值指數,"4,343.16",+,32.31,0.75,
特選臺灣IC設計指數,"2,829.38",+,108.87,4.00,
特選臺灣環境永續高股息指數,"3,995.18",+,28.64,0.72,
臺灣友善環境50指數,"4,073.91",+,34.36,0.85,
特選台灣策略高股息30指數,"3,770.08",+,13.15,0.35,
特選臺灣IC設計產業代表指數,"3,265.63",+,127.14,4.05,
特選臺灣綠能指數,"4,722.90",+,54.75,1.17,
特選臺灣成長高股息指數,"3,750.82",+,20.77,0.56,
特選臺灣智慧50指數,"3,986.12",+,26.85,0.68,
特選臺灣標竿PCB指數,"3,881.19",+,85.67,2.26,
臺灣晶圓製造指數,"4,395.24",+,78.28,1.81,
臺灣精選高息指數,"3,822.68",+,7.68,0.20,
臺灣多因子優選高股息30指數,"4,750.12",-,6.29,-0.13,
特選臺灣優利高填息30指數,"4,495.72",-,15.36,-0.34,
價格指數(臺灣指數公司),,,,,
指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
金融類日報酬兩倍指數,"28,738.88",+,22.89,0.08,
金融類日報酬反向一倍指數,"4,792.06",-,1.91,-0.04,
漲升股利150指數,"7,948.07",+,62.04,0.79,
藍籌30指數,"7,522.16",+,88.37,1.19,
工業菁英30指數,"7,926.28",+,130.90,1.68,
電子菁英30指數,"7,599.44",+,151.00,2.03,
低波動股利精選30指數,"7,018.17",-,16.05,-0.23,
