指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
寶島股價指數,"14,973.77",-,21.13,-0.14,
發行量加權股價指數,"13,081.24",-,24.79,-0.19,
臺灣公司治理100指數,"7,405.75",-,27.23,-0.37,
臺灣50指數,"9,784.01",-,30.64,-0.31,
臺灣50權重上限30%指數,"9,437.82",-,10.48,-0.11,
臺灣中型100指數,"11,745.90",+,34.90,0.30,
臺灣資訊科技指數,"16,356.24",-,79.71,-0.48,
臺灣發達指數,"8,941.03",-,4.73,-0.05,
臺灣高股息指數,"5,525.86",+,8.89,0.16,
臺灣就業99指數,"8,100.70",+,20.25,0.25,
臺灣高薪100指數,"7,342.59",+,2.02,0.03,
未含金融指數,"11,162.79",-,32.62,-0.29,
未含電子指數,"15,997.62",-,6.57,-0.04,
未含金融電子指數,"13,276.30",-,38.08,-0.29,
小型股300指數,"7,586.99",-,0.67,-0.01,
水泥窯製類指數,577.78,-,1.08,-0.19,
塑膠化工類指數,756.85,-,11.19,-1.46,
機電類指數,"3,305.18",-,8.57,-0.26,
水泥類指數,151.55,+,0.03,0.02,
食品類指數,"1,789.20",+,19.58,1.11,
塑膠類指數,220.31,-,4.93,-2.19,
紡織纖維類指數,546.87,+,5.84,1.08,
電機機械類指數,202.03,+,1.46,0.73,
電器電纜類指數,88.54,+,0.76,0.87,
化學生技醫療類指數,105.33,-,0.45,-0.43,
化學類指數,121.20,-,0.47,-0.39,
生技醫療類指數,62.47,-,0.29,-0.46,
玻璃陶瓷類指數,47.05,-,0.74,-1.55,
造紙類指數,286.62,-,0.09,-0.03,
鋼鐵類指數,128.61,+,0.40,0.31,
橡膠類指數,232.50,+,1.00,0.43,
汽車類指數,304.32,+,0.60,0.20,
電子工業類指數,589.48,-,1.74,-0.29,
半導體類指數,266.29,-,2.21,-0.82,
電腦及週邊設備類指數,114.30,+,0.94,0.83,
光電類指數,30.28,+,0.25,0.83,
通信網路類指數,123.92,+,0.68,0.55,
電子零組件類指數,141.90,+,1.37,0.97,
電子通路類指數,161.15,-,0.71,-0.44,
資訊服務類指數,118.60,+,0.34,0.29,
其他電子類指數,94.17,-,0.46,-0.49,
建材營造類指數,337.78,+,1.10,0.33,
