指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
寶島股價指數,"19,027.20",-,77.28,-0.40,
發行量加權股價指數,"16,634.51",-,85.31,-0.51,
臺灣公司治理100指數,"9,345.40",-,75.57,-0.80,
臺灣50指數,"12,370.22",-,109.01,-0.87,
臺灣50權重上限30%指數,"11,614.05",-,93.93,-0.80,
臺灣中型100指數,"17,037.99",-,19.90,-0.12,
臺灣資訊科技指數,"23,191.90",-,157.86,-0.68,
臺灣發達指數,"9,712.62",-,58.56,-0.60,
臺灣高股息指數,"8,157.21",-,9.67,-0.12,
臺灣就業99指數,"10,961.75",-,57.11,-0.52,
臺灣高薪100指數,"9,064.27",-,50.74,-0.56,
未含金融指數,"14,422.05",-,61.12,-0.42,
未含電子指數,"17,673.68",-,94.32,-0.53,
未含金融電子指數,"14,505.61",-,32.93,-0.23,
小型股300指數,"9,673.13",+,73.67,0.77,
水泥窯製類指數,611.75,-,5.86,-0.95,
塑膠化工類指數,791.87,-,2.51,-0.32,
機電類指數,"4,601.10",-,20.58,-0.45,
水泥類指數,158.72,-,1.10,-0.69,
食品類指數,"1,980.34",-,27.47,-1.37,
塑膠類指數,218.06,-,1.95,-0.89,
紡織纖維類指數,587.28,+,0.42,0.07,
電機機械類指數,307.22,+,1.84,0.60,
電器電纜類指數,103.17,+,2.65,2.64,
化學生技醫療類指數,123.30,+,0.81,0.66,
化學類指數,150.14,+,0.74,0.50,
生技醫療類指數,68.89,+,0.58,0.85,
玻璃陶瓷類指數,53.34,-,1.38,-2.52,
造紙類指數,342.00,+,3.52,1.04,
鋼鐵類指數,136.15,+,0.26,0.19,
橡膠類指數,247.32,+,0.41,0.17,
汽車類指數,401.32,-,3.03,-0.75,
電子工業類指數,819.87,-,4.11,-0.50,
半導體類指數,368.98,-,3.50,-0.94,
電腦及週邊設備類指數,241.82,-,0.27,-0.11,
光電類指數,34.76,+,0.01,0.03,
通信網路類指數,141.36,-,0.55,-0.39,
電子零組件類指數,198.41,+,1.16,0.59,
電子通路類指數,184.03,+,1.72,0.94,
資訊服務類指數,172.03,+,1.58,0.93,
其他電子類指數,103.93,+,0.31,0.30,
建材營造類指數,376.42,+,1.45,0.39,
航運類指數,139.02,-,0.06,-0.04,
觀光餐旅類指數,132.39,-,0.44,-0.33,
金融保險類指數,"1,616.37",-,19.46,-1.19,
貿易百貨類指數,280.49,-,1.85,-0.66,
油電燃氣類指數,106.47,-,1.47,-1.36,
綠能環保類指數,88.74,+,0.81,0.92,
數位雲端類指數,83.80,-,0.94,-1.11,
運動休閒類指數,90.00,-,0.07,-0.08,
居家生活類指數,90.06,-,2.16,-2.34,
其他類指數,357.37,+,1.12,0.31,
臺指日報酬兩倍指數,"34,280.01",-,353.42,-1.02,
臺指反向一倍指數,"4,064.68",+,20.63,0.51,
電子類兩倍槓桿指數,"36,227.27",-,365.04,-1.00,
電子類反向指數,"3,429.21",+,17.02,0.50,
價格指數(跨市場),,,,,
指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
臺灣生技指數,"4,175.09",+,32.45,0.78,
臺灣中小型公司治理指數,"8,660.99",+,29.94,0.35,
臺灣IPO指數,"4,685.35",+,27.48,0.59,
智慧中立指數,"3,249.71",-,9.14,-0.28,
臺灣5G指數,"8,057.10",-,34.05,-0.42,
臺灣企業社會責任中小型指數,"10,278.23",+,21.61,0.21,
特選臺灣電動車代表指數,"8,726.53",+,46.65,0.54,
臺灣5G+通訊指數,"6,702.93",-,6.05,-0.09,
臺灣全市場指數,"5,664.26",-,25.69,-0.45,
臺灣全市場半導體指數,"5,283.11",-,29.04,-0.55,
臺灣智慧移動與電動車指數,"4,377.60",+,13.06,0.30,
特選小資高價30指數,"5,159.08",-,32.73,-0.63,
特選臺灣綠能及電動車指數,"5,195.15",-,22.54,-0.43,
特選臺灣智能車供應鏈聯盟指數,"4,900.37",-,24.85,-0.50,
臺灣全市場半導體精選30指數,"4,182.42",-,29.83,-0.71,
特選臺灣高股息30指數,"4,326.71",-,1.13,-0.03,
臺灣友善環境指數,"5,053.57",-,26.09,-0.51,
台灣永續價值指數,"4,693.14",-,39.46,-0.83,
特選臺灣IC設計指數,"3,452.04",-,5.18,-0.15,
特選臺灣環境永續高股息指數,"5,060.36",+,14.47,0.29,
臺灣友善環境50指數,"4,062.02",-,32.54,-0.79,
特選臺灣IC設計產業代表指數,"4,436.21",+,8.38,0.19,
特選臺灣綠能指數,"5,076.91",+,20.27,0.40,
特選臺灣智慧50指數,"3,889.60",-,44.04,-1.12,
特選臺灣標竿PCB指數,"4,976.93",+,92.18,1.89,
臺灣晶圓製造指數,"4,567.17",-,39.29,-0.85,
臺灣精選高息指數,"4,195.41",+,14.99,0.36,
臺灣多因子優選高股息30指數,"6,256.05",+,19.54,0.31,
特選臺灣優利高填息30指數,"5,689.64",-,5.54,-0.10,
臺灣多因子優選成長30指數,"6,541.52",-,41.08,-0.62,
特選臺灣科技優息指數,"7,282.60",+,34.75,0.48,
臺灣工業4.0指數,"6,396.93",+,34.93,0.55,
臺灣半導體收益指數,"5,124.76",-,17.91,-0.35,
臺灣優選成長高股息指數,"6,251.73",-,28.66,-0.46,
特選臺灣ESG低碳高息40指數,"6,451.47",+,7.17,0.11,
臺灣優選多因子30指數,"6,494.04",+,20.78,0.32,
臺灣創新科技50指數,"5,171.42",-,16.57,-0.32,
臺灣全市場新經濟產業指數,"4,468.46",-,7.08,-0.16,
臺灣ESG永續高股息等權重指數,"5,429.76",+,35.62,0.66,
價格指數(臺灣指數公司),,,,,
指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
金融類日報酬兩倍指數,"28,627.22",-,697.70,-2.38,
金融類日報酬反向一倍指數,"4,684.10",+,55.07,1.19,
漲升股利150指數,"8,262.49",-,40.33,-0.49,
藍籌30指數,"7,627.32",-,58.97,-0.77,
工業菁英30指數,"8,149.97",-,43.34,-0.53,
電子菁英30指數,"9,101.48",-,53.81,-0.59,
低波動股利精選30指數,"7,352.91",-,19.38,-0.26,
中小型A級動能50指數,"23,631.39",-,57.97,-0.24,
