指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
寶島股價指數,"17,792.41",-,123.53,-0.69,
發行量加權股價指數,"15,503.79",-,111.62,-0.71,
臺灣公司治理100指數,"8,823.50",-,78.23,-0.88,
臺灣50指數,"11,804.37",-,125.34,-1.05,
臺灣50權重上限30%指數,"11,169.74",-,107.81,-0.96,
臺灣中型100指數,"13,857.49",-,23.75,-0.17,
臺灣資訊科技指數,"20,438.35",-,244.92,-1.18,
臺灣發達指數,"10,077.07",-,42.48,-0.42,
臺灣高股息指數,"6,463.53",-,16.26,-0.25,
臺灣就業99指數,"9,568.33",-,16.95,-0.18,
臺灣高薪100指數,"8,477.34",-,42.87,-0.50,
未含金融指數,"13,366.94",-,105.56,-0.78,
未含電子指數,"18,052.56",-,42.44,-0.23,
未含金融電子指數,"15,143.18",-,37.57,-0.25,
小型股300指數,"8,845.15",-,35.54,-0.40,
水泥窯製類指數,675.39,-,2.89,-0.43,
塑膠化工類指數,857.50,-,7.29,-0.84,
機電類指數,"4,060.58",-,41.75,-1.02,
水泥類指數,174.21,-,0.71,-0.41,
食品類指數,"1,878.64",+,9.89,0.53,
塑膠類指數,248.16,-,1.60,-0.64,
紡織纖維類指數,586.88,-,3.05,-0.52,
電機機械類指數,260.62,-,1.69,-0.64,
電器電纜類指數,123.16,-,1.28,-1.03,
化學生技醫療類指數,124.89,-,1.54,-1.22,
化學類指數,137.46,-,1.12,-0.81,
生技醫療類指數,77.29,-,1.23,-1.57,
玻璃陶瓷類指數,61.01,-,0.32,-0.52,
造紙類指數,317.70,+,3.47,1.10,
鋼鐵類指數,149.13,-,1.29,-0.86,
橡膠類指數,240.42,-,2.50,-1.03,
汽車類指數,349.76,-,0.58,-0.17,
電子工業類指數,722.40,-,7.50,-1.03,
半導體類指數,347.17,-,4.25,-1.21,
電腦及週邊設備類指數,134.68,+,0.08,0.06,
光電類指數,35.61,-,0.14,-0.39,
通信網路類指數,130.44,-,0.51,-0.39,
電子零組件類指數,162.66,-,1.22,-0.74,
電子通路類指數,179.10,-,1.51,-0.84,
資訊服務類指數,136.74,+,0.33,0.24,
其他電子類指數,97.62,-,2.02,-2.03,
建材營造類指數,365.13,+,1.58,0.43,
航運類指數,168.09,+,0.65,0.39,
觀光類指數,145.84,-,0.71,-0.48,
金融保險類指數,"1,571.61",-,3.21,-0.20,
貿易百貨類指數,298.30,+,0.89,0.30,
油電燃氣類指數,112.02,+,0.19,0.17,
其他類指數,371.33,-,0.29,-0.08,
臺指日報酬兩倍指數,"29,934.68",-,434.16,-1.43,
臺指反向一倍指數,"4,395.55",+,31.20,0.71,
電子類兩倍槓桿指數,"28,448.18",-,596.90,-2.06,
電子類反向指數,"3,940.37",+,40.08,1.03,
價格指數(跨市場),,,,,
指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
臺灣生技指數,"4,536.04",-,47.92,-1.05,
臺灣中小型公司治理指數,"7,471.91",+,7.59,0.10,
臺灣IPO指數,"5,238.21",-,32.36,-0.61,
智慧中立指數,"3,431.83",-,4.62,-0.13,
臺灣5G指數,"7,735.58",-,92.27,-1.18,
臺灣企業社會責任中小型指數,"8,554.10",-,21.66,-0.25,
特選臺灣電動車代表指數,"5,904.18",-,65.71,-1.10,
臺灣5G+通訊指數,"5,795.64",-,79.64,-1.36,
臺灣全市場指數,"5,275.17",-,40.93,-0.77,
臺灣全市場半導體指數,"5,103.27",-,46.66,-0.91,
臺灣智慧移動與電動車指數,"4,010.37",-,46.84,-1.15,
特選小資高價30指數,"4,865.77",-,25.43,-0.52,
特選臺灣綠能及電動車指數,"4,640.53",-,40.38,-0.86,
特選臺灣智能車供應鏈聯盟指數,"4,366.96",-,52.88,-1.20,
臺灣全市場半導體精選30指數,"4,050.35",-,34.43,-0.84,
特選臺灣高股息30指數,"4,042.49",+,1.18,0.03,
臺灣友善環境指數,"4,680.32",-,34.83,-0.74,
台灣永續價值指數,"4,387.00",-,28.50,-0.65,
特選臺灣IC設計指數,"3,279.07",-,12.36,-0.38,
特選臺灣環境永續高股息指數,"4,477.92",-,20.28,-0.45,
臺灣友善環境50指數,"4,011.21",-,43.51,-1.07,
特選台灣策略高股息30指數,"4,029.83",-,6.47,-0.16,
特選臺灣IC設計產業代表指數,"4,080.00",+,15.50,0.38,
特選臺灣綠能指數,"5,134.70",-,33.88,-0.66,
特選臺灣成長高股息指數,"4,271.89",-,30.74,-0.71,
特選臺灣智慧50指數,"3,941.08",-,43.19,-1.08,
特選臺灣標竿PCB指數,"3,603.42",-,31.45,-0.87,
臺灣晶圓製造指數,"4,648.15",-,48.88,-1.04,
臺灣精選高息指數,"4,119.83",-,14.83,-0.36,
臺灣多因子優選高股息30指數,"5,066.88",+,3.39,0.07,
特選臺灣優利高填息30指數,"4,806.03",-,23.37,-0.48,
臺灣多因子優選成長30指數,"5,687.96",-,3.33,-0.06,
價格指數(臺灣指數公司),,,,,
指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
金融類日報酬兩倍指數,"27,224.39",-,111.44,-0.41,
金融類日報酬反向一倍指數,"4,845.94",+,9.86,0.20,
漲升股利150指數,"8,164.58",-,27.87,-0.34,
藍籌30指數,"7,571.15",-,80.31,-1.05,
工業菁英30指數,"8,107.98",-,107.87,-1.31,
電子菁英30指數,"8,156.16",-,58.06,-0.71,
低波動股利精選30指數,"6,526.12",-,42.25,-0.64,
中小型A級動能50指數,"14,552.70",-,110.34,-0.75,
特選高息低波指數,"6,864.45",+,2.06,0.03,
臺灣永續指數,"7,845.56",-,70.95,-0.90,
價值投資指數,"6,207.32",-,68.60,-1.09,
存股雙十等權重指數,"7,097.02",-,19.68,-0.28,
特選大蘋果指數,"6,842.77",-,54.45,-0.79,
中小型300指數,"8,903.82",-,11.41,-0.13,
特股高息20指數,"5,849.29",-,0.32,-0.01,
臺灣500指數,"7,984.29",-,55.38,-0.69,
臺灣勞工權益指數,"7,366.50",-,43.61,-0.59,
微波高息精選20指數,"6,407.78",-,47.99,-0.74,
特選世代行動通訊指數,"6,110.43",-,39.68,-0.65,
智慧投資多因子30指數,"4,990.67",-,21.80,-0.43,
臺股期貨指數,"8,227.01",-,29.11,-0.35,
特選價值成長指數,"6,924.16",-,17.55,-0.25,
臺灣上櫃永續指數,"6,215.80",-,49.94,-0.80,
特選台股領航指數,"6,805.21",-,78.57,-1.14,
特選Smart多因子指數,"5,787.10",-,52.10,-0.89,
特選ESG高股息指數,"4,247.99",-,39.00,-0.91,
特選上櫃ESG成長指數,"4,398.11",-,57.45,-1.29,
特選上櫃ESG電子菁英指數,"4,497.05",-,52.41,-1.15,
臺灣優息存股指數,"4,860.08",-,4.41,-0.09,
特選上櫃ESG永續高股息指數,"6,167.06",-,123.72,-1.97,
特選臺灣金融高股息存股指數,"5,053.62",-,17.70,-0.35,
特選臺灣產業龍頭存股等權重指數,"5,646.75",-,32.04,-0.56,
上櫃ESG 30指數,"5,718.06",-,48.48,-0.84,
臺灣ESG低碳50指數,"5,160.82",-,44.25,-0.85,
報酬指數(臺灣證券交易所),,,,,
報酬指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
寶島股價報酬指數,"24,896.21",-,172.85,-0.69,
發行量加權股價報酬指數,"32,229.20",-,232.05,-0.71,
臺灣公司治理100報酬指數,"12,128.61",-,107.54,-0.88,
臺灣50報酬指數,"24,740.60",-,262.70,-1.05,
臺灣50權重上限30%報酬指數,"23,638.74",-,228.17,-0.96,
臺灣中型100報酬指數,"27,092.25",-,46.44,-0.17,
臺灣資訊科技股報酬指數,"40,247.08",-,482.29,-1.18,
臺灣發達報酬指數,"19,428.49",-,81.90,-0.42,
臺灣高股息報酬指數,"17,841.36",-,44.87,-0.25,
臺灣就業99報酬指數,"14,930.50",-,26.45,-0.18,
臺灣高薪100報酬指數,"12,227.67",-,61.84,-0.50,
未含金融電子報酬指數,"32,218.42",-,79.94,-0.25,
小型股300報酬指數,"11,717.13",-,47.08,-0.40,
水泥類報酬指數,346.18,-,1.43,-0.41,
食品類報酬指數,"2,937.42",+,15.46,0.53,
塑膠類報酬指數,455.51,-,2.94,-0.64,
紡織纖維類報酬指數,960.05,-,4.99,-0.52,
電機機械類報酬指數,393.82,-,2.55,-0.64,
電器電纜類報酬指數,190.03,-,1.97,-1.03,
化學生技醫療類報酬指數,196.00,-,2.41,-1.21,
化學類報酬指數,231.44,-,1.88,-0.81,
生技醫療類報酬指數,109.36,-,1.75,-1.58,
玻璃陶瓷類報酬指數,77.12,-,0.42,-0.54,
造紙類報酬指數,494.29,+,5.40,1.10,
鋼鐵類報酬指數,252.24,-,2.20,-0.86,
橡膠類報酬指數,386.25,-,4.03,-1.03,
汽車類報酬指數,561.37,-,0.93,-0.17,
電子工業類報酬指數,"1,360.04",-,14.13,-1.03,
半導體類報酬指數,613.82,-,7.51,-1.21,
電腦及週邊設備類報酬指數,297.28,+,0.17,0.06,
光電類報酬指數,52.60,-,0.21,-0.40,
通信網路類報酬指數,273.77,-,1.06,-0.39,
電子零組件類報酬指數,302.20,-,2.27,-0.75,
電子通路類報酬指數,430.68,-,3.64,-0.84,
資訊服務類報酬指數,318.93,+,0.78,0.25,
其他電子類報酬指數,157.94,-,3.27,-2.03,
建材營造類報酬指數,735.74,+,3.17,0.43,
航運類報酬指數,268.74,+,1.04,0.39,
觀光類報酬指數,202.80,-,0.99,-0.49,
金融保險類報酬指數,"2,728.87",-,5.59,-0.20,
貿易百貨類報酬指數,463.50,+,1.38,0.30,
油電燃氣類報酬指數,177.32,+,0.30,0.17,
其他類報酬指數,631.52,-,0.50,-0.08,
報酬指數(跨市場),,,,,
報酬指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
臺灣生技報酬指數,"5,024.53",-,53.09,-1.05,
臺灣中小型公司治理報酬指數,"9,823.25",+,9.98,0.10,
臺灣IPO報酬指數,"6,118.59",-,37.80,-0.61,
智慧中立報酬指數,"3,981.78",-,5.37,-0.13,
加權指數掩護性臺指買權價外5%報酬指數,"6,575.36",-,44.63,-0.67,
臺灣5G報酬指數,"8,659.94",-,103.30,-1.18,
臺灣企業社會責任中小型報酬指數,"9,955.49",-,25.21,-0.25,
特選臺灣電動車代表報酬指數,"6,659.47",-,74.12,-1.10,
臺灣5G+通訊報酬指數,"6,309.33",-,86.70,-1.36,
臺灣全市場報酬指數,"5,679.56",-,44.07,-0.77,
臺灣全市場半導體報酬指數,"5,520.38",-,50.47,-0.91,
臺灣智慧移動與電動車報酬指數,"4,349.35",-,50.80,-1.15,
特選小資高價30報酬指數,"5,217.74",-,27.27,-0.52,
特選臺灣綠能及電動車報酬指數,"5,054.54",-,43.98,-0.86,
特選臺灣智能車供應鏈聯盟報酬指數,"4,701.39",-,56.93,-1.20,
臺灣全市場半導體精選30報酬指數,"4,308.52",-,36.62,-0.84,
特選臺灣高股息30報酬指數,"4,656.42",+,1.36,0.03,
臺灣友善環境報酬指數,"4,971.59",-,37.00,-0.74,
台灣永續價值報酬指數,"4,595.63",-,29.85,-0.65,
特選臺灣IC設計報酬指數,"3,560.00",-,13.42,-0.38,
特選臺灣環境永續高股息報酬指數,"5,029.69",-,22.78,-0.45,
臺灣友善環境50報酬指數,"4,244.88",-,46.04,-1.07,
特選台灣策略高股息30報酬指數,"4,623.16",-,7.42,-0.16,
特選臺灣IC設計產業代表報酬指數,"4,430.81",+,16.84,0.38,
特選臺灣綠能報酬指數,"5,381.85",-,35.51,-0.66,
特選臺灣成長高股息報酬指數,"4,907.57",-,35.31,-0.71,
特選臺灣智慧50報酬指數,"4,219.46",-,46.24,-1.08,
特選臺灣標竿PCB報酬指數,"3,762.29",-,32.83,-0.87,
臺灣晶圓製造報酬指數,"4,907.43",-,51.60,-1.04,
臺灣精選高息報酬指數,"4,650.67",-,16.74,-0.36,
臺灣多因子優選高股息30報酬指數,"5,479.49",+,3.66,0.07,
