指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
寶島股價指數,"16,862.43",-,23.78,-0.14,
發行量加權股價指數,"14,778.51",-,5.49,-0.04,
臺灣公司治理100指數,"8,532.15",+,10.58,0.12,
臺灣50指數,"11,453.52",+,10.25,0.09,
臺灣50權重上限30%指數,"10,822.09",-,1.07,-0.01,
臺灣中型100指數,"12,742.58",-,72.92,-0.57,
臺灣資訊科技指數,"19,673.30",-,13.64,-0.07,
臺灣發達指數,"9,630.13",+,11.04,0.11,
臺灣高股息指數,"5,941.94",-,38.76,-0.65,
臺灣就業99指數,"8,997.17",-,21.81,-0.24,
臺灣高薪100指數,"8,093.44",-,17.05,-0.21,
未含金融指數,"12,718.97",-,4.91,-0.04,
未含電子指數,"17,076.44",+,9.98,0.06,
未含金融電子指數,"14,195.32",+,13.60,0.10,
小型股300指數,"8,042.24",-,28.30,-0.35,
水泥窯製類指數,605.77,+,2.49,0.41,
塑膠化工類指數,830.76,-,0.81,-0.10,
機電類指數,"3,872.45",-,2.90,-0.07,
水泥類指數,153.09,+,0.72,0.47,
食品類指數,"1,801.46",+,5.76,0.32,
塑膠類指數,248.38,+,0.42,0.17,
紡織纖維類指數,562.46,-,3.90,-0.69,
電機機械類指數,219.26,+,0.32,0.15,
電器電纜類指數,102.24,+,2.04,2.04,
化學生技醫療類指數,111.74,-,1.01,-0.90,
化學類指數,126.70,-,0.34,-0.27,
生技醫療類指數,67.24,-,1.01,-1.48,
玻璃陶瓷類指數,61.30,+,0.06,0.10,
造紙類指數,305.36,-,0.80,-0.26,
鋼鐵類指數,134.32,-,1.22,-0.90,
橡膠類指數,235.22,+,0.67,0.29,
汽車類指數,338.20,+,2.01,0.60,
電子工業類指數,692.05,-,0.69,-0.10,
半導體類指數,332.60,+,0.15,0.05,
電腦及週邊設備類指數,121.59,-,0.94,-0.77,
光電類指數,33.67,-,0.41,-1.20,
通信網路類指數,125.33,+,1.24,1.00,
電子零組件類指數,162.86,-,0.48,-0.29,
電子通路類指數,168.02,-,1.23,-0.73,
資訊服務類指數,121.08,+,0.15,0.12,
