指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
寶島股價指數,"26,723.52",+,192.88,0.73,
發行量加權股價指數,"23,666.11",+,160.78,0.68,
臺灣公司治理100指數,"14,107.77",+,117.24,0.84,
臺灣50指數,"19,947.07",+,159.56,0.81,
臺灣50權重上限30%指數,"17,007.04",+,72.75,0.43,
臺灣中型100指數,"19,940.14",+,118.44,0.60,
臺灣資訊科技指數,"40,001.00",+,451.24,1.14,
臺灣發達指數,"10,076.18",-,73.38,-0.72,
臺灣高股息指數,"9,607.12",+,47.14,0.49,
臺灣就業99指數,"13,778.85",+,61.03,0.44,
臺灣高薪100指數,"12,283.59",+,39.84,0.33,
未含金融指數,"20,658.92",+,149.85,0.73,
未含電子指數,"19,840.51",-,12.47,-0.06,
未含金融電子指數,"14,848.99",-,39.18,-0.26,
小型股300指數,"11,662.84",+,45.83,0.39,
水泥窯製類指數,595.80,-,2.39,-0.40,
塑膠化工類指數,641.78,-,12.04,-1.84,
機電類指數,"7,292.08",+,70.05,0.97,
水泥類指數,156.87,-,0.41,-0.26,
食品類指數,"2,162.45",+,1.78,0.08,
塑膠類指數,113.77,-,2.19,-1.89,
紡織纖維類指數,614.10,+,5.54,0.91,
電機機械類指數,411.32,+,0.58,0.14,
電器電纜類指數,96.71,-,0.79,-0.81,
化學生技醫療類指數,144.47,-,3.11,-2.11,
化學類指數,166.40,+,0.34,0.20,
生技醫療類指數,82.14,-,2.80,-3.30,
玻璃陶瓷類指數,46.95,-,0.64,-1.34,
造紙類指數,287.42,-,2.68,-0.92,
鋼鐵類指數,134.18,-,1.35,-1.00,
橡膠類指數,279.58,-,1.51,-0.54,
汽車類指數,383.26,+,0.34,0.09,
電子工業類指數,"1,309.28",+,12.94,1.00,
半導體類指數,676.30,+,7.56,1.13,
電腦及週邊設備類指數,278.09,+,4.80,1.76,
光電類指數,41.15,-,0.09,-0.22,
通信網路類指數,170.37,+,0.71,0.42,
電子零組件類指數,239.96,+,0.57,0.24,
電子通路類指數,243.13,+,0.46,0.19,
資訊服務類指數,246.79,-,0.29,-0.12,
其他電子類指數,169.99,+,1.04,0.62,
建材營造類指數,561.86,+,2.41,0.43,
航運類指數,202.24,+,0.67,0.33,
觀光餐旅類指數,120.19,+,0.15,0.12,
金融保險類指數,"2,176.32",+,6.36,0.29,
貿易百貨類指數,282.40,+,0.92,0.33,
油電燃氣類指數,56.62,-,1.00,-1.74,
綠能環保類指數,112.00,-,0.32,-0.28,
數位雲端類指數,65.92,+,0.26,0.40,
運動休閒類指數,97.65,+,0.98,1.01,
居家生活類指數,130.41,+,1.29,1.00,
其他類指數,333.41,+,0.17,0.05,
臺指日報酬兩倍指數,"65,843.61",+,888.60,1.37,
臺指反向一倍指數,"2,715.01",-,18.70,-0.68,
電子類兩倍槓桿指數,"85,222.17",+,"1,668.07",2.00,
電子類反向指數,"1,984.48",-,20.01,-1.00,
價格指數(跨市場),,,,,
指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
臺灣生技指數,"4,065.37",-,120.73,-2.88,
臺灣中小型公司治理指數,"10,595.91",+,111.12,1.06,
臺灣IPO指數,"6,391.25",+,59.88,0.95,
智慧中立指數,"3,714.12",+,2.14,0.06,
臺灣5G指數,"11,886.00",+,29.20,0.25,
臺灣企業社會責任中小型指數,"12,032.02",+,76.52,0.64,
特選臺灣電動車代表指數,"10,137.83",+,6.73,0.07,
臺灣科技龍頭通訊指數,"10,478.32",+,61.39,0.59,
臺灣全市場指數,"8,191.75",+,55.24,0.68,
臺灣全市場半導體指數,"8,246.33",+,51.76,0.63,
臺灣智慧移動與電動車指數,"5,877.02",+,22.76,0.39,
特選小資高價30指數,"8,474.76",+,111.52,1.33,
特選臺灣綠能及電動車指數,"6,197.37",+,27.24,0.44,
特選臺灣智能車供應鏈聯盟指數,"7,545.54",+,54.66,0.73,
臺灣全市場半導體精選30指數,"6,458.03",+,35.29,0.55,
特選臺灣高股息30指數,"5,118.73",+,7.39,0.14,
臺灣友善環境指數,"7,246.79",+,54.87,0.76,
台灣永續價值指數,"6,592.06",+,46.10,0.70,
特選臺灣IC設計指數,"4,822.71",+,4.68,0.10,
特選臺灣環境永續高股息指數,"7,036.62",+,41.52,0.59,
臺灣友善環境50指數,"6,034.14",+,32.79,0.55,
特選臺灣IC設計產業代表指數,"6,125.45",+,21.62,0.35,
特選臺灣綠能指數,"5,201.22",-,19.05,-0.36,
特選臺灣智慧50指數,"5,581.36",+,39.46,0.71,
臺灣晶圓製造指數,"6,342.07",+,66.65,1.06,
臺灣精選高息指數,"5,558.54",+,1.61,0.03,
臺灣多因子優選高股息30指數,"8,535.30",+,13.65,0.16,
特選臺灣優利高填息30指數,"7,338.37",+,23.71,0.32,
特選臺灣科技優息指數,"8,915.65",+,19.24,0.22,
臺灣半導體收益指數,"6,987.81",+,25.16,0.36,
臺灣優選成長高股息指數,"7,726.94",+,25.37,0.33,
特選臺灣ESG低碳高息40指數,"8,289.71",+,26.64,0.32,
臺灣優選多因子30指數,"8,867.32",+,14.79,0.17,
臺灣創新科技50指數,"7,965.87",+,39.44,0.50,
臺灣全市場新經濟產業指數,"4,867.59",+,20.95,0.43,
臺灣ESG永續高股息等權重指數,"6,262.10",+,26.87,0.43,
臺灣永續高息中小型指數,"5,638.49",+,19.06,0.34,
特選臺灣高息優質成長指數,"6,054.74",+,37.31,0.62,
特選臺灣高息動能指數,"6,663.72",+,24.20,0.36,
臺灣電子成長高息等權重指數,"5,993.54",+,38.91,0.65,
特選臺灣優利成長指數,"5,101.26",+,16.48,0.32,
臺灣價值高息指數,"5,607.28",+,10.90,0.19,
特選臺灣IC設計動能指數,"5,149.92",-,15.18,-0.29,
臺灣科技高股息指數,"5,341.31",+,13.74,0.26,
臺灣趨勢動能高股息指數,"5,867.81",+,24.58,0.42,
特選臺灣科技高息成長指數,"5,315.26",+,1.35,0.03,
特選臺灣AI優息動能指數,"5,135.76",+,56.88,1.12,
臺灣優選AI 50指數,"5,037.31",+,57.88,1.16,
臺灣AI供應鏈聯盟指數,"5,744.49",+,76.30,1.35,
台灣旗艦動能50指數,"5,533.97",+,3.39,0.06,
價格指數(臺灣指數公司),,,,,
指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
金融類日報酬兩倍指數,"50,351.85",+,293.44,0.59,
金融類日報酬反向一倍指數,"3,376.97",-,9.93,-0.29,
漲升股利150指數,"10,244.27",+,30.62,0.30,
藍籌30指數,"11,510.30",+,36.43,0.32,
工業菁英30指數,"11,740.43",+,76.66,0.66,
低波動股利精選30指數,"8,626.47",+,5.36,0.06,
中小型A級動能50指數,"23,752.58",+,304.25,1.30,
特選高息低波指數,"10,264.62",+,39.52,0.39,
臺灣永續指數,"12,418.78",+,75.04,0.61,
價值投資指數,"8,284.63",+,29.10,0.35,
存股雙十等權重指數,"10,152.15",+,60.63,0.60,
特選大蘋果指數,"11,604.53",+,43.88,0.38,
中小型300指數,"11,959.43",+,41.61,0.35,
臺灣500指數,"11,854.71",+,64.28,0.55,
