指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
寶島股價指數,"25,303.60",-,212.62,-0.83,
發行量加權股價指數,"22,237.89",-,191.21,-0.85,
臺灣公司治理100指數,"12,992.34",-,142.11,-1.08,
臺灣50指數,"18,121.89",-,220.82,-1.20,
臺灣50權重上限30%指數,"15,842.75",-,163.37,-1.02,
臺灣中型100指數,"19,660.77",-,47.96,-0.24,
臺灣資訊科技指數,"35,947.95",-,512.25,-1.40,
臺灣發達指數,"10,099.58",+,3.92,0.04,
臺灣高股息指數,"9,568.84",-,62.38,-0.65,
臺灣就業99指數,"13,300.64",-,71.29,-0.53,
臺灣高薪100指數,"11,648.15",-,77.70,-0.66,
未含金融指數,"19,411.43",-,184.30,-0.94,
未含電子指數,"20,100.26",-,11.86,-0.06,
未含金融電子指數,"15,668.17",-,5.10,-0.03,
小型股300指數,"11,726.44",-,38.57,-0.33,
水泥窯製類指數,605.13,-,1.03,-0.17,
塑膠化工類指數,717.08,+,1.72,0.24,
機電類指數,"6,652.01",-,78.54,-1.17,
水泥類指數,160.05,-,0.39,-0.24,
食品類指數,"2,263.53",+,21.35,0.95,
塑膠類指數,155.21,+,0.41,0.26,
紡織纖維類指數,660.90,+,3.64,0.55,
電機機械類指數,403.15,+,1.30,0.32,
電器電纜類指數,113.85,-,0.13,-0.11,
化學生技醫療類指數,141.73,+,0.40,0.28,
化學類指數,165.90,+,1.45,0.88,
生技醫療類指數,80.38,-,0.09,-0.11,
玻璃陶瓷類指數,46.15,+,0.18,0.39,
造紙類指數,318.19,+,2.37,0.75,
鋼鐵類指數,133.89,+,0.32,0.24,
橡膠類指數,285.85,+,0.05,0.02,
汽車類指數,385.06,+,0.93,0.24,
電子工業類指數,"1,190.64",-,14.59,-1.21,
半導體類指數,597.48,-,9.21,-1.52,
電腦及週邊設備類指數,261.33,-,1.51,-0.57,
光電類指數,42.15,-,0.03,-0.07,
通信網路類指數,156.84,+,0.71,0.45,
電子零組件類指數,232.85,-,2.05,-0.87,
電子通路類指數,262.02,-,1.56,-0.59,
資訊服務類指數,193.19,-,1.04,-0.54,
其他電子類指數,166.33,-,2.26,-1.34,
建材營造類指數,651.36,-,8.96,-1.36,
航運類指數,180.16,-,0.22,-0.12,
觀光餐旅類指數,120.78,+,0.34,0.28,
金融保險類指數,"2,045.66",-,2.25,-0.11,
貿易百貨類指數,305.34,-,1.35,-0.44,
油電燃氣類指數,81.71,+,0.12,0.15,
綠能環保類指數,127.98,+,0.34,0.27,
數位雲端類指數,68.59,+,0.46,0.68,
運動休閒類指數,97.46,-,0.71,-0.72,
居家生活類指數,134.52,-,3.31,-2.40,
其他類指數,375.65,-,1.20,-0.32,
臺指日報酬兩倍指數,"59,047.40",-,"1,024.23",-1.71,
臺指反向一倍指數,"2,934.16",+,24.80,0.85,
電子類兩倍槓桿指數,"72,189.97",-,"1,791.17",-2.42,
電子類反向指數,"2,234.62",+,26.73,1.21,
價格指數(跨市場),,,,,
指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
臺灣生技指數,"4,422.79",+,0.78,0.02,
臺灣中小型公司治理指數,"10,239.27",-,19.72,-0.19,
臺灣IPO指數,"5,419.94",-,28.67,-0.53,
智慧中立指數,"3,839.68",+,28.33,0.74,
臺灣5G指數,"11,120.29",-,140.56,-1.25,
臺灣企業社會責任中小型指數,"11,832.28",-,27.24,-0.23,
特選臺灣電動車代表指數,"10,071.35",-,21.54,-0.21,
臺灣5G+通訊指數,"9,724.84",-,122.55,-1.24,
臺灣全市場指數,"7,720.51",-,68.66,-0.88,
臺灣全市場半導體指數,"7,647.98",-,113.54,-1.46,
臺灣智慧移動與電動車指數,"5,752.11",-,57.15,-0.98,
特選小資高價30指數,"7,808.67",-,99.32,-1.26,
特選臺灣綠能及電動車指數,"6,038.28",-,38.60,-0.64,
特選臺灣智能車供應鏈聯盟指數,"7,019.19",-,87.45,-1.23,
臺灣全市場半導體精選30指數,"6,041.14",-,99.87,-1.63,
特選臺灣高股息30指數,"5,310.74",-,16.17,-0.30,
臺灣友善環境指數,"6,714.95",-,53.66,-0.79,
台灣永續價值指數,"6,170.02",-,51.70,-0.83,
特選臺灣IC設計指數,"4,324.15",-,83.87,-1.90,
特選臺灣環境永續高股息指數,"7,009.77",-,8.15,-0.12,
臺灣友善環境50指數,"5,634.21",-,57.77,-1.01,
特選臺灣IC設計產業代表指數,"5,708.49",-,124.59,-2.14,
特選臺灣綠能指數,"5,785.27",-,5.78,-0.10,
特選臺灣智慧50指數,"5,233.13",-,50.28,-0.95,
臺灣晶圓製造指數,"6,288.82",-,93.94,-1.47,
臺灣精選高息指數,"5,416.83",-,57.08,-1.04,
臺灣多因子優選高股息30指數,"8,681.80",-,21.87,-0.25,
特選臺灣優利高填息30指數,"7,265.75",-,40.31,-0.55,
特選臺灣科技優息指數,"9,029.07",-,40.26,-0.44,
臺灣半導體收益指數,"6,918.33",-,90.83,-1.30,
臺灣優選成長高股息指數,"7,910.15",-,56.56,-0.71,
特選臺灣ESG低碳高息40指數,"8,312.80",-,37.91,-0.45,
臺灣優選多因子30指數,"8,509.81",-,73.76,-0.86,
臺灣創新科技50指數,"7,367.33",-,106.04,-1.42,
臺灣全市場新經濟產業指數,"5,132.25",-,16.29,-0.32,
臺灣ESG永續高股息等權重指數,"6,298.53",-,31.17,-0.49,
臺灣永續高息中小型指數,"5,943.94",+,6.74,0.11,
特選臺灣高息優質成長指數,"6,154.58",-,17.37,-0.28,
特選臺灣高息動能指數,"6,563.59",-,19.17,-0.29,
臺灣電子成長高息等權重指數,"5,658.18",-,29.50,-0.52,
特選臺灣優利成長指數,"5,347.44",-,14.01,-0.26,
臺灣價值高息指數,"5,607.84",-,48.68,-0.86,
特選臺灣IC設計動能指數,"4,941.00",-,81.51,-1.62,
臺灣科技高股息指數,"5,637.06",-,30.07,-0.53,
臺灣趨勢動能高股息指數,"5,727.19",-,29.11,-0.51,
特選臺灣科技高息成長指數,"5,526.22",-,34.43,-0.62,
特選臺灣AI優息動能指數,"4,855.24",-,45.30,-0.92,
臺灣優選AI 50指數,"4,861.23",-,33.03,-0.67,
價格指數(臺灣指數公司),,,,,
指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
金融類日報酬兩倍指數,"44,782.58",-,98.62,-0.22,
金融類日報酬反向一倍指數,"3,616.53",+,3.97,0.11,
漲升股利150指數,"10,071.28",-,64.30,-0.63,
藍籌30指數,"10,565.60",-,114.18,-1.07,
工業菁英30指數,"11,228.12",-,80.20,-0.71,
低波動股利精選30指數,"8,280.60",-,23.60,-0.28,
中小型A級動能50指數,"24,476.82",-,179.07,-0.73,
特選高息低波指數,"10,346.29",+,10.03,0.10,
臺灣永續指數,"11,582.53",-,108.70,-0.93,
價值投資指數,"8,145.88",+,7.71,0.09,
存股雙十等權重指數,"9,527.58",-,78.90,-0.82,
特選大蘋果指數,"11,385.00",-,131.45,-1.14,
中小型300指數,"11,922.20",-,40.27,-0.34,
臺灣500指數,"11,270.22",-,89.71,-0.79,
臺灣勞工權益指數,"9,619.73",-,60.53,-0.63,
微波高息精選20指數,"8,611.39",-,44.86,-0.52,
特選世代行動通訊指數,"8,441.23",+,20.29,0.24,
智慧投資多因子30指數,"7,787.82",+,24.43,0.31,
臺股期貨指數,"12,141.60",-,109.37,-0.89,
特選價值成長指數,"9,902.67",-,43.29,-0.44,
臺灣上櫃永續指數,"8,097.98",-,58.11,-0.71,
特選台股領航指數,"10,949.64",-,108.50,-0.98,
特選Smart多因子指數,"8,880.02",-,90.41,-1.01,
特選ESG高股息指數,"6,774.54",-,48.71,-0.71,
特選上櫃ESG成長指數,"5,902.62",-,66.02,-1.11,
特選上櫃ESG電子菁英指數,"5,953.15",-,74.14,-1.23,
臺灣優息存股指數,"5,215.19",-,5.53,-0.11,
特選上櫃ESG永續高股息指數,"7,919.41",-,65.46,-0.82,
特選臺灣金融高股息存股指數,"6,531.73",-,40.43,-0.62,
特選臺灣產業龍頭存股等權重指數,"6,929.62",-,29.86,-0.43,
上櫃ESG 30指數,"6,863.03",-,60.48,-0.87,
臺灣ESG低碳50指數,"7,640.08",-,90.68,-1.17,
臺灣創新板指數,"6,671.57",-,46.04,-0.69,
特選上櫃ESG龍頭指數,"6,649.08",-,96.90,-1.44,
報酬指數(臺灣證券交易所),,,,,
報酬指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
寶島股價報酬指數,"37,455.67",-,313.97,-0.83,
發行量加權股價報酬指數,"48,929.24",-,419.83,-0.85,
臺灣公司治理100報酬指數,"18,918.28",-,206.94,-1.08,
臺灣50報酬指數,"40,096.06",-,488.58,-1.20,
臺灣50權重上限30%報酬指數,"35,773.43",-,368.88,-1.02,
臺灣中型100報酬指數,"40,548.95",-,98.93,-0.24,
臺灣資訊科技股報酬指數,"74,350.38",-,"1,059.47",-1.40,
臺灣發達報酬指數,"20,933.54",+,8.13,0.04,
臺灣高股息報酬指數,"28,691.85",-,187.04,-0.65,
臺灣就業99報酬指數,"22,120.62",-,118.57,-0.53,
臺灣高薪100報酬指數,"18,682.69",-,124.63,-0.66,
未含金融電子報酬指數,"35,800.44",-,9.70,-0.03,
小型股300報酬指數,"16,526.35",-,53.08,-0.32,
水泥類報酬指數,339.24,-,0.84,-0.25,
食品類報酬指數,"3,780.08",+,35.66,0.95,
塑膠類報酬指數,300.15,+,0.79,0.26,
紡織纖維類報酬指數,"1,155.49",+,6.36,0.55,
電機機械類報酬指數,629.58,+,2.33,0.37,
電器電纜類報酬指數,187.28,-,0.22,-0.12,
化學生技醫療類報酬指數,232.87,+,0.65,0.28,
化學類報酬指數,295.70,+,2.58,0.88,
生技醫療類報酬指數,117.77,-,0.13,-0.11,
玻璃陶瓷類報酬指數,58.75,+,0.24,0.41,
造紙類報酬指數,515.79,+,3.84,0.75,
鋼鐵類報酬指數,240.78,+,0.59,0.25,
橡膠類報酬指數,485.31,+,0.09,0.02,
汽車類報酬指數,645.78,+,1.71,0.27,
電子工業類報酬指數,"2,360.86",-,28.91,-1.21,
半導體類報酬指數,"1,104.46",-,17.03,-1.52,
電腦及週邊設備類報酬指數,616.73,-,3.57,-0.58,
光電類報酬指數,65.55,-,0.05,-0.08,
通信網路類報酬指數,352.06,+,1.60,0.46,
電子零組件類報酬指數,457.98,-,4.04,-0.87,
電子通路類報酬指數,696.60,-,3.63,-0.52,
資訊服務類報酬指數,487.33,-,2.63,-0.54,
其他電子類報酬指數,288.96,-,3.94,-1.35,
建材營造類報酬指數,"1,395.98",-,19.21,-1.36,
航運類報酬指數,359.19,-,0.42,-0.12,
觀光餐旅類報酬指數,176.60,+,0.51,0.29,
金融保險類報酬指數,"3,757.45",-,4.14,-0.11,
貿易百貨類報酬指數,506.37,-,2.24,-0.44,
油電燃氣類報酬指數,135.42,+,0.21,0.16,
綠能環保類報酬指數,134.33,+,0.36,0.27,
數位雲端類報酬指數,71.22,+,0.48,0.68,
運動休閒類報酬指數,103.59,-,0.75,-0.72,
居家生活類報酬指數,143.81,-,3.53,-2.40,
其他類報酬指數,678.43,-,2.17,-0.32,
報酬指數(跨市場),,,,,
報酬指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
臺灣生技報酬指數,"5,039.79",+,0.89,0.02,
臺灣中小型公司治理報酬指數,"14,241.68",-,27.43,-0.19,
臺灣IPO報酬指數,"6,593.19",-,34.88,-0.53,
智慧中立報酬指數,"4,985.26",+,36.79,0.74,
加權指數掩護性臺指買權價外5%報酬指數,"9,373.01",-,80.34,-0.85,
臺灣5G報酬指數,"13,436.10",-,169.83,-1.25,
臺灣企業社會責任中小型報酬指數,"14,885.89",-,34.28,-0.23,
特選臺灣電動車代表報酬指數,"12,014.07",-,25.69,-0.21,
臺灣5G+通訊報酬指數,"11,330.34",-,142.79,-1.24,
臺灣全市場報酬指數,"8,802.05",-,78.11,-0.88,
臺灣全市場半導體報酬指數,"8,852.11",-,131.41,-1.46,
臺灣智慧移動與電動車報酬指數,"6,692.50",-,66.49,-0.98,
特選小資高價30報酬指數,"8,799.40",-,111.92,-1.26,
特選臺灣綠能及電動車報酬指數,"6,985.88",-,44.65,-0.64,
特選臺灣智能車供應鏈聯盟報酬指數,"8,053.29",-,100.33,-1.23,
臺灣全市場半導體精選30報酬指數,"6,862.96",-,113.45,-1.63,
