指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
寶島股價指數,"17,821.51",+,101.49,0.57,
發行量加權股價指數,"15,513.45",+,93.48,0.61,
臺灣公司治理100指數,"8,843.71",+,53.39,0.61,
臺灣50指數,"11,841.29",+,73.04,0.62,
臺灣50權重上限30%指數,"11,174.55",+,56.37,0.51,
臺灣中型100指數,"13,809.97",+,114.04,0.83,
臺灣資訊科技指數,"20,806.86",+,158.26,0.77,
臺灣發達指數,"9,945.93",+,17.16,0.17,
臺灣高股息指數,"6,508.29",+,34.79,0.54,
臺灣就業99指數,"9,504.26",+,52.12,0.55,
臺灣高薪100指數,"8,396.68",+,53.11,0.64,
未含金融指數,"13,470.16",+,75.91,0.57,
未含電子指數,"17,533.36",+,76.19,0.44,
未含金融電子指數,"14,857.91",+,35.24,0.24,
小型股300指數,"8,841.56",+,55.05,0.63,
水泥窯製類指數,636.69,+,1.10,0.17,
塑膠化工類指數,839.29,+,2.67,0.32,
機電類指數,"4,139.40",+,27.67,0.67,
水泥類指數,166.11,+,0.45,0.27,
食品類指數,"1,908.86",+,10.93,0.58,
塑膠類指數,244.89,+,0.49,0.20,
紡織纖維類指數,570.37,+,2.24,0.39,
電機機械類指數,268.58,-,1.45,-0.54,
電器電纜類指數,115.85,+,0.03,0.03,
化學生技醫療類指數,119.59,+,0.58,0.49,
化學類指數,133.18,+,0.44,0.33,
生技醫療類指數,73.24,+,0.46,0.63,
玻璃陶瓷類指數,53.60,-,0.23,-0.43,
造紙類指數,298.80,+,0.73,0.24,
鋼鐵類指數,148.17,+,0.18,0.12,
橡膠類指數,237.82,+,1.50,0.63,
汽車類指數,345.26,+,3.93,1.15,
電子工業類指數,736.79,+,5.22,0.71,
半導體類指數,353.79,+,2.02,0.57,
電腦及週邊設備類指數,138.13,+,1.62,1.19,
光電類指數,36.23,+,0.44,1.23,
通信網路類指數,133.98,-,0.11,-0.08,
電子零組件類指數,165.63,+,2.54,1.56,
電子通路類指數,181.63,+,1.51,0.84,
資訊服務類指數,149.19,+,3.40,2.33,
其他電子類指數,99.21,+,0.68,0.69,
建材營造類指數,364.96,+,1.98,0.55,
航運類指數,163.68,-,0.85,-0.52,
觀光類指數,136.68,+,0.28,0.21,
金融保險類指數,"1,490.17",+,13.55,0.92,
貿易百貨類指數,296.10,+,2.97,1.01,
油電燃氣類指數,108.53,+,0.40,0.37,
其他類指數,360.78,+,0.56,0.16,
臺指日報酬兩倍指數,"29,942.15",+,358.69,1.21,
臺指反向一倍指數,"4,388.46",-,26.77,-0.61,
電子類兩倍槓桿指數,"29,552.44",+,415.80,1.43,
電子類反向指數,"3,858.10",-,27.73,-0.71,
價格指數(跨市場),,,,,
指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
臺灣生技指數,"4,333.76",+,13.79,0.32,
臺灣中小型公司治理指數,"7,564.73",+,34.55,0.46,
臺灣IPO指數,"5,248.63",+,11.36,0.22,
智慧中立指數,"3,489.75",-,4.04,-0.12,
臺灣5G指數,"7,902.25",+,20.80,0.26,
臺灣企業社會責任中小型指數,"8,566.34",+,45.54,0.53,
特選臺灣電動車代表指數,"6,022.74",+,52.25,0.88,
臺灣5G+通訊指數,"5,939.17",+,45.51,0.77,
臺灣全市場指數,"5,288.22",+,32.63,0.62,
臺灣全市場半導體指數,"5,251.83",+,1.68,0.03,
臺灣智慧移動與電動車指數,"4,117.03",+,32.64,0.80,
特選小資高價30指數,"4,985.33",+,13.57,0.27,
特選臺灣綠能及電動車指數,"4,696.60",+,16.57,0.35,
特選臺灣智能車供應鏈聯盟指數,"4,445.91",+,27.27,0.62,
臺灣全市場半導體精選30指數,"4,173.59",-,6.56,-0.16,
特選臺灣高股息30指數,"4,114.68",+,2.90,0.07,
臺灣友善環境指數,"4,703.98",+,27.21,0.58,
台灣永續價值指數,"4,356.87",+,24.00,0.55,
特選臺灣IC設計指數,"3,419.46",-,23.28,-0.68,
特選臺灣環境永續高股息指數,"4,553.34",+,1.03,0.02,
臺灣友善環境50指數,"4,031.42",+,20.39,0.51,
特選台灣策略高股息30指數,"4,090.74",+,15.47,0.38,
特選臺灣IC設計產業代表指數,"4,218.07",-,46.80,-1.10,
特選臺灣綠能指數,"5,109.59",+,19.12,0.38,
特選臺灣成長高股息指數,"4,310.44",-,6.82,-0.16,
特選臺灣智慧50指數,"3,925.10",+,10.61,0.27,
特選臺灣標竿PCB指數,"3,660.55",+,41.71,1.15,
臺灣晶圓製造指數,"4,751.97",-,7.12,-0.15,
臺灣精選高息指數,"4,196.72",+,7.15,0.17,
臺灣多因子優選高股息30指數,"5,050.35",+,22.23,0.44,
特選臺灣優利高填息30指數,"4,836.07",+,6.31,0.13,
臺灣多因子優選成長30指數,"5,814.25",+,23.88,0.41,
價格指數(臺灣指數公司),,,,,
指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
金融類日報酬兩倍指數,"24,446.38",+,440.57,1.84,
金融類日報酬反向一倍指數,"5,104.75",-,47.28,-0.92,
漲升股利150指數,"8,109.71",+,27.98,0.35,
藍籌30指數,"7,587.04",+,34.68,0.46,
工業菁英30指數,"8,176.66",+,42.31,0.52,
電子菁英30指數,"8,260.46",+,56.20,0.69,
低波動股利精選30指數,"6,513.56",+,43.78,0.68,
中小型A級動能50指數,"14,378.88",+,104.68,0.73,
特選高息低波指數,"6,959.98",+,44.19,0.64,
臺灣永續指數,"7,865.72",+,47.30,0.60,
價值投資指數,"6,281.01",+,18.48,0.30,
存股雙十等權重指數,"7,019.39",+,9.99,0.14,
特選大蘋果指數,"6,962.89",+,54.71,0.79,
中小型300指數,"8,891.33",+,59.40,0.67,
特股高息20指數,"5,744.18",+,15.05,0.26,
臺灣500指數,"7,979.50",+,45.62,0.58,
臺灣勞工權益指數,"7,267.31",+,38.46,0.53,
微波高息精選20指數,"6,432.77",+,29.15,0.46,
特選世代行動通訊指數,"6,306.72",+,40.75,0.65,
智慧投資多因子30指數,"5,063.82",+,17.03,0.34,
臺股期貨指數,"8,203.46",+,43.53,0.53,
特選價值成長指數,"7,035.23",+,43.14,0.62,
臺灣上櫃永續指數,"6,199.02",+,4.82,0.08,
特選台股領航指數,"6,896.92",+,47.96,0.70,
特選Smart多因子指數,"5,816.87",+,31.05,0.54,
特選ESG高股息指數,"4,345.31",+,10.92,0.25,
特選上櫃ESG成長指數,"4,369.11",-,7.41,-0.17,
特選上櫃ESG電子菁英指數,"4,470.15",-,6.16,-0.14,
臺灣優息存股指數,"4,629.74",+,25.83,0.56,
特選上櫃ESG永續高股息指數,"6,074.88",+,20.07,0.33,
特選臺灣金融高股息存股指數,"4,763.67",+,36.62,0.77,
特選臺灣產業龍頭存股等權重指數,"5,486.21",-,24.37,-0.44,
上櫃ESG 30指數,"5,677.27",+,24.19,0.43,
臺灣ESG低碳50指數,"5,222.81",+,20.96,0.40,
報酬指數(臺灣證券交易所),,,,,
報酬指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
寶島股價報酬指數,"24,979.88",+,142.26,0.57,
發行量加權股價報酬指數,"32,309.24",+,194.70,0.61,
臺灣公司治理100報酬指數,"12,181.94",+,73.55,0.61,
臺灣50報酬指數,"24,885.83",+,153.49,0.62,
臺灣50權重上限30%報酬指數,"23,693.69",+,119.52,0.51,
臺灣中型100報酬指數,"27,033.03",+,223.23,0.83,
臺灣資訊科技股報酬指數,"41,116.46",+,312.73,0.77,
臺灣發達報酬指數,"19,190.31",+,33.10,0.17,
臺灣高股息報酬指數,"17,984.96",+,96.12,0.54,
臺灣就業99報酬指數,"14,844.08",+,81.41,0.55,
臺灣高薪100報酬指數,"12,126.88",+,76.71,0.64,
未含金融電子報酬指數,"31,617.56",+,74.99,0.24,
小型股300報酬指數,"11,716.02",+,72.95,0.63,
水泥類報酬指數,330.08,+,0.88,0.27,
食品類報酬指數,"2,984.67",+,17.09,0.58,
塑膠類報酬指數,449.52,+,0.89,0.20,
紡織纖維類報酬指數,933.04,+,3.67,0.39,
電機機械類報酬指數,405.85,-,2.20,-0.54,
電器電纜類報酬指數,178.93,+,0.03,0.02,
化學生技醫療類報酬指數,187.96,+,0.91,0.49,
化學類報酬指數,224.93,+,0.73,0.33,
生技醫療類報酬指數,103.64,+,0.66,0.64,
玻璃陶瓷類報酬指數,67.76,-,0.29,-0.43,
造紙類報酬指數,464.89,+,1.14,0.25,
鋼鐵類報酬指數,250.62,+,0.30,0.12,
橡膠類報酬指數,382.09,+,2.43,0.64,
汽車類報酬指數,554.15,+,6.32,1.15,
電子工業類報酬指數,"1,391.23",+,9.84,0.71,
半導體類報酬指數,628.00,+,3.58,0.57,
電腦及週邊設備類報酬指數,305.80,+,3.60,1.19,
