指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
寶島股價指數,"19,226.92",-,110.97,-0.57,
發行量加權股價指數,"16,898.87",-,105.31,-0.62,
臺灣公司治理100指數,"9,823.43",-,54.56,-0.55,
臺灣50指數,"13,111.65",-,75.80,-0.57,
臺灣50權重上限30%指數,"12,444.48",-,87.78,-0.70,
臺灣中型100指數,"14,206.94",-,105.43,-0.74,
臺灣資訊科技指數,"22,050.15",-,30.04,-0.14,
臺灣發達指數,"11,147.01",-,117.09,-1.04,
臺灣高股息指數,"7,639.31",-,59.75,-0.78,
臺灣就業99指數,"10,277.35",-,129.95,-1.25,
臺灣高薪100指數,"9,610.41",-,123.57,-1.27,
未含金融指數,"14,440.74",-,59.47,-0.41,
未含電子指數,"20,138.43",-,278.18,-1.36,
未含金融電子指數,"16,593.01",-,175.74,-1.05,
小型股300指數,"9,004.56",-,64.55,-0.71,
水泥窯製類指數,705.96,-,8.67,-1.21,
塑膠化工類指數,944.84,-,3.33,-0.35,
機電類指數,"4,327.25",-,5.42,-0.13,
水泥類指數,183.89,-,1.88,-1.01,
食品類指數,"1,914.64",-,20.58,-1.06,
塑膠類指數,284.06,-,2.23,-0.78,
紡織纖維類指數,576.23,-,4.37,-0.75,
電機機械類指數,227.42,-,1.53,-0.67,
電器電纜類指數,101.93,-,0.56,-0.55,
化學生技醫療類指數,126.11,+,1.32,1.06,
化學類指數,153.86,+,0.29,0.19,
生技醫療類指數,69.82,+,1.53,2.24,
玻璃陶瓷類指數,60.06,-,1.49,-2.42,
造紙類指數,371.06,-,2.73,-0.73,
鋼鐵類指數,186.95,-,4.98,-2.59,
橡膠類指數,260.13,-,2.37,-0.90,
汽車類指數,311.84,-,2.41,-0.77,
電子工業類指數,775.29,-,0.85,-0.11,
半導體類指數,381.00,-,0.29,-0.08,
電腦及週邊設備類指數,136.90,+,0.02,0.01,
光電類指數,35.64,-,0.31,-0.86,
通信網路類指數,138.16,+,0.47,0.34,
電子零組件類指數,173.14,-,0.26,-0.15,
電子通路類指數,205.45,-,1.42,-0.69,
資訊服務類指數,130.57,-,0.18,-0.14,
