指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
寶島股價指數,"20,010.91",+,9.73,0.05,
發行量加權股價指數,"17,566.66",-,0.87,--,
臺灣公司治理100指數,"10,191.96",+,7.14,0.07,
臺灣50指數,"14,008.66",-,1.17,-0.01,
臺灣50權重上限30%指數,"13,315.75",+,16.61,0.12,
臺灣中型100指數,"13,696.23",-,0.70,-0.01,
臺灣資訊科技指數,"24,562.06",+,24.36,0.10,
臺灣發達指數,"11,560.63",+,7.24,0.06,
臺灣高股息指數,"8,341.90",+,13.37,0.16,
臺灣就業99指數,"10,603.10",-,137.33,-1.28,
臺灣高薪100指數,"9,084.08",-,42.12,-0.46,
未含金融指數,"15,478.56",+,12.09,0.08,
未含電子指數,"19,061.23",-,6.78,-0.04,
未含金融電子指數,"16,689.13",+,39.00,0.23,
小型股300指數,"9,549.26",+,13.04,0.14,
水泥窯製類指數,816.23,-,7.13,-0.87,
塑膠化工類指數,"1,027.30",-,2.84,-0.28,
機電類指數,"4,774.98",+,0.18,--,
水泥類指數,205.08,-,3.12,-1.50,
食品類指數,"2,002.50",-,8.68,-0.43,
塑膠類指數,306.00,-,1.20,-0.39,
紡織纖維類指數,680.46,+,1.65,0.24,
電機機械類指數,276.11,-,0.78,-0.28,
電器電纜類指數,95.74,-,0.27,-0.28,
化學生技醫療類指數,118.46,+,0.43,0.36,
化學類指數,133.83,+,0.70,0.53,
生技醫療類指數,71.73,+,0.13,0.18,
玻璃陶瓷類指數,84.47,+,1.78,2.15,
造紙類指數,461.19,-,10.69,-2.27,
鋼鐵類指數,185.25,+,6.28,3.51,
橡膠類指數,397.39,-,2.62,-0.65,
汽車類指數,353.16,-,2.56,-0.72,
電子工業類指數,854.52,+,0.11,0.01,
半導體類指數,422.30,+,0.57,0.14,
電腦及週邊設備類指數,146.84,+,1.30,0.89,
光電類指數,54.57,-,0.55,-1.00,
通信網路類指數,132.98,+,0.07,0.05,
電子零組件類指數,178.52,-,0.73,-0.41,
電子通路類指數,168.35,+,0.09,0.05,
資訊服務類指數,137.27,-,0.41,-0.30,
其他電子類指數,108.40,-,0.84,-0.77,
建材營造類指數,378.36,-,2.18,-0.57,
航運類指數,176.19,+,3.31,1.91,
觀光類指數,110.54,-,0.53,-0.48,
金融保險類指數,"1,491.65",-,11.05,-0.74,
貿易百貨類指數,292.72,+,2.00,0.69,
油電燃氣類指數,134.01,+,0.64,0.48,
其他類指數,366.12,-,1.49,-0.41,
臺指日報酬兩倍指數,"40,892.28",-,4.05,-0.01,
臺指反向一倍指數,"4,126.51",+,0.20,--,
電子類兩倍槓桿指數,"43,456.49",+,11.19,0.03,
電子類反向指數,"3,636.71",-,0.47,-0.01,
價格指數(跨市場),,,,,
指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
臺灣生技指數,"4,689.22",+,41.43,0.89,
臺灣中小型公司治理指數,"7,911.08",+,68.38,0.87,
臺灣IPO指數,"7,633.44",+,59.26,0.78,
智慧中立指數,"4,460.96",-,7.30,-0.16,
臺灣企業社會責任中小型指數,"7,793.25",+,47.31,0.61,
臺灣5G+通訊指數,"7,071.40",+,63.90,0.91,
臺灣全市場指數,"6,005.84",+,4.67,0.08,
臺灣全市場半導體指數,"6,435.08",+,71.44,1.12,
價格指數(臺灣指數公司),,,,,
指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
金融類日報酬兩倍指數,"25,849.19",-,385.83,-1.47,
金融類日報酬反向一倍指數,"5,380.51",+,39.28,0.74,
漲升股利150指數,"9,520.59",-,61.99,-0.65,
漲升股利100指數,"8,436.45",+,2.17,0.03,
藍籌30指數,"8,879.80",+,56.44,0.64,
工業菁英30指數,"10,095.01",+,182.22,1.84,
電子菁英30指數,"9,347.69",-,33.71,-0.36,
低波動股利精選30指數,"6,724.69",-,51.13,-0.75,
低貝塔100指數,"7,615.14",-,34.30,-0.45,
中小型精選50指數,"7,490.46",+,29.24,0.39,
中小型A級動能50指數,"16,414.20",+,169.86,1.05,
特選高息低波指數,"7,429.44",+,12.82,0.17,
臺灣永續指數,"8,946.12",+,13.13,0.15,
特選內需高收益指數,"6,264.49",-,24.61,-0.39,
價值投資指數,"8,372.44",+,4.11,0.05,
中小型300指數,"9,025.92",+,9.92,0.11,
臺灣勞工權益指數,"7,679.45",-,59.87,-0.77,
智慧投資多因子30指數,"6,441.75",-,0.77,-0.01,
臺股期貨指數,"8,360.89",+,18.08,0.22,
臺灣上櫃企業社會責任指數,"6,786.58",+,23.36,0.35,
特選Smart多因子指數,"6,807.05",+,19.07,0.28,
報酬指數(臺灣證券交易所),,,,,
報酬指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
寶島股價報酬指數,"26,070.89",+,12.68,0.05,
發行量加權股價報酬指數,"33,977.86",-,1.68,--,
臺灣公司治理100報酬指數,"13,013.61",+,9.12,0.07,
臺灣50報酬指數,"27,447.20",-,2.29,-0.01,
臺灣50權重上限30%報酬指數,"26,091.39",+,32.55,0.12,
臺灣中型100報酬指數,"24,715.05",-,1.28,-0.01,
臺灣資訊科技股報酬指數,"45,526.91",+,45.14,0.10,
臺灣發達報酬指數,"20,388.14",+,12.78,0.06,
臺灣高股息報酬指數,"19,927.06",+,31.94,0.16,
臺灣就業99報酬指數,"15,205.78",-,196.95,-1.28,
臺灣高薪100報酬指數,"11,878.85",-,55.07,-0.46,
未含金融電子報酬指數,"32,637.04",+,76.28,0.23,
小型股300報酬指數,"11,681.77",+,15.96,0.14,
水泥類報酬指數,364.24,-,5.54,-1.50,
食品類報酬指數,"2,908.21",-,12.62,-0.43,
塑膠類報酬指數,504.28,-,1.97,-0.39,
紡織纖維類報酬指數,"1,042.42",+,2.53,0.24,
電機機械類報酬指數,398.58,-,1.13,-0.28,
電器電纜類報酬指數,136.26,-,0.39,-0.29,
化學生技醫療類報酬指數,175.40,+,0.64,0.37,
化學類報酬指數,210.53,+,1.10,0.53,
生技醫療類報酬指數,96.71,+,0.17,0.18,
玻璃陶瓷類報酬指數,97.04,+,2.05,2.16,
造紙類報酬指數,662.22,-,15.35,-2.27,
鋼鐵類報酬指數,284.03,+,9.63,3.51,
橡膠類報酬指數,596.62,-,3.93,-0.65,
汽車類報酬指數,528.08,-,3.82,-0.72,
電子工業類報酬指數,"1,509.41",+,0.20,0.01,
半導體類報酬指數,708.70,+,0.97,0.14,
電腦及週邊設備類報酬指數,287.37,+,2.54,0.89,
光電類報酬指數,74.61,-,0.75,-1.00,
通信網路類報酬指數,260.51,+,0.15,0.06,
電子零組件類報酬指數,312.85,-,1.28,-0.41,
電子通路類報酬指數,355.83,+,0.18,0.05,
資訊服務類報酬指數,285.88,-,0.85,-0.30,
其他電子類報酬指數,161.02,-,1.25,-0.77,
建材營造類報酬指數,686.17,-,3.96,-0.57,
航運類報酬指數,246.28,+,4.63,1.92,
觀光類報酬指數,146.20,-,0.70,-0.48,
金融保險類報酬指數,"2,377.24",-,17.61,-0.74,
貿易百貨類報酬指數,432.31,+,2.96,0.69,
油電燃氣類報酬指數,201.70,+,0.96,0.48,
其他類報酬指數,583.18,-,2.37,-0.40,
報酬指數(跨市場),,,,,
報酬指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
臺灣生技報酬指數,"5,025.03",+,44.40,0.89,
臺灣中小型公司治理報酬指數,"9,560.29",+,82.64,0.87,
臺灣IPO報酬指數,"8,362.08",+,64.91,0.78,
智慧中立報酬指數,"4,686.15",-,7.66,-0.16,
加權指數掩護性臺指買權價外5%報酬指數,"7,260.57",+,2.96,0.04,
臺灣5G報酬指數,"9,987.37",+,96.10,0.97,
臺灣企業社會責任中小型報酬指數,"8,143.88",+,49.44,0.61,
特選臺灣電動車代表報酬指數,"8,064.54",-,128.38,-1.57,
臺灣5G+通訊報酬指數,"7,115.73",+,64.30,0.91,
臺灣全市場報酬指數,"6,018.23",+,4.68,0.08,
臺灣全市場半導體報酬指數,"6,447.15",+,71.57,1.12,
報酬指數(臺灣指數公司),,,,,
報酬指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
漲升股利150報酬指數,"11,705.69",-,76.22,-0.65,
漲升股利100報酬指數,"10,413.15",+,2.67,0.03,
藍籌30報酬指數,"10,471.17",+,66.55,0.64,
工業菁英30報酬指數,"11,878.24",+,214.41,1.84,
電子菁英30報酬指數,"10,895.23",-,39.29,-0.36,
低波動股利精選30報酬指數,"8,033.77",-,61.09,-0.75,
低貝塔100報酬指數,"9,069.72",-,40.85,-0.45,
中小型精選50報酬指數,"9,194.69",+,35.89,0.39,
中小型A級動能50報酬指數,"18,354.97",+,189.94,1.05,
特選高息低波報酬指數,"9,154.83",+,15.79,0.17,
臺灣永續報酬指數,"10,542.88",+,15.47,0.15,
特選內需高收益報酬指數,"7,294.96",-,28.66,-0.39,
價值投資報酬指數,"9,947.32",+,4.89,0.05,
存股雙十等權重報酬指數,"8,824.71",+,31.23,0.36,
特選大蘋果報酬指數,"9,167.26",-,78.44,-0.85,
中小型300報酬指數,"9,755.35",+,10.72,0.11,
特股高息20報酬指數,"6,438.79",-,20.03,-0.31,
臺灣500報酬指數,"9,836.31",+,5.03,0.05,
臺灣勞工權益報酬指數,"8,413.16",-,65.58,-0.77,
微波高息精選20報酬指數,"6,630.89",-,8.92,-0.13,
特選世代行動通訊報酬指數,"6,968.57",+,64.59,0.94,
智慧投資多因子30報酬指數,"6,749.50",-,0.80,-0.01,
特選大蘋果報酬正向兩倍指數,"18,360.24",-,316.91,-1.70,
特選大蘋果報酬反向一倍指數,"6,601.21",+,55.53,0.85,
特選價值成長報酬指數,"8,159.31",+,98.75,1.23,
臺灣上櫃企業社會責任報酬指數,"7,057.57",+,24.28,0.35,
特選台股領航報酬指數,"8,377.91",+,145.11,1.76,
特選Smart多因子報酬指數,"6,870.15",+,19.24,0.28,
110年04月29日 大盤統計資訊,,,,,
成交統計,成交金額(元),成交股數(股),成交筆數,,
1.一般股票,"531,763,573,910","11,058,279,706","4,070,195",,
2.台灣存託憑證,"258,871,711","23,759,954","6,644",,
3.受益憑證,0,0,0,,
4.ETF,"10,942,983,032","803,543,556","106,302",,
5.受益證券,"12,244,810","737,228",403,,
6.變更交易股票,"91,742,523","13,639,437","3,431",,
7.認購(售)權證,"4,767,037,660","3,243,771,000","160,687",,
8.轉換公司債,0,0,0,,
9.附認股權特別股,0,0,0,,
10.附認股權公司債,0,0,0,,
11.認股權憑證,0,0,0,,
12.公司債,0,0,0,,
13.ETN,"184,123,330","25,537,000","4,003",,
14.創新板股票,0,0,0,,
15.創新板-變更交易方法股票,0,0,0,,
證券合計(1+6+14+15),"531,855,316,433","11,071,919,143","4,073,626",,
總計(1~15),"548,020,576,976","15,169,267,881","4,351,665",,
漲跌證券數合計,,,,,
類型,整體市場,股票,,,
上漲(漲停),"4,571(267)",310(23),,,
下跌(跌停),"6,489(36)",573(0),,,
持平,624,66,,,
未成交,"10,034",0,,,
無比價,"1,912",0,,,
備註:,,,,,
外幣成交值係以本公司當日下午3時30分公告匯率換算後加入成交金額。公告匯率請參考本公司首頁>產品與服務>交易系統>雙幣ETF專區>代號對應及每日公告匯率。,,,,,
110年04月29日 每日收盤行情(全部(不含權證、牛熊證)),,,,,
備註:,,,,,
漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。,,,,,
當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。,,,,,
除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。,,,,,
本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。,,,,,
