指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
寶島股價指數,"25,316.80",+,69.15,0.27,
發行量加權股價指數,"22,240.12",+,82.07,0.37,
臺灣公司治理100指數,"12,957.22",+,48.78,0.38,
臺灣50指數,"18,057.52",+,52.78,0.29,
臺灣50權重上限30%指數,"15,827.50",+,62.12,0.39,
臺灣中型100指數,"19,872.99",+,114.34,0.58,
臺灣資訊科技指數,"35,797.97",+,33.84,0.09,
臺灣發達指數,"10,125.82",+,27.40,0.27,
臺灣高股息指數,"9,628.88",+,70.84,0.74,
臺灣就業99指數,"13,388.43",+,98.69,0.74,
臺灣高薪100指數,"11,686.18",+,78.65,0.68,
未含金融指數,"19,382.08",+,35.60,0.18,
未含電子指數,"20,210.40",+,203.86,1.02,
未含金融電子指數,"15,688.41",+,85.45,0.55,
小型股300指數,"11,775.77",+,42.78,0.36,
水泥窯製類指數,613.11,+,4.78,0.79,
塑膠化工類指數,723.22,+,6.60,0.92,
機電類指數,"6,634.89",+,3.71,0.06,
水泥類指數,161.90,+,0.73,0.45,
食品類指數,"2,264.62",+,2.34,0.10,
塑膠類指數,156.56,+,2.13,1.38,
紡織纖維類指數,657.57,+,1.90,0.29,
電機機械類指數,397.78,-,3.07,-0.77,
電器電纜類指數,114.63,+,0.46,0.40,
化學生技醫療類指數,142.62,+,0.59,0.42,
化學類指數,168.72,+,0.02,0.01,
生技醫療類指數,80.32,+,0.55,0.69,
玻璃陶瓷類指數,47.31,+,1.50,3.27,
造紙類指數,323.59,+,4.59,1.44,
鋼鐵類指數,135.75,+,0.75,0.56,
橡膠類指數,290.55,+,3.38,1.18,
汽車類指數,389.49,+,4.30,1.12,
電子工業類指數,"1,187.84",+,0.89,0.07,
半導體類指數,593.53,-,0.52,-0.09,
電腦及週邊設備類指數,263.22,+,2.53,0.97,
光電類指數,42.81,+,0.33,0.78,
通信網路類指數,157.01,-,0.20,-0.13,
電子零組件類指數,235.18,-,1.90,-0.80,
電子通路類指數,266.09,+,4.76,1.82,
資訊服務類指數,193.79,+,1.15,0.60,
其他電子類指數,165.71,+,1.44,0.88,
建材營造類指數,632.85,+,1.31,0.21,
航運類指數,181.53,+,1.23,0.68,
觀光餐旅類指數,121.78,+,0.68,0.56,
金融保險類指數,"2,073.46",+,39.32,1.93,
貿易百貨類指數,311.78,+,3.67,1.19,
油電燃氣類指數,80.75,+,1.07,1.34,
綠能環保類指數,128.12,-,0.48,-0.37,
數位雲端類指數,68.89,+,0.31,0.45,
運動休閒類指數,98.34,-,0.06,-0.06,
居家生活類指數,132.96,+,0.81,0.61,
其他類指數,373.65,+,3.46,0.93,
臺指日報酬兩倍指數,"59,057.47",+,434.26,0.74,
臺指反向一倍指數,"2,933.77",-,10.91,-0.37,
電子類兩倍槓桿指數,"71,849.41",+,107.59,0.15,
電子類反向指數,"2,239.84",-,1.68,-0.07,
價格指數(跨市場),,,,,
指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
臺灣生技指數,"4,432.91",+,13.57,0.31,
臺灣中小型公司治理指數,"10,296.64",+,42.41,0.41,
臺灣IPO指數,"5,478.34",-,1.21,-0.02,
智慧中立指數,"3,843.47",-,10.01,-0.26,
臺灣5G指數,"11,117.95",-,64.83,-0.58,
臺灣企業社會責任中小型指數,"11,904.28",+,86.92,0.74,
特選臺灣電動車代表指數,"10,073.47",+,6.00,0.06,
臺灣5G+通訊指數,"9,688.86",-,19.67,-0.20,
臺灣全市場指數,"7,722.84",+,19.92,0.26,
臺灣全市場半導體指數,"7,638.01",-,48.50,-0.63,
臺灣智慧移動與電動車指數,"5,782.05",-,31.38,-0.54,
特選小資高價30指數,"7,837.30",-,41.03,-0.52,
特選臺灣綠能及電動車指數,"6,051.85",+,24.01,0.40,
特選臺灣智能車供應鏈聯盟指數,"6,994.24",-,1.88,-0.03,
臺灣全市場半導體精選30指數,"6,034.02",-,50.64,-0.83,
特選臺灣高股息30指數,"5,358.37",+,47.00,0.88,
臺灣友善環境指數,"6,723.41",+,35.96,0.54,
台灣永續價值指數,"6,187.08",+,36.21,0.59,
特選臺灣IC設計指數,"4,351.55",-,71.49,-1.62,
特選臺灣環境永續高股息指數,"7,039.81",+,26.05,0.37,
臺灣友善環境50指數,"5,620.22",+,15.44,0.28,
特選臺灣IC設計產業代表指數,"5,746.92",-,79.26,-1.36,
特選臺灣綠能指數,"5,781.14",-,10.84,-0.19,
特選臺灣智慧50指數,"5,238.77",+,21.50,0.41,
臺灣晶圓製造指數,"6,266.41",-,47.92,-0.76,
臺灣精選高息指數,"5,405.79",-,11.61,-0.21,
臺灣多因子優選高股息30指數,"8,713.43",+,65.89,0.76,
特選臺灣優利高填息30指數,"7,306.04",+,30.55,0.42,
特選臺灣科技優息指數,"9,028.39",-,32.64,-0.36,
臺灣半導體收益指數,"6,911.32",-,28.20,-0.41,
臺灣優選成長高股息指數,"7,908.38",-,2.01,-0.03,
特選臺灣ESG低碳高息40指數,"8,343.35",+,53.60,0.65,
臺灣優選多因子30指數,"8,511.47",+,99.79,1.19,
臺灣創新科技50指數,"7,347.76",-,41.05,-0.56,
臺灣全市場新經濟產業指數,"5,120.50",+,12.38,0.24,
臺灣ESG永續高股息等權重指數,"6,320.97",+,18.48,0.29,
臺灣永續高息中小型指數,"5,928.22",+,6.43,0.11,
特選臺灣高息優質成長指數,"6,151.78",+,3.53,0.06,
特選臺灣高息動能指數,"6,569.05",-,0.80,-0.01,
臺灣電子成長高息等權重指數,"5,696.06",+,39.04,0.69,
特選臺灣優利成長指數,"5,381.46",+,27.73,0.52,
臺灣價值高息指數,"5,605.76",+,8.13,0.15,
特選臺灣IC設計動能指數,"4,988.41",-,87.54,-1.72,
臺灣科技高股息指數,"5,664.61",+,9.27,0.16,
臺灣趨勢動能高股息指數,"5,755.75",+,28.37,0.50,
特選臺灣科技高息成長指數,"5,527.70",-,16.10,-0.29,
特選臺灣AI優息動能指數,"4,901.30",+,25.97,0.53,
臺灣優選AI 50指數,"4,897.56",+,10.41,0.21,
