指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
寶島股價指數,"20,036.50",+,37.10,0.19,
發行量加權股價指數,"17,595.90",+,23.61,0.13,
臺灣公司治理100指數,"10,245.72",-,0.93,-0.01,
臺灣50指數,"14,102.32",-,6.93,-0.05,
臺灣50權重上限30%指數,"13,350.36",-,9.28,-0.07,
臺灣中型100指數,"13,553.21",+,92.50,0.69,
臺灣資訊科技指數,"24,665.07",+,15.79,0.06,
臺灣發達指數,"11,547.33",+,14.95,0.13,
臺灣高股息指數,"8,320.23",-,31.89,-0.38,
臺灣就業99指數,"10,601.83",+,66.01,0.63,
臺灣高薪100指數,"9,143.98",+,16.01,0.18,
未含金融指數,"15,493.87",+,19.48,0.13,
未含電子指數,"19,052.27",+,66.61,0.35,
未含金融電子指數,"16,629.54",+,67.20,0.41,
小型股300指數,"9,490.84",+,13.58,0.14,
水泥窯製類指數,806.77,-,1.51,-0.19,
塑膠化工類指數,"1,043.52",+,6.71,0.65,
機電類指數,"4,784.66",+,2.40,0.05,
水泥類指數,206.97,-,1.85,-0.89,
食品類指數,"1,963.77",-,7.72,-0.39,
塑膠類指數,312.06,+,3.09,1.00,
紡織纖維類指數,667.23,+,1.12,0.17,
電機機械類指數,271.90,+,0.34,0.13,
電器電纜類指數,89.50,+,5.67,6.76,
化學生技醫療類指數,117.63,+,1.39,1.20,
化學類指數,131.37,+,1.95,1.51,
生技醫療類指數,72.17,+,0.61,0.85,
玻璃陶瓷類指數,75.41,+,2.62,3.60,
造紙類指數,471.44,+,1.87,0.40,
鋼鐵類指數,182.51,-,2.45,-1.32,
橡膠類指數,409.18,-,7.41,-1.78,
汽車類指數,355.85,+,2.42,0.68,
電子工業類指數,857.00,+,0.09,0.01,
半導體類指數,424.97,-,0.71,-0.17,
電腦及週邊設備類指數,145.63,-,0.31,-0.21,
光電類指數,53.67,+,0.47,0.88,
通信網路類指數,132.76,+,0.03,0.02,
電子零組件類指數,177.27,+,0.74,0.42,
電子通路類指數,166.45,-,0.75,-0.45,
資訊服務類指數,137.42,+,0.27,0.20,
其他電子類指數,110.27,+,0.82,0.75,
建材營造類指數,381.77,+,0.81,0.21,
航運類指數,171.28,+,3.21,1.91,
觀光類指數,110.95,+,0.69,0.63,
金融保險類指數,"1,503.06",+,3.13,0.21,
貿易百貨類指數,290.83,-,1.31,-0.45,
油電燃氣類指數,133.36,+,0.63,0.47,
其他類指數,367.94,+,0.78,0.21,
臺指日報酬兩倍指數,"41,028.63",+,109.96,0.27,
臺指反向一倍指數,"4,119.67",-,5.54,-0.13,
電子類兩倍槓桿指數,"43,709.50",+,9.18,0.02,
電子類反向指數,"3,626.22",-,0.38,-0.01,
價格指數(跨市場),,,,,
指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
臺灣生技指數,"4,735.34",+,139.49,3.04,
臺灣中小型公司治理指數,"7,837.63",+,32.04,0.41,
臺灣IPO指數,"7,632.94",+,11.73,0.15,
智慧中立指數,"4,478.33",-,20.84,-0.46,
臺灣企業社會責任中小型指數,"7,684.64",+,52.87,0.69,
臺灣5G+通訊指數,"7,023.41",-,12.97,-0.18,
臺灣全市場指數,"6,010.79",+,10.66,0.18,
臺灣全市場半導體指數,"6,362.68",-,12.34,-0.19,
價格指數(臺灣指數公司),,,,,
指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
金融類日報酬兩倍指數,"26,247.59",+,109.09,0.42,
金融類日報酬反向一倍指數,"5,339.95",-,11.17,-0.21,
漲升股利150指數,"9,580.83",+,7.32,0.08,
漲升股利100指數,"8,463.47",-,7.13,-0.08,
藍籌30指數,"8,844.22",+,13.42,0.15,
工業菁英30指數,"9,954.03",-,4.44,-0.04,
電子菁英30指數,"9,407.47",-,12.45,-0.13,
低波動股利精選30指數,"6,776.55",+,0.62,0.01,
低貝塔100指數,"7,678.04",-,38.75,-0.50,
中小型精選50指數,"7,502.46",-,48.66,-0.64,
中小型A級動能50指數,"16,062.11",-,1.24,-0.01,
特選高息低波指數,"7,444.90",-,29.04,-0.39,
臺灣永續指數,"8,955.29",+,4.85,0.05,
特選內需高收益指數,"6,279.06",-,9.66,-0.15,
價值投資指數,"8,353.62",-,8.40,-0.10,
中小型300指數,"8,975.14",+,39.16,0.44,
臺灣勞工權益指數,"7,762.95",+,6.56,0.08,
智慧投資多因子30指數,"6,466.52",-,19.32,-0.30,
臺股期貨指數,"8,360.89",+,19.51,0.23,
臺灣上櫃企業社會責任指數,"6,758.32",+,17.52,0.26,
特選Smart多因子指數,"6,807.53",+,28.80,0.42,
報酬指數(臺灣證券交易所),,,,,
報酬指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
寶島股價報酬指數,"26,104.08",+,48.33,0.19,
發行量加權股價報酬指數,"34,034.23",+,45.66,0.13,
臺灣公司治理100報酬指數,"13,082.25",-,1.19,-0.01,
臺灣50報酬指數,"27,630.70",-,13.57,-0.05,
臺灣50權重上限30%報酬指數,"26,159.19",-,18.19,-0.07,
臺灣中型100報酬指數,"24,456.97",+,166.91,0.69,
臺灣資訊科技股報酬指數,"45,717.84",+,29.25,0.06,
臺灣發達報酬指數,"20,364.68",+,26.37,0.13,
臺灣高股息報酬指數,"19,875.30",-,76.18,-0.38,
臺灣就業99報酬指數,"15,203.97",+,94.67,0.63,
臺灣高薪100報酬指數,"11,957.17",+,20.93,0.18,
未含金融電子報酬指數,"32,519.80",+,131.40,0.41,
小型股300報酬指數,"11,610.30",+,16.61,0.14,
水泥類報酬指數,367.59,-,3.28,-0.88,
食品類報酬指數,"2,851.96",-,11.22,-0.39,
塑膠類報酬指數,514.26,+,5.09,1.00,
紡織纖維類報酬指數,"1,021.70",+,1.72,0.17,
電機機械類報酬指數,392.50,+,0.48,0.12,
電器電纜類報酬指數,127.39,+,8.07,6.76,
化學生技醫療類報酬指數,174.17,+,2.06,1.20,
化學類報酬指數,206.67,+,3.06,1.50,
生技醫療類報酬指數,97.31,+,0.83,0.86,
玻璃陶瓷類報酬指數,86.63,+,3.01,3.60,
造紙類報酬指數,676.94,+,2.69,0.40,
鋼鐵類報酬指數,279.84,-,3.75,-1.32,
橡膠類報酬指數,614.32,-,11.13,-1.78,
汽車類報酬指數,532.09,+,3.61,0.68,
電子工業類報酬指數,"1,513.79",+,0.15,0.01,
半導體類報酬指數,713.17,-,1.19,-0.17,
電腦及週邊設備類報酬指數,285.01,-,0.60,-0.21,
光電類報酬指數,73.39,+,0.65,0.89,
通信網路類報酬指數,260.08,+,0.06,0.02,
