指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
寶島股價指數,"25,334.68",+,463.80,1.86,
發行量加權股價指數,"22,377.26",+,416.43,1.90,
臺灣公司治理100指數,"13,169.48",+,283.77,2.20,
臺灣50指數,"18,458.44",+,424.50,2.35,
臺灣50權重上限30%指數,"16,073.69",+,264.04,1.67,
臺灣中型100指數,"19,466.96",+,206.96,1.07,
臺灣資訊科技指數,"36,501.50",+,974.52,2.74,
臺灣發達指數,"10,032.84",+,86.74,0.87,
臺灣高股息指數,"9,523.55",+,82.02,0.87,
臺灣就業99指數,"13,418.66",+,171.51,1.29,
臺灣高薪100指數,"12,082.78",+,140.83,1.18,
未含金融指數,"19,430.57",+,396.64,2.08,
未含電子指數,"19,773.73",+,128.48,0.65,
未含金融電子指數,"14,874.57",+,116.16,0.79,
小型股300指數,"11,485.63",+,137.32,1.21,
水泥窯製類指數,616.36,+,1.80,0.29,
塑膠化工類指數,637.31,+,6.16,0.98,
機電類指數,"6,746.88",+,159.02,2.41,
水泥類指數,162.38,+,0.64,0.40,
食品類指數,"2,147.27",+,12.27,0.57,
塑膠類指數,118.98,+,1.71,1.46,
紡織纖維類指數,613.41,+,5.41,0.89,
電機機械類指數,391.96,+,2.59,0.67,
電器電纜類指數,95.75,+,1.02,1.08,
化學生技醫療類指數,139.61,+,1.42,1.03,
化學類指數,170.04,+,1.27,0.75,
生技醫療類指數,76.99,+,0.90,1.18,
玻璃陶瓷類指數,48.35,-,0.22,-0.45,
造紙類指數,287.21,+,0.30,0.10,
鋼鐵類指數,144.68,+,0.38,0.26,
橡膠類指數,270.76,-,1.49,-0.55,
汽車類指數,385.97,+,5.91,1.56,
電子工業類指數,"1,210.14",+,29.10,2.46,
半導體類指數,615.02,+,18.68,3.13,
電腦及週邊設備類指數,264.13,+,3.74,1.44,
光電類指數,40.22,+,0.25,0.63,
通信網路類指數,168.37,+,1.28,0.77,
電子零組件類指數,230.65,+,2.96,1.30,
電子通路類指數,243.35,+,2.09,0.87,
資訊服務類指數,236.20,+,4.62,1.99,
其他電子類指數,155.41,+,1.98,1.29,
建材營造類指數,564.71,+,7.56,1.36,
航運類指數,208.91,+,1.21,0.58,
觀光餐旅類指數,120.15,+,0.55,0.46,
金融保險類指數,"2,149.42",+,8.90,0.42,
貿易百貨類指數,275.37,+,1.72,0.63,
油電燃氣類指數,59.02,+,0.52,0.89,
綠能環保類指數,110.49,+,0.55,0.50,
數位雲端類指數,62.79,+,0.80,1.29,
運動休閒類指數,96.45,+,1.38,1.45,
居家生活類指數,123.62,+,0.59,0.48,
其他類指數,323.64,+,0.19,0.06,
臺指日報酬兩倍指數,"58,731.70",+,"2,146.00",3.79,
臺指反向一倍指數,"2,864.82",-,55.37,-1.90,
電子類兩倍槓桿指數,"72,536.59",+,"3,406.63",4.93,
電子類反向指數,"2,139.25",-,54.04,-2.46,
價格指數(跨市場),,,,,
指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
臺灣生技指數,"3,902.76",+,42.33,1.10,
臺灣中小型公司治理指數,"10,004.66",+,127.27,1.29,
臺灣IPO指數,"6,057.62",+,114.81,1.93,
智慧中立指數,"3,849.15",+,9.04,0.24,
臺灣5G指數,"11,420.40",+,216.65,1.93,
臺灣企業社會責任中小型指數,"11,845.93",+,120.24,1.03,
特選臺灣電動車代表指數,"9,706.77",+,74.50,0.77,
