指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
寶島股價指數,"16,599.27",+,395.73,2.44,
發行量加權股價指數,"14,546.31",+,371.41,2.62,
臺灣公司治理100指數,"8,387.49",+,277.83,3.43,
臺灣50指數,"11,221.38",+,440.64,4.09,
臺灣50權重上限30%指數,"10,657.50",+,306.68,2.96,
臺灣中型100指數,"12,724.76",+,91.54,0.72,
臺灣資訊科技指數,"19,234.42",+,934.56,5.11,
臺灣發達指數,"9,557.28",+,39.20,0.41,
臺灣高股息指數,"5,983.99",+,31.28,0.53,
臺灣就業99指數,"8,974.35",+,121.52,1.37,
臺灣高薪100指數,"8,017.50",+,116.67,1.48,
未含金融指數,"12,503.81",+,353.75,2.91,
未含電子指數,"16,934.54",+,79.55,0.47,
未含金融電子指數,"14,068.23",+,61.52,0.44,
小型股300指數,"7,928.41",+,44.15,0.56,
水泥窯製類指數,605.48,+,0.13,0.02,
塑膠化工類指數,811.17,+,1.28,0.16,
機電類指數,"3,797.01",+,146.06,4.00,
水泥類指數,153.71,-,0.33,-0.21,
食品類指數,"1,800.25",-,0.61,-0.03,
塑膠類指數,244.43,+,0.17,0.07,
紡織纖維類指數,571.40,-,7.33,-1.27,
電機機械類指數,218.53,+,0.63,0.29,
電器電纜類指數,107.44,+,6.07,5.99,
化學生技醫療類指數,106.44,+,0.32,0.30,
化學類指數,126.26,+,1.34,1.07,
生技醫療類指數,61.19,-,0.30,-0.49,
玻璃陶瓷類指數,59.83,+,0.75,1.27,
造紙類指數,310.23,+,1.51,0.49,
鋼鐵類指數,136.38,+,1.64,1.22,
橡膠類指數,232.67,+,0.90,0.39,
汽車類指數,323.25,+,1.85,0.58,
電子工業類指數,677.87,+,26.54,4.07,
半導體類指數,322.80,+,19.20,6.32,
電腦及週邊設備類指數,121.22,+,0.09,0.07,
光電類指數,33.83,+,0.58,1.74,
通信網路類指數,123.13,-,0.57,-0.46,
電子零組件類指數,160.77,+,2.33,1.47,
電子通路類指數,166.29,+,0.10,0.06,
資訊服務類指數,118.56,+,0.34,0.29,
其他電子類指數,95.90,+,0.42,0.44,
建材營造類指數,342.06,-,0.38,-0.11,
航運類指數,157.34,-,0.31,-0.20,
觀光類指數,101.52,+,0.83,0.82,
金融保險類指數,"1,507.43",+,8.19,0.55,
貿易百貨類指數,269.25,+,0.03,0.01,
油電燃氣類指數,112.10,+,0.97,0.87,
其他類指數,346.12,+,4.14,1.21,
臺指日報酬兩倍指數,"26,520.33",+,"1,320.57",5.24,
臺指反向一倍指數,"4,715.43",-,126.88,-2.62,
電子類兩倍槓桿指數,"25,321.28",+,"1,908.06",8.15,
電子類反向指數,"4,246.05",-,180.36,-4.07,
價格指數(跨市場),,,,,
指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
臺灣生技指數,"3,964.69",-,17.09,-0.43,
臺灣中小型公司治理指數,"6,631.17",+,65.91,1.00,
臺灣IPO指數,"4,585.48",+,96.25,2.14,
智慧中立指數,"3,482.07",-,2.52,-0.07,
臺灣5G指數,"7,367.88",+,215.13,3.01,
臺灣企業社會責任中小型指數,"7,785.79",+,44.98,0.58,
特選臺灣電動車代表指數,"5,736.64",+,54.81,0.96,
臺灣5G+通訊指數,"5,536.14",+,179.92,3.36,
臺灣全市場指數,"4,931.16",+,134.33,2.80,
臺灣全市場半導體指數,"4,650.47",+,175.74,3.93,
臺灣電動車與自駕科技永續概念指數,"4,087.42",+,118.61,2.99,
臺灣智慧移動與電動車指數,"3,825.99",+,87.54,2.34,
特選小資高價30指數,"4,375.23",+,136.05,3.21,
特選臺灣綠能及電動車指數,"4,295.77",+,76.71,1.82,
特選臺灣智能車供應鏈聯盟指數,"4,142.21",+,131.81,3.29,
臺灣全市場半導體精選30指數,"3,701.45",+,143.29,4.03,
特選臺灣高股息30指數,"3,719.42",+,15.93,0.43,
臺灣友善環境指數,"4,421.59",+,117.81,2.74,
台灣永續價值指數,"4,138.20",+,112.23,2.79,
特選臺灣IC設計指數,"2,724.25",+,41.20,1.54,
特選臺灣環境永續高股息指數,"3,913.76",+,37.98,0.98,
臺灣友善環境50指數,"3,865.75",+,105.37,2.80,
特選台灣策略高股息30指數,"3,612.62",+,13.06,0.36,
特選臺灣IC設計產業代表指數,"3,252.96",+,58.27,1.82,
特選臺灣綠能指數,"4,686.34",+,102.85,2.24,
特選臺灣成長高股息指數,"3,750.67",+,45.91,1.24,
特選臺灣智慧50指數,"3,699.92",+,96.91,2.69,
特選臺灣標竿PCB指數,"3,817.47",+,49.78,1.32,
臺灣晶圓製造指數,"4,318.68",+,170.49,4.11,
臺灣精選高息指數,"3,686.95",+,26.52,0.72,
臺灣多因子優選高股息30指數,"4,644.77",+,20.06,0.43,
特選臺灣優利高填息30指數,"4,349.57",+,36.95,0.86,
臺灣多因子優選成長30指數,"5,117.11",+,139.31,2.80,
價格指數(臺灣指數公司),,,,,
指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
金融類日報酬兩倍指數,"25,141.79",+,271.72,1.09,
金融類日報酬反向一倍指數,"5,071.70",-,27.86,-0.55,
漲升股利150指數,"7,693.91",+,111.43,1.47,
藍籌30指數,"7,150.39",+,205.20,2.95,
工業菁英30指數,"7,668.94",+,223.14,3.00,
電子菁英30指數,"7,374.00",+,198.50,2.77,
低波動股利精選30指數,"6,284.72",-,4.86,-0.08,
中小型A級動能50指數,"13,272.45",+,9.83,0.07,
特選高息低波指數,"6,461.97",+,26.84,0.42,
臺灣永續指數,"7,477.91",+,213.72,2.94,
特選內需高收益指數,"5,653.19",+,23.04,0.41,
價值投資指數,"5,541.41",+,59.16,1.08,
存股雙十等權重指數,"6,613.31",+,73.34,1.12,
特選大蘋果指數,"6,566.38",+,130.34,2.03,
中小型300指數,"8,086.18",+,63.53,0.79,
特股高息20指數,"5,591.61",+,18.16,0.33,
臺灣500指數,"7,503.83",+,177.40,2.42,
臺灣勞工權益指數,"7,027.58",+,39.33,0.56,
微波高息精選20指數,"6,109.07",-,1.22,-0.02,
特選世代行動通訊指數,"5,719.49",+,5.47,0.10,
智慧投資多因子30指數,"4,740.03",+,103.98,2.24,
臺股期貨指數,"7,607.92",+,204.62,2.76,
特選價值成長指數,"6,140.05",+,55.04,0.90,
臺灣上櫃永續指數,"5,530.66",+,80.63,1.48,
特選台股領航指數,"6,613.10",+,168.35,2.61,
特選Smart多因子指數,"5,460.27",+,153.12,2.89,
特選ESG高股息指數,"3,966.28",+,61.97,1.59,
特選上櫃ESG成長指數,"4,002.36",+,36.78,0.93,
特選上櫃ESG電子菁英指數,"4,129.04",+,56.78,1.39,
新臺灣高股息指數,"4,294.28",+,23.09,0.54,
臺灣優息存股指數,"4,627.50",+,40.01,0.87,
特選上櫃ESG永續高股息指數,"5,649.64",+,57.61,1.03,
特選臺灣金融高股息存股指數,"4,890.77",+,27.27,0.56,
上櫃ESG 30指數,"5,042.29",+,60.45,1.21,
報酬指數(臺灣證券交易所),,,,,
報酬指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
寶島股價報酬指數,"23,186.55",+,552.83,2.44,
發行量加權股價報酬指數,"30,189.11",+,770.90,2.62,
臺灣公司治理100報酬指數,"11,504.07",+,381.07,3.43,
臺灣50報酬指數,"23,456.23",+,921.09,4.09,
臺灣50權重上限30%報酬指數,"22,516.19",+,647.92,2.96,
臺灣中型100報酬指數,"24,877.69",+,178.96,0.72,
臺灣資訊科技股報酬指數,"37,749.66",+,"1,834.18",5.11,
臺灣發達報酬指數,"18,426.35",+,75.58,0.41,
臺灣高股息報酬指數,"16,517.70",+,86.36,0.53,
臺灣就業99報酬指數,"13,997.67",+,189.54,1.37,
臺灣高薪100報酬指數,"11,557.26",+,168.18,1.48,
未含金融電子報酬指數,"29,924.81",+,131.16,0.44,
小型股300報酬指數,"10,497.51",+,58.45,0.56,
水泥類報酬指數,305.46,-,0.64,-0.21,
食品類報酬指數,"2,814.85",-,0.96,-0.03,
塑膠類報酬指數,448.63,+,0.30,0.07,
紡織纖維類報酬指數,934.73,-,11.98,-1.27,
電機機械類報酬指數,330.16,+,1.01,0.31,
電器電纜類報酬指數,165.77,+,9.36,5.98,
化學生技醫療類報酬指數,166.99,+,0.51,0.31,
化學類報酬指數,212.43,+,2.26,1.08,
生技醫療類報酬指數,86.58,-,0.43,-0.49,
玻璃陶瓷類報酬指數,75.63,+,0.94,1.26,
造紙類報酬指數,482.68,+,2.35,0.49,
鋼鐵類報酬指數,230.57,+,2.76,1.21,
橡膠類報酬指數,373.80,+,1.45,0.39,
汽車類報酬指數,518.82,+,2.97,0.58,
電子工業類報酬指數,"1,272.85",+,49.84,4.08,
半導體類報酬指數,568.33,+,33.80,6.32,
電腦及週邊設備類報酬指數,267.52,+,0.18,0.07,
光電類報酬指數,49.97,+,0.86,1.75,
通信網路類報酬指數,258.43,-,1.18,-0.45,
電子零組件類報酬指數,298.69,+,4.34,1.47,
電子通路類報酬指數,399.35,+,0.22,0.06,
資訊服務類報酬指數,276.53,+,0.78,0.28,
其他電子類報酬指數,155.16,+,0.68,0.44,
建材營造類報酬指數,689.21,-,0.77,-0.11,
航運類報酬指數,251.42,-,0.49,-0.19,
觀光類報酬指數,141.02,+,1.15,0.82,
金融保險類報酬指數,"2,617.45",+,14.23,0.55,
貿易百貨類報酬指數,418.37,+,0.05,0.01,
油電燃氣類報酬指數,177.44,+,1.53,0.87,
其他類報酬指數,588.35,+,7.04,1.21,
報酬指數(跨市場),,,,,
報酬指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
臺灣生技報酬指數,"4,391.44",-,18.93,-0.43,
臺灣中小型公司治理報酬指數,"8,709.66",+,86.58,1.00,
臺灣IPO報酬指數,"5,353.45",+,112.37,2.14,
智慧中立報酬指數,"4,030.19",-,2.92,-0.07,
加權指數掩護性臺指買權價外5%報酬指數,"6,271.08",+,0.21,--,
臺灣5G報酬指數,"8,237.28",+,240.52,3.01,
臺灣企業社會責任中小型報酬指數,"9,051.42",+,52.30,0.58,
特選臺灣電動車代表報酬指數,"6,456.02",+,61.70,0.96,
臺灣5G+通訊報酬指數,"6,015.10",+,195.48,3.36,
臺灣全市場報酬指數,"5,298.75",+,144.35,2.80,
臺灣全市場半導體報酬指數,"5,018.06",+,189.63,3.93,
臺灣電動車與自駕科技永續概念報酬指數,"4,443.05",+,128.93,2.99,
