指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
寶島股價指數,"18,813.09",-,97.99,-0.52,
發行量加權股價指數,"16,512.88",-,93.08,-0.56,
臺灣公司治理100指數,"9,545.76",-,74.10,-0.77,
臺灣50指數,"12,734.78",-,110.67,-0.86,
臺灣50權重上限30%指數,"12,156.46",-,103.18,-0.84,
臺灣中型100指數,"14,064.93",+,4.14,0.03,
臺灣資訊科技指數,"21,659.15",-,199.04,-0.91,
臺灣發達指數,"11,059.38",-,23.07,-0.21,
臺灣高股息指數,"7,333.17",-,0.88,-0.01,
臺灣就業99指數,"9,876.05",-,67.58,-0.68,
臺灣高薪100指數,"9,242.42",-,64.17,-0.69,
未含金融指數,"14,237.81",-,80.60,-0.56,
未含電子指數,"19,434.53",-,44.07,-0.23,
未含金融電子指數,"16,380.80",-,15.20,-0.09,
小型股300指數,"8,829.79",-,3.61,-0.04,
水泥窯製類指數,651.51,-,2.73,-0.42,
塑膠化工類指數,927.54,-,4.84,-0.52,
機電類指數,"4,272.66",-,31.20,-0.72,
水泥類指數,168.82,-,0.74,-0.44,
食品類指數,"1,818.52",-,4.54,-0.25,
塑膠類指數,282.59,-,2.04,-0.72,
紡織纖維類指數,579.40,-,2.96,-0.51,
電機機械類指數,243.03,+,3.83,1.60,
電器電纜類指數,104.47,-,0.38,-0.36,
化學生技醫療類指數,119.05,-,0.14,-0.12,
化學類指數,147.00,-,1.29,-0.87,
生技醫療類指數,64.83,+,0.61,0.95,
玻璃陶瓷類指數,57.19,-,0.17,-0.30,
造紙類指數,330.35,-,3.15,-0.94,
鋼鐵類指數,163.98,+,0.27,0.16,
橡膠類指數,256.46,-,0.25,-0.10,
汽車類指數,326.72,-,4.16,-1.26,
電子工業類指數,763.94,-,6.01,-0.78,
半導體類指數,372.98,-,3.49,-0.93,
電腦及週邊設備類指數,132.26,-,0.40,-0.30,
光電類指數,35.01,-,0.25,-0.71,
通信網路類指數,137.03,-,0.39,-0.28,
電子零組件類指數,168.91,-,0.82,-0.48,
電子通路類指數,201.09,-,0.17,-0.08,
資訊服務類指數,128.49,+,0.29,0.23,
其他電子類指數,103.58,-,1.08,-1.03,
建材營造類指數,369.64,-,0.58,-0.16,
航運類指數,272.40,+,0.42,0.15,
觀光類指數,98.94,-,0.71,-0.71,
金融保險類指數,"1,672.48",-,9.12,-0.54,
貿易百貨類指數,292.28,+,6.09,2.13,
油電燃氣類指數,124.17,-,1.71,-1.36,
其他類指數,376.55,+,1.55,0.41,
臺指日報酬兩倍指數,"34,969.91",-,396.47,-1.12,
臺指反向一倍指數,"4,249.33",+,23.69,0.56,
電子類兩倍槓桿指數,"33,306.49",-,528.21,-1.56,
電子類反向指數,"3,901.34",+,30.22,0.78,
價格指數(跨市場),,,,,
指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
臺灣生技指數,"4,017.19",+,22.52,0.56,
臺灣中小型公司治理指數,"7,198.81",+,25.14,0.35,
臺灣IPO指數,"6,586.79",+,15.24,0.23,
智慧中立指數,"4,050.35",+,11.45,0.28,
臺灣5G指數,"8,471.97",-,90.91,-1.06,
臺灣企業社會責任中小型指數,"8,509.18",-,18.41,-0.22,
特選臺灣電動車代表指數,"5,711.21",-,26.55,-0.46,
臺灣5G+通訊指數,"6,224.90",-,69.92,-1.11,
臺灣全市場指數,"5,601.68",-,31.98,-0.57,
臺灣全市場半導體指數,"5,647.55",-,51.27,-0.90,
臺灣電動車與自駕科技永續概念指數,"4,596.27",-,36.68,-0.79,
臺灣智慧移動與電動車指數,"4,359.81",-,56.65,-1.28,
特選小資高價30指數,"4,842.48",-,34.17,-0.70,
特選臺灣綠能及電動車指數,"4,652.37",-,22.14,-0.47,
特選臺灣智能車供應鏈聯盟指數,"4,532.03",-,46.45,-1.01,
臺灣全市場半導體精選30指數,"4,467.74",-,45.18,-1.00,
特選臺灣高股息30指數,"4,714.66",-,22.70,-0.48,
臺灣友善環境指數,"5,098.06",-,23.08,-0.45,
