指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
寶島股價指數,"24,872.76",+,12.22,0.05,
發行量加權股價指數,"21,968.05",+,6.37,0.03,
臺灣公司治理100指數,"12,900.35",-,26.17,-0.20,
臺灣50指數,"18,059.80",-,53.33,-0.29,
臺灣50權重上限30%指數,"15,774.82",-,14.24,-0.09,
臺灣中型100指數,"19,205.42",+,122.51,0.64,
臺灣資訊科技指數,"35,642.81",-,85.66,-0.24,
臺灣發達指數,"9,883.93",+,14.45,0.15,
臺灣高股息指數,"9,372.50",+,6.00,0.06,
臺灣就業99指數,"13,194.81",+,23.19,0.18,
臺灣高薪100指數,"11,850.88",+,3.98,0.03,
未含金融指數,"19,051.23",+,6.83,0.04,
未含電子指數,"19,571.32",+,100.12,0.51,
未含金融電子指數,"14,706.89",+,119.39,0.82,
小型股300指數,"11,353.47",+,79.31,0.70,
水泥窯製類指數,615.80,+,6.81,1.12,
塑膠化工類指數,627.33,+,8.32,1.34,
機電類指數,"6,602.51",-,11.11,-0.17,
水泥類指數,161.93,+,1.95,1.22,
食品類指數,"2,157.40",+,10.17,0.47,
塑膠類指數,116.31,+,5.00,4.49,
紡織纖維類指數,606.13,+,1.20,0.20,
電機機械類指數,390.48,+,0.98,0.25,
電器電纜類指數,95.11,+,2.01,2.16,
化學生技醫療類指數,137.42,-,0.71,-0.51,
化學類指數,167.55,-,2.71,-1.59,
生技醫療類指數,75.74,+,0.09,0.12,
玻璃陶瓷類指數,48.95,+,0.18,0.37,
造紙類指數,287.11,+,5.52,1.96,
鋼鐵類指數,144.52,+,2.57,1.81,
橡膠類指數,271.66,+,2.19,0.81,
汽車類指數,376.18,+,3.42,0.92,
電子工業類指數,"1,183.64",-,2.25,-0.19,
半導體類指數,597.42,-,2.15,-0.36,
電腦及週邊設備類指數,260.06,-,0.47,-0.18,
光電類指數,39.82,+,0.56,1.43,
通信網路類指數,167.33,-,0.18,-0.11,
電子零組件類指數,226.38,-,1.23,-0.54,
電子通路類指數,239.84,+,1.25,0.52,
資訊服務類指數,232.43,+,2.33,1.01,
其他電子類指數,157.11,+,1.44,0.93,
建材營造類指數,557.90,+,1.87,0.34,
航運類指數,203.78,+,0.06,0.03,
觀光餐旅類指數,119.10,-,0.59,-0.49,
金融保險類指數,"2,131.42",-,0.55,-0.03,
貿易百貨類指數,275.11,-,0.13,-0.05,
油電燃氣類指數,58.48,+,2.81,5.05,
綠能環保類指數,108.51,+,0.54,0.50,
數位雲端類指數,63.86,+,0.96,1.53,
運動休閒類指數,94.16,+,0.25,0.27,
居家生活類指數,124.73,+,0.57,0.46,
其他類指數,322.35,+,1.25,0.39,
臺指日報酬兩倍指數,"56,639.56",+,32.84,0.06,
臺指反向一倍指數,"2,920.08",-,0.85,-0.03,
電子類兩倍槓桿指數,"69,464.04",-,264.59,-0.38,
電子類反向指數,"2,189.38",+,4.15,0.19,
價格指數(跨市場),,,,,
指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
臺灣生技指數,"3,824.27",+,4.54,0.12,
臺灣中小型公司治理指數,"9,889.80",+,8.01,0.08,
臺灣IPO指數,"5,989.45",+,29.16,0.49,
智慧中立指數,"3,841.71",-,14.40,-0.37,
臺灣5G指數,"11,073.43",-,5.97,-0.05,
臺灣企業社會責任中小型指數,"11,722.62",+,49.55,0.42,
特選臺灣電動車代表指數,"9,648.07",+,22.94,0.24,
臺灣科技龍頭通訊指數,"9,661.15",+,2.95,0.03,
臺灣全市場指數,"7,638.20",+,5.49,0.07,
臺灣全市場半導體指數,"7,543.67",+,16.76,0.22,
臺灣智慧移動與電動車指數,"5,534.08",+,16.32,0.30,
特選小資高價30指數,"7,565.99",-,17.03,-0.22,
特選臺灣綠能及電動車指數,"5,884.51",+,26.85,0.46,
特選臺灣智能車供應鏈聯盟指數,"6,912.35",-,5.71,-0.08,
臺灣全市場半導體精選30指數,"5,909.52",+,14.23,0.24,
特選臺灣高股息30指數,"5,048.24",-,0.87,-0.02,
臺灣友善環境指數,"6,787.03",-,3.60,-0.05,
台灣永續價值指數,"6,177.82",-,2.48,-0.04,
特選臺灣IC設計指數,"4,451.72",+,14.60,0.33,
特選臺灣環境永續高股息指數,"6,999.60",-,29.99,-0.43,
臺灣友善環境50指數,"5,619.28",+,1.13,0.02,
特選臺灣IC設計產業代表指數,"5,695.39",+,33.05,0.58,
特選臺灣綠能指數,"5,082.49",+,19.36,0.38,
特選臺灣智慧50指數,"5,171.52",-,17.89,-0.34,
臺灣晶圓製造指數,"5,893.52",+,16.37,0.28,
臺灣精選高息指數,"5,567.82",+,6.03,0.11,
臺灣多因子優選高股息30指數,"8,506.04",+,40.06,0.47,
特選臺灣優利高填息30指數,"7,330.29",-,6.96,-0.09,
特選臺灣科技優息指數,"8,702.08",-,9.61,-0.11,
臺灣半導體收益指數,"6,651.36",+,2.87,0.04,
臺灣優選成長高股息指數,"7,507.00",-,35.72,-0.47,
特選臺灣ESG低碳高息40指數,"8,193.51",+,35.29,0.43,
臺灣優選多因子30指數,"8,681.99",+,26.05,0.30,
臺灣創新科技50指數,"7,240.47",-,13.67,-0.19,
臺灣全市場新經濟產業指數,"4,762.01",+,24.56,0.52,
臺灣ESG永續高股息等權重指數,"6,217.59",+,43.86,0.71,
臺灣永續高息中小型指數,"5,658.90",+,39.59,0.70,
特選臺灣高息優質成長指數,"6,064.84",-,4.94,-0.08,
特選臺灣高息動能指數,"6,557.10",-,11.84,-0.18,
臺灣電子成長高息等權重指數,"5,908.23",+,4.79,0.08,
特選臺灣優利成長指數,"5,055.91",-,20.14,-0.40,
臺灣價值高息指數,"5,516.79",-,12.06,-0.22,
特選臺灣IC設計動能指數,"4,718.89",+,7.87,0.17,
臺灣科技高股息指數,"5,325.27",+,14.94,0.28,
臺灣趨勢動能高股息指數,"5,861.74",+,22.69,0.39,
特選臺灣科技高息成長指數,"5,370.24",+,15.83,0.30,
特選臺灣AI優息動能指數,"4,774.35",+,9.91,0.21,
臺灣優選AI 50指數,"4,793.31",+,6.87,0.14,
臺灣AI供應鏈聯盟指數,"5,271.24",+,0.21,--,
台灣旗艦動能50指數,"5,211.55",-,10.61,-0.20,
價格指數(臺灣指數公司),,,,,
指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
金融類日報酬兩倍指數,"48,269.16",-,24.92,-0.05,
金融類日報酬反向一倍指數,"3,446.23",+,0.89,0.03,
漲升股利150指數,"9,811.70",+,37.40,0.38,
藍籌30指數,"10,590.35",-,43.04,-0.40,
工業菁英30指數,"10,934.10",-,11.59,-0.11,
低波動股利精選30指數,"8,724.62",+,34.28,0.39,
中小型A級動能50指數,"21,515.61",+,107.16,0.50,
特選高息低波指數,"10,327.31",+,18.96,0.18,
臺灣永續指數,"11,561.40",+,0.59,0.01,
價值投資指數,"7,923.34",-,2.01,-0.03,
存股雙十等權重指數,"9,769.61",-,88.45,-0.90,
特選大蘋果指數,"10,615.19",-,61.43,-0.58,
中小型300指數,"11,513.91",+,68.58,0.60,
臺灣500指數,"11,120.98",+,13.60,0.12,
臺灣勞工權益指數,"9,773.92",+,21.39,0.22,
微波高息精選20指數,"8,813.35",+,23.51,0.27,
特選世代行動通訊指數,"9,409.39",-,32.23,-0.34,
智慧投資多因子30指數,"7,785.52",-,25.11,-0.32,
臺股期貨指數,"11,889.55",+,21.98,0.19,
特選價值成長指數,"10,251.13",+,69.81,0.69,
臺灣上櫃永續指數,"7,420.14",+,17.49,0.24,
特選台股領航指數,"11,149.72",-,43.50,-0.39,
特選Smart多因子指數,"8,937.80",-,27.36,-0.31,
特選ESG高股息指數,"6,987.66",-,1.55,-0.02,
特選上櫃ESG成長指數,"5,157.00",+,5.61,0.11,
特選上櫃ESG電子菁英指數,"5,255.95",+,5.12,0.10,
臺灣優息存股指數,"5,443.79",+,14.48,0.27,
特選上櫃ESG永續高股息指數,"7,047.54",-,39.84,-0.56,
特選臺灣金融高股息存股指數,"6,807.01",+,3.97,0.06,
特選臺灣產業龍頭存股等權重指數,"6,689.04",+,7.15,0.11,
上櫃ESG 30指數,"6,532.87",+,51.02,0.79,
臺灣ESG低碳50指數,"7,627.00",-,6.64,-0.09,
臺灣創新板指數,"8,896.00",+,57.61,0.65,
特選上櫃ESG龍頭指數,"6,245.61",+,48.39,0.78,
漲升股利精選高息50指數,"5,765.19",+,17.21,0.30,
臺灣市值動能50指數,"4,783.78",-,26.69,-0.55,
臺灣護城河概念優選50指數,"4,822.25",-,12.88,-0.27,
報酬指數(臺灣證券交易所),,,,,
報酬指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
寶島股價報酬指數,"36,998.87",+,18.17,0.05,
發行量加權股價報酬指數,"48,577.62",+,14.08,0.03,
臺灣公司治理100報酬指數,"18,887.35",-,38.32,-0.20,
臺灣50報酬指數,"40,204.16",-,118.71,-0.29,
臺灣50權重上限30%報酬指數,"35,797.29",-,32.33,-0.09,
臺灣中型100報酬指數,"39,752.59",+,253.57,0.64,
臺灣資訊科技股報酬指數,"74,253.03",-,178.45,-0.24,
臺灣發達報酬指數,"20,517.52",+,30.00,0.15,
臺灣高股息報酬指數,"28,258.21",+,18.08,0.06,
臺灣就業99報酬指數,"22,001.13",+,38.68,0.18,
臺灣高薪100報酬指數,"19,076.72",+,6.40,0.03,
未含金融電子報酬指數,"33,702.71",+,273.61,0.82,
小型股300報酬指數,"16,055.70",+,112.17,0.70,
水泥類報酬指數,343.54,+,4.15,1.22,
食品類報酬指數,"3,605.51",+,16.99,0.47,
塑膠類報酬指數,225.11,+,9.68,4.49,
紡織纖維類報酬指數,"1,065.09",+,2.11,0.20,
電機機械類報酬指數,612.16,+,1.53,0.25,
電器電纜類報酬指數,156.91,+,3.32,2.16,
化學生技醫療類報酬指數,227.38,-,1.17,-0.51,
化學類報酬指數,303.00,-,4.91,-1.59,
生技醫療類報酬指數,111.22,+,0.13,0.12,
玻璃陶瓷類報酬指數,62.31,+,0.24,0.39,
造紙類報酬指數,465.41,+,8.95,1.96,
鋼鐵類報酬指數,260.14,+,4.62,1.81,
橡膠類報酬指數,461.50,+,3.72,0.81,
汽車類報酬指數,632.81,+,5.76,0.92,
電子工業類報酬指數,"2,361.36",-,4.49,-0.19,
