指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
寶島股價指數,"18,911.08",+,54.13,0.29,
發行量加權股價指數,"16,605.96",+,53.39,0.32,
臺灣公司治理100指數,"9,619.86",+,39.17,0.41,
臺灣50指數,"12,845.45",+,55.30,0.43,
臺灣50權重上限30%指數,"12,259.64",+,69.18,0.57,
臺灣中型100指數,"14,060.79",+,42.94,0.31,
臺灣資訊科技指數,"21,858.19",+,69.88,0.32,
臺灣發達指數,"11,082.45",+,65.94,0.60,
臺灣高股息指數,"7,334.05",+,20.45,0.28,
臺灣就業99指數,"9,943.63",+,53.42,0.54,
臺灣高薪100指數,"9,306.59",+,51.91,0.56,
未含金融指數,"14,318.41",+,41.33,0.29,
未含電子指數,"19,478.60",+,60.99,0.31,
未含金融電子指數,"16,396.00",+,33.72,0.21,
小型股300指數,"8,833.40",-,30.57,-0.34,
水泥窯製類指數,654.24,-,1.09,-0.17,
塑膠化工類指數,932.38,+,1.70,0.18,
機電類指數,"4,303.86",+,12.95,0.30,
水泥類指數,169.56,-,0.33,-0.19,
食品類指數,"1,823.06",+,3.36,0.18,
塑膠類指數,284.63,+,1.81,0.64,
紡織纖維類指數,582.36,+,4.13,0.71,
電機機械類指數,239.20,+,1.95,0.82,
電器電纜類指數,104.85,-,4.72,-4.31,
化學生技醫療類指數,119.19,-,1.07,-0.89,
化學類指數,148.29,-,2.38,-1.58,
生技醫療類指數,64.22,+,0.07,0.11,
玻璃陶瓷類指數,57.36,+,0.01,0.02,
造紙類指數,333.50,+,0.88,0.26,
鋼鐵類指數,163.71,+,3.37,2.10,
橡膠類指數,256.71,-,1.07,-0.42,
汽車類指數,330.88,-,1.14,-0.34,
電子工業類指數,769.95,+,2.52,0.33,
半導體類指數,376.47,+,0.31,0.08,
電腦及週邊設備類指數,132.66,+,0.76,0.58,
光電類指數,35.26,+,0.67,1.94,
通信網路類指數,137.42,+,0.57,0.42,
電子零組件類指數,169.73,+,0.75,0.44,
電子通路類指數,201.26,+,2.08,1.04,
資訊服務類指數,128.20,+,0.06,0.05,
其他電子類指數,104.66,+,1.02,0.98,
建材營造類指數,370.22,-,1.97,-0.53,
航運類指數,271.98,-,1.48,-0.54,
觀光類指數,99.65,+,1.53,1.56,
金融保險類指數,"1,681.60",+,9.54,0.57,
貿易百貨類指數,286.19,+,3.25,1.15,
油電燃氣類指數,125.88,+,1.11,0.89,
其他類指數,375.00,+,0.72,0.19,
臺指日報酬兩倍指數,"35,366.38",+,226.68,0.65,
臺指反向一倍指數,"4,225.64",-,13.67,-0.32,
電子類兩倍槓桿指數,"33,834.70",+,220.76,0.66,
電子類反向指數,"3,871.12",-,12.75,-0.33,
價格指數(跨市場),,,,,
指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
臺灣生技指數,"3,994.67",-,9.02,-0.23,
臺灣中小型公司治理指數,"7,173.67",+,24.80,0.35,
臺灣IPO指數,"6,571.55",-,61.66,-0.93,
智慧中立指數,"4,038.90",-,6.30,-0.16,
臺灣5G指數,"8,562.88",+,54.92,0.65,
臺灣企業社會責任中小型指數,"8,527.59",+,30.57,0.36,
特選臺灣電動車代表指數,"5,737.76",+,33.08,0.58,
臺灣5G+通訊指數,"6,294.82",+,49.23,0.79,
臺灣全市場指數,"5,633.66",+,16.76,0.30,
臺灣全市場半導體指數,"5,698.82",+,16.88,0.30,
臺灣電動車與自駕科技永續概念指數,"4,632.95",+,31.98,0.70,
臺灣智慧移動與電動車指數,"4,416.46",+,41.78,0.96,
特選小資高價30指數,"4,876.65",+,27.08,0.56,
特選臺灣綠能及電動車指數,"4,674.51",+,14.41,0.31,
特選臺灣智能車供應鏈聯盟指數,"4,578.48",+,31.22,0.69,
臺灣全市場半導體精選30指數,"4,512.92",+,19.74,0.44,
特選臺灣高股息30指數,"4,737.36",+,8.73,0.18,
臺灣友善環境指數,"5,121.14",+,9.23,0.18,
台灣永續價值指數,"4,605.34",+,20.21,0.44,
特選臺灣IC設計指數,"3,752.84",+,1.90,0.05,
特選臺灣環境永續高股息指數,"4,668.44",+,34.58,0.75,
臺灣友善環境50指數,"4,503.00",+,26.50,0.59,
特選台灣策略高股息30指數,"4,591.99",+,7.61,0.17,
特選臺灣IC設計產業代表指數,"4,191.77",+,20.01,0.48,
