指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
寶島股價指數,"27,295.81",+,52.47,0.19,
發行量加權股價指數,"24,305.10",+,27.72,0.11,
臺灣公司治理100指數,"14,649.92",+,5.78,0.04,
臺灣50指數,"20,958.75",+,26.65,0.13,
臺灣50權重上限30%指數,"17,706.20",-,13.99,-0.08,
臺灣中型100指數,"20,429.70",+,106.21,0.52,
臺灣資訊科技指數,"42,087.34",+,182.59,0.44,
臺灣發達指數,"10,825.68",+,14.97,0.14,
臺灣高股息指數,"9,214.00",-,17.91,-0.19,
臺灣就業99指數,"13,639.70",-,57.13,-0.42,
臺灣高薪100指數,"12,206.66",-,45.78,-0.37,
未含金融指數,"21,323.84",+,67.21,0.32,
未含電子指數,"18,746.50",-,180.75,-0.95,
未含金融電子指數,"13,709.39",-,74.58,-0.54,
小型股300指數,"10,974.06",+,14.63,0.13,
水泥窯製類指數,542.54,-,3.20,-0.59,
塑膠化工類指數,663.12,+,5.34,0.81,
機電類指數,"7,720.18",+,36.62,0.48,
水泥類指數,123.73,-,1.28,-1.02,
食品類指數,"2,039.20",-,20.79,-1.01,
塑膠類指數,127.84,+,1.98,1.57,
紡織纖維類指數,502.74,-,8.49,-1.66,
電機機械類指數,400.10,-,4.33,-1.07,
電器電纜類指數,88.26,-,1.31,-1.46,
化學生技醫療類指數,149.70,+,1.12,0.75,
化學類指數,161.68,+,1.15,0.72,
生技醫療類指數,87.66,+,0.66,0.76,
玻璃陶瓷類指數,83.35,+,0.67,0.81,
造紙類指數,247.02,-,0.56,-0.23,
鋼鐵類指數,121.55,-,1.69,-1.37,
橡膠類指數,218.77,-,3.56,-1.60,
汽車類指數,327.10,-,1.93,-0.59,
電子工業類指數,"1,389.72",+,7.17,0.52,
半導體類指數,700.04,+,3.50,0.50,
電腦及週邊設備類指數,280.68,-,0.60,-0.21,
光電類指數,37.12,+,0.29,0.79,
通信網路類指數,179.02,+,0.43,0.24,
電子零組件類指數,322.48,+,2.95,0.92,
電子通路類指數,228.89,+,0.54,0.24,
資訊服務類指數,223.85,+,0.50,0.22,
其他電子類指數,197.06,+,2.22,1.14,
建材營造類指數,482.43,-,3.07,-0.63,
航運類指數,186.65,-,1.33,-0.71,
觀光餐旅類指數,108.59,+,0.09,0.08,
金融保險類指數,"2,139.46",-,35.75,-1.64,
貿易百貨類指數,252.93,-,2.59,-1.01,
油電燃氣類指數,62.15,-,0.70,-1.11,
綠能環保類指數,105.47,-,0.89,-0.84,
數位雲端類指數,50.93,-,0.39,-0.76,
運動休閒類指數,74.61,-,0.57,-0.76,
居家生活類指數,120.13,-,0.76,-0.63,
其他類指數,289.57,-,1.57,-0.54,
臺指日報酬兩倍指數,"66,475.72",+,151.46,0.23,
臺指反向一倍指數,"2,533.45",-,2.90,-0.11,
電子類兩倍槓桿指數,"90,926.64",+,933.42,1.04,
電子類反向指數,"1,771.95",-,9.24,-0.52,
價格指數(跨市場),,,,,
指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
