指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
寶島股價指數,"19,456.79",-,158.46,-0.81,
發行量加權股價指數,"17,096.97",-,105.14,-0.61,
臺灣公司治理100指數,"9,969.45",-,19.40,-0.19,
臺灣50指數,"13,699.84",-,32.73,-0.24,
臺灣50權重上限30%指數,"12,983.79",-,34.77,-0.27,
臺灣中型100指數,"13,039.11",-,179.07,-1.35,
臺灣資訊科技指數,"23,775.77",-,140.60,-0.59,
臺灣發達指數,"11,390.94",-,17.92,-0.16,
臺灣高股息指數,"8,184.30",-,69.34,-0.84,
臺灣就業99指數,"10,138.35",-,83.20,-0.81,
臺灣高薪100指數,"8,895.94",-,33.95,-0.38,
未含金融指數,"15,047.97",-,103.56,-0.68,
未含電子指數,"18,685.08",-,53.91,-0.29,
未含金融電子指數,"16,343.36",-,66.92,-0.41,
小型股300指數,"9,246.95",-,143.02,-1.52,
水泥窯製類指數,817.42,-,13.63,-1.64,
塑膠化工類指數,"1,029.84",-,9.01,-0.87,
機電類指數,"4,621.03",-,37.38,-0.80,
水泥類指數,212.73,-,3.67,-1.70,
食品類指數,"1,980.89",+,5.99,0.30,
塑膠類指數,309.45,-,0.54,-0.17,
紡織纖維類指數,675.72,+,14.67,2.22,
電機機械類指數,261.65,-,4.11,-1.55,
電器電纜類指數,78.99,+,1.59,2.05,
化學生技醫療類指數,114.55,-,2.31,-1.98,
化學類指數,127.64,-,2.63,-2.02,
生技醫療類指數,70.46,-,1.40,-1.95,
玻璃陶瓷類指數,70.69,-,0.94,-1.31,
造紙類指數,454.62,-,7.46,-1.61,
鋼鐵類指數,179.72,+,1.36,0.76,
橡膠類指數,401.93,-,10.89,-2.64,
汽車類指數,347.13,-,3.91,-1.11,
電子工業類指數,828.20,-,6.68,-0.80,
半導體類指數,407.59,-,1.45,-0.35,
電腦及週邊設備類指數,144.27,-,1.78,-1.22,
光電類指數,50.72,-,1.02,-1.97,
通信網路類指數,131.78,-,0.61,-0.46,
電子零組件類指數,172.89,-,3.79,-2.15,
電子通路類指數,165.56,-,1.58,-0.95,
資訊服務類指數,135.74,-,1.60,-1.16,
其他電子類指數,108.67,-,2.21,-1.99,
建材營造類指數,376.60,-,0.66,-0.17,
航運類指數,161.44,-,3.67,-2.22,
觀光類指數,109.78,-,2.42,-2.16,
金融保險類指數,"1,466.06",+,0.40,0.03,
貿易百貨類指數,290.63,+,0.42,0.14,
油電燃氣類指數,130.97,+,2.38,1.85,
其他類指數,364.33,-,1.94,-0.53,
臺指日報酬兩倍指數,"38,749.60",-,479.54,-1.22,
臺指反向一倍指數,"4,241.55",+,25.77,0.61,
電子類兩倍槓桿指數,"40,844.91",-,664.24,-1.60,
電子類反向指數,"3,754.59",+,29.80,0.80,
價格指數(跨市場),,,,,
指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
臺灣生技指數,"4,599.30",-,138.61,-2.93,
臺灣中小型公司治理指數,"7,733.97",-,38.48,-0.50,
臺灣IPO指數,"7,555.63",-,227.23,-2.92,
智慧中立指數,"4,460.56",-,35.93,-0.80,
臺灣企業社會責任中小型指數,"7,428.52",-,112.84,-1.50,
臺灣5G+通訊指數,"6,761.66",-,24.90,-0.37,
臺灣全市場指數,"5,827.89",-,49.38,-0.84,
臺灣全市場半導體指數,"6,002.41",-,64.37,-1.06,
價格指數(臺灣指數公司),,,,,
