指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
寶島股價指數,"16,018.18",+,555.77,3.59,
發行量加權股價指數,"14,007.56",+,503.80,3.73,
臺灣公司治理100指數,"8,021.89",+,362.63,4.73,
臺灣50指數,"10,669.46",+,543.40,5.37,
臺灣50權重上限30%指數,"10,236.41",+,441.62,4.51,
臺灣中型100指數,"12,445.93",+,238.69,1.96,
臺灣資訊科技指數,"18,135.22",+,"1,026.05",6.00,
臺灣發達指數,"9,334.55",+,172.57,1.88,
臺灣高股息指數,"5,848.53",+,114.45,2.00,
臺灣就業99指數,"8,762.01",+,275.19,3.24,
臺灣高薪100指數,"7,830.20",+,248.54,3.28,
未含金融指數,"11,993.60",+,436.59,3.78,
未含電子指數,"16,575.19",+,323.94,1.99,
未含金融電子指數,"13,697.79",+,185.94,1.38,
小型股300指數,"7,773.79",+,44.29,0.57,
水泥窯製類指數,580.62,+,8.39,1.47,
塑膠化工類指數,796.36,+,14.79,1.89,
機電類指數,"3,617.48",+,166.31,4.82,
水泥類指數,146.86,+,1.94,1.34,
食品類指數,"1,783.63",+,6.25,0.35,
塑膠類指數,239.81,+,5.02,2.14,
紡織纖維類指數,567.18,+,7.00,1.25,
電機機械類指數,213.63,+,3.27,1.55,
電器電纜類指數,96.70,+,1.64,1.73,
化學生技醫療類指數,104.99,+,2.02,1.96,
化學類指數,123.67,+,2.40,1.98,
生技醫療類指數,60.80,+,1.17,1.96,
玻璃陶瓷類指數,58.50,+,1.23,2.15,
造紙類指數,302.58,+,3.69,1.23,
鋼鐵類指數,130.24,+,1.15,0.89,
橡膠類指數,226.58,+,0.10,0.04,
汽車類指數,314.47,+,3.73,1.20,
電子工業類指數,645.75,+,30.35,4.93,
半導體類指數,301.01,+,20.05,7.14,
電腦及週邊設備類指數,119.48,+,2.26,1.93,
光電類指數,32.81,+,0.50,1.55,
通信網路類指數,123.79,+,1.40,1.14,
電子零組件類指數,157.55,+,5.04,3.30,
電子通路類指數,164.22,+,1.80,1.11,
資訊服務類指數,118.04,+,0.14,0.12,
其他電子類指數,94.27,+,0.17,0.18,
建材營造類指數,338.75,+,0.97,0.29,
航運類指數,154.44,+,0.29,0.19,
觀光類指數,99.34,+,0.04,0.04,
金融保險類指數,"1,492.98",+,49.11,3.40,
貿易百貨類指數,263.19,+,5.51,2.14,
油電燃氣類指數,109.69,+,1.68,1.56,
其他類指數,330.35,+,7.65,2.37,
臺指日報酬兩倍指數,"24,611.72",+,"1,708.92",7.46,
臺指反向一倍指數,"4,900.86",-,189.93,-3.73,
電子類兩倍槓桿指數,"23,015.46",+,"2,066.32",9.86,
電子類反向指數,"4,464.99",-,231.63,-4.93,
價格指數(跨市場),,,,,
指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
臺灣生技指數,"3,966.15",+,117.07,3.04,
臺灣中小型公司治理指數,"6,507.29",+,221.23,3.52,
臺灣IPO指數,"4,454.35",+,126.59,2.93,
智慧中立指數,"3,466.52",-,13.59,-0.39,
臺灣5G指數,"7,105.23",+,316.65,4.66,
臺灣企業社會責任中小型指數,"7,644.00",+,136.92,1.82,
特選臺灣電動車代表指數,"5,623.97",+,112.10,2.03,
臺灣5G+通訊指數,"5,310.34",+,237.61,4.68,
臺灣全市場指數,"4,742.63",+,179.59,3.94,
臺灣全市場半導體指數,"4,431.73",+,228.25,5.43,
臺灣電動車與自駕科技永續概念指數,"3,926.90",+,180.85,4.83,
臺灣智慧移動與電動車指數,"3,683.79",+,138.47,3.91,
特選小資高價30指數,"4,184.99",+,216.41,5.45,
特選臺灣綠能及電動車指數,"4,154.23",+,112.55,2.78,
特選臺灣智能車供應鏈聯盟指數,"3,974.94",+,178.00,4.69,
臺灣全市場半導體精選30指數,"3,522.06",+,198.71,5.98,
特選臺灣高股息30指數,"3,648.00",+,64.09,1.79,
臺灣友善環境指數,"4,255.99",+,158.72,3.87,
台灣永續價值指數,"3,976.97",+,167.80,4.41,
特選臺灣IC設計指數,"2,645.60",+,121.01,4.79,
特選臺灣環境永續高股息指數,"3,818.21",+,55.83,1.48,
臺灣友善環境50指數,"3,717.65",+,153.23,4.30,
特選台灣策略高股息30指數,"3,554.62",+,42.97,1.22,
特選臺灣IC設計產業代表指數,"3,157.18",+,158.93,5.30,
特選臺灣綠能指數,"4,441.25",+,97.16,2.24,
特選臺灣成長高股息指數,"3,683.47",+,92.90,2.59,
特選臺灣智慧50指數,"3,557.74",+,147.45,4.32,
特選臺灣標竿PCB指數,"3,740.70",+,138.33,3.84,
臺灣晶圓製造指數,"4,111.27",+,232.29,5.99,
臺灣精選高息指數,"3,634.90",+,68.20,1.91,
臺灣多因子優選高股息30指數,"4,573.13",+,104.32,2.33,
特選臺灣優利高填息30指數,"4,279.95",+,115.58,2.78,
價格指數(臺灣指數公司),,,,,
指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
金融類日報酬兩倍指數,"24,663.25",+,"1,570.87",6.80,
金融類日報酬反向一倍指數,"5,121.03",-,180.31,-3.40,
漲升股利150指數,"7,481.25",+,229.25,3.16,
藍籌30指數,"6,858.82",+,311.72,4.76,
工業菁英30指數,"7,365.81",+,307.56,4.36,
電子菁英30指數,"7,119.84",+,285.88,4.18,
低波動股利精選30指數,"6,220.24",+,89.56,1.46,
中小型A級動能50指數,"13,053.45",+,179.47,1.39,
特選高息低波指數,"6,379.70",+,103.49,1.65,
臺灣永續指數,"7,181.99",+,301.02,4.37,
特選內需高收益指數,"5,550.96",+,70.48,1.29,
價值投資指數,"5,456.48",+,126.33,2.37,
存股雙十等權重指數,"6,450.65",+,160.03,2.54,
特選大蘋果指數,"6,368.06",+,240.44,3.92,
中小型300指數,"7,904.01",+,126.18,1.62,
特股高息20指數,"5,566.71",+,60.22,1.09,
臺灣500指數,"7,238.57",+,253.95,3.64,
臺灣勞工權益指數,"6,913.72",+,145.45,2.15,
微波高息精選20指數,"6,042.40",+,106.74,1.80,
特選世代行動通訊指數,"5,704.60",+,102.82,1.84,
智慧投資多因子30指數,"4,595.02",+,141.23,3.17,
臺股期貨指數,"7,368.01",+,302.17,4.28,
特選價值成長指數,"6,047.15",+,90.05,1.51,
臺灣上櫃永續指數,"5,396.05",+,213.79,4.13,
特選台股領航指數,"6,390.85",+,276.26,4.52,
