指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
寶島股價指數,"19,142.65",+,213.50,1.13,
發行量加權股價指數,"16,706.91",+,194.26,1.18,
臺灣公司治理100指數,"9,518.61",+,127.37,1.36,
臺灣50指數,"12,636.08",+,168.31,1.35,
臺灣50權重上限30%指數,"11,853.24",+,133.54,1.14,
臺灣中型100指數,"15,560.48",+,173.20,1.13,
臺灣資訊科技指數,"22,617.63",+,360.50,1.62,
臺灣發達指數,"10,452.18",+,89.38,0.86,
臺灣高股息指數,"7,209.68",+,98.77,1.39,
臺灣就業99指數,"10,492.83",+,154.19,1.49,
臺灣高薪100指數,"9,184.73",+,99.91,1.10,
未含金融指數,"14,491.15",+,181.23,1.27,
未含電子指數,"18,651.99",+,149.32,0.81,
未含金融電子指數,"15,670.56",+,146.92,0.95,
小型股300指數,"9,510.17",+,68.00,0.72,
水泥窯製類指數,657.57,+,8.21,1.26,
塑膠化工類指數,870.40,+,4.52,0.52,
機電類指數,"4,494.54",+,63.55,1.43,
水泥類指數,173.32,+,2.33,1.36,
食品類指數,"2,048.94",+,11.75,0.58,
塑膠類指數,250.15,+,1.40,0.56,
紡織纖維類指數,586.64,+,8.50,1.47,
電機機械類指數,306.71,+,7.04,2.35,
電器電纜類指數,113.48,+,1.94,1.74,
化學生技醫療類指數,127.68,-,0.01,-0.01,
化學類指數,145.54,-,0.45,-0.31,
生技醫療類指數,76.51,+,0.22,0.29,
玻璃陶瓷類指數,51.67,+,0.30,0.58,
造紙類指數,367.42,+,0.13,0.04,
鋼鐵類指數,142.55,+,0.74,0.52,
橡膠類指數,249.96,+,4.52,1.84,
汽車類指數,445.72,+,10.85,2.49,
電子工業類指數,799.61,+,11.08,1.41,
半導體類指數,377.43,+,6.30,1.70,
電腦及週邊設備類指數,176.14,+,4.24,2.47,
光電類指數,36.59,+,0.26,0.72,
通信網路類指數,143.19,+,0.54,0.38,
電子零組件類指數,183.18,+,0.71,0.39,
電子通路類指數,189.72,+,0.82,0.43,
資訊服務類指數,182.42,+,5.67,3.21,
其他電子類指數,105.63,+,0.36,0.34,
建材營造類指數,385.44,+,3.14,0.82,
航運類指數,165.42,+,0.59,0.36,
觀光類指數,158.86,+,2.44,1.56,
金融保險類指數,"1,617.91",+,7.76,0.48,
貿易百貨類指數,291.68,+,1.83,0.63,
油電燃氣類指數,116.05,+,1.99,1.74,
其他類指數,374.93,+,1.33,0.36,
臺指日報酬兩倍指數,"34,645.53",+,796.42,2.35,
臺指反向一倍指數,"4,065.42",-,48.40,-1.18,
電子類兩倍槓桿指數,"34,656.22",+,947.32,2.81,
電子類反向指數,"3,539.40",-,50.44,-1.41,
價格指數(跨市場),,,,,
指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
臺灣生技指數,"4,321.75",+,26.24,0.61,
臺灣中小型公司治理指數,"8,203.00",+,77.75,0.96,
臺灣IPO指數,"5,124.19",+,37.99,0.75,
智慧中立指數,"3,473.16",-,3.82,-0.11,
臺灣5G指數,"8,231.58",+,81.46,1.00,
臺灣企業社會責任中小型指數,"9,722.51",+,130.75,1.36,
特選臺灣電動車代表指數,"7,600.96",+,121.58,1.63,
臺灣5G+通訊指數,"6,381.79",+,66.52,1.05,
臺灣全市場指數,"5,681.27",+,66.71,1.19,
臺灣全市場半導體指數,"5,413.01",+,59.11,1.10,
臺灣智慧移動與電動車指數,"4,424.91",+,46.88,1.07,
特選小資高價30指數,"5,280.68",+,47.04,0.90,
特選臺灣綠能及電動車指數,"5,127.32",+,72.22,1.43,
特選臺灣智能車供應鏈聯盟指數,"4,782.24",+,64.00,1.36,
臺灣全市場半導體精選30指數,"4,323.12",+,49.97,1.17,
特選臺灣高股息30指數,"4,275.38",+,61.13,1.45,
臺灣友善環境指數,"5,093.78",+,68.90,1.37,
台灣永續價值指數,"4,721.73",+,59.03,1.27,
特選臺灣IC設計指數,"3,491.66",-,8.06,-0.23,
特選臺灣環境永續高股息指數,"4,856.82",+,71.47,1.49,
臺灣友善環境50指數,"4,264.94",+,47.32,1.12,
特選臺灣IC設計產業代表指數,"4,327.19",-,7.83,-0.18,
