指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
寶島股價指數,"18,872.06",-,480.93,-2.49,
發行量加權股價指數,"16,620.90",-,404.19,-2.37,
臺灣公司治理100指數,"9,676.91",-,206.19,-2.09,
臺灣50指數,"12,890.96",-,267.03,-2.03,
臺灣50權重上限30%指數,"12,267.18",-,256.44,-2.05,
臺灣中型100指數,"13,906.32",-,448.95,-3.13,
臺灣資訊科技指數,"21,509.48",-,525.11,-2.38,
臺灣發達指數,"11,082.79",-,261.69,-2.31,
臺灣高股息指數,"7,458.51",-,195.00,-2.55,
臺灣就業99指數,"10,188.13",-,214.29,-2.06,
臺灣高薪100指數,"9,555.70",-,173.91,-1.79,
未含金融指數,"14,167.89",-,366.19,-2.52,
未含電子指數,"19,992.00",-,467.52,-2.29,
未含金融電子指數,"16,413.45",-,455.17,-2.70,
小型股300指數,"8,841.42",-,302.12,-3.30,
水泥窯製類指數,701.76,-,10.37,-1.46,
塑膠化工類指數,936.98,-,19.99,-2.09,
機電類指數,"4,230.84",-,106.52,-2.46,
水泥類指數,183.12,-,2.16,-1.17,
食品類指數,"1,897.59",-,18.22,-0.95,
塑膠類指數,284.23,-,4.30,-1.49,
紡織纖維類指數,575.69,-,18.33,-3.09,
電機機械類指數,219.88,-,5.82,-2.58,
電器電纜類指數,107.88,-,5.22,-4.62,
化學生技醫療類指數,122.23,-,4.46,-3.52,
化學類指數,149.31,-,4.40,-2.86,
生技醫療類指數,67.56,-,3.11,-4.40,
玻璃陶瓷類指數,59.05,-,1.95,-3.20,
造紙類指數,367.74,-,11.25,-2.97,
鋼鐵類指數,176.13,-,6.20,-3.40,
橡膠類指數,256.66,-,6.98,-2.65,
汽車類指數,308.95,-,8.67,-2.73,
電子工業類指數,757.73,-,18.91,-2.43,
半導體類指數,371.72,-,8.85,-2.33,
電腦及週邊設備類指數,134.93,-,2.58,-1.88,
光電類指數,34.56,-,1.22,-3.41,
通信網路類指數,139.39,-,1.24,-0.88,
電子零組件類指數,166.72,-,7.14,-4.11,
電子通路類指數,199.95,-,4.64,-2.27,
資訊服務類指數,129.26,-,2.64,-2.00,
其他電子類指數,93.95,-,2.72,-2.81,
建材營造類指數,368.21,-,9.10,-2.41,
航運類指數,267.24,-,12.32,-4.41,
觀光類指數,93.83,-,1.75,-1.83,
金融保險類指數,"1,826.60",-,25.37,-1.37,
貿易百貨類指數,306.69,-,6.10,-1.95,
油電燃氣類指數,117.81,-,2.34,-1.95,
其他類指數,377.92,-,10.07,-2.60,
臺指日報酬兩倍指數,"35,584.55",-,"1,773.84",-4.75,
臺指反向一倍指數,"4,240.08",+,98.33,2.37,
電子類兩倍槓桿指數,"32,944.90",-,"1,686.44",-4.87,
電子類反向指數,"3,954.57",+,94.00,2.43,
價格指數(跨市場),,,,,
