指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
寶島股價指數,"25,210.83",+,115.19,0.46,
發行量加權股價指數,"22,159.42",+,116.73,0.53,
臺灣公司治理100指數,"12,985.10",+,113.11,0.88,
臺灣50指數,"18,098.18",+,157.83,0.88,
臺灣50權重上限30%指數,"15,677.01",+,96.43,0.62,
臺灣中型100指數,"19,541.78",+,17.01,0.09,
臺灣資訊科技指數,"35,763.09",+,333.57,0.94,
臺灣發達指數,"10,166.40",+,36.93,0.36,
臺灣高股息指數,"9,375.94",+,14.56,0.16,
臺灣就業99指數,"13,218.96",+,58.83,0.45,
臺灣高薪100指數,"11,540.96",+,53.04,0.46,
未含金融指數,"19,306.97",+,104.28,0.54,
未含電子指數,"20,077.58",-,7.23,-0.04,
未含金融電子指數,"15,544.50",-,42.64,-0.27,
小型股300指數,"11,646.70",-,41.38,-0.35,
水泥窯製類指數,602.26,+,0.21,0.03,
塑膠化工類指數,708.26,+,2.29,0.32,
機電類指數,"6,619.13",+,49.67,0.76,
水泥類指數,159.08,+,0.06,0.04,
食品類指數,"2,348.79",+,9.19,0.39,
塑膠類指數,146.80,+,0.03,0.02,
紡織纖維類指數,660.21,+,3.34,0.51,
電機機械類指數,400.52,-,1.71,-0.43,
電器電纜類指數,107.99,-,0.01,-0.01,
化學生技醫療類指數,145.48,+,1.17,0.81,
化學類指數,177.76,+,1.96,1.11,
生技醫療類指數,80.14,+,0.47,0.59,
玻璃陶瓷類指數,46.37,-,0.01,-0.02,
造紙類指數,321.45,-,0.14,-0.04,
鋼鐵類指數,133.37,+,0.56,0.42,
橡膠類指數,284.09,-,1.32,-0.46,
汽車類指數,400.16,+,2.29,0.58,
電子工業類指數,"1,185.14",+,9.30,0.79,
半導體類指數,598.13,+,6.82,1.15,
電腦及週邊設備類指數,252.65,+,0.24,0.10,
光電類指數,41.07,-,0.09,-0.22,
通信網路類指數,161.38,+,0.90,0.56,
電子零組件類指數,229.05,-,1.16,-0.50,
電子通路類指數,257.25,+,0.62,0.24,
資訊服務類指數,196.56,-,0.73,-0.37,
其他電子類指數,163.39,+,0.99,0.61,
建材營造類指數,589.73,-,39.38,-6.26,
航運類指數,182.29,+,0.11,0.06,
觀光餐旅類指數,120.01,-,0.24,-0.20,
金融保險類指數,"2,070.15",+,8.63,0.42,
貿易百貨類指數,315.86,-,0.73,-0.23,
油電燃氣類指數,73.04,+,0.13,0.18,
綠能環保類指數,124.12,+,1.20,0.98,
數位雲端類指數,67.29,+,0.33,0.49,
運動休閒類指數,103.76,+,2.08,2.05,
居家生活類指數,142.88,-,0.79,-0.55,
其他類指數,365.56,-,1.35,-0.37,
臺指日報酬兩倍指數,"58,394.27",+,611.99,1.06,
臺指反向一倍指數,"2,933.04",-,15.62,-0.53,
電子類兩倍槓桿指數,"71,118.40",+,"1,107.47",1.58,
電子類反向指數,"2,232.64",-,17.80,-0.79,
價格指數(跨市場),,,,,
指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
臺灣生技指數,"4,368.36",+,13.29,0.31,
臺灣中小型公司治理指數,"10,393.79",+,112.47,1.09,
臺灣IPO指數,"5,620.62",-,0.81,-0.01,
智慧中立指數,"3,922.96",+,2.11,0.05,
臺灣5G指數,"10,912.55",+,46.42,0.43,
臺灣企業社會責任中小型指數,"11,805.93",+,16.40,0.14,
特選臺灣電動車代表指數,"9,950.21",+,14.25,0.14,
臺灣5G+通訊指數,"9,485.34",+,39.31,0.42,
臺灣全市場指數,"7,688.19",+,33.85,0.44,
臺灣全市場半導體指數,"7,419.61",+,31.18,0.42,
臺灣智慧移動與電動車指數,"5,556.27",-,0.68,-0.01,
特選小資高價30指數,"7,607.41",+,31.43,0.41,
特選臺灣綠能及電動車指數,"5,966.75",+,21.69,0.36,
特選臺灣智能車供應鏈聯盟指數,"6,876.04",+,39.58,0.58,
臺灣全市場半導體精選30指數,"5,793.77",+,17.64,0.31,
特選臺灣高股息30指數,"5,249.67",-,0.66,-0.01,
臺灣友善環境指數,"6,734.80",+,45.77,0.68,
台灣永續價值指數,"6,225.24",+,55.66,0.90,
特選臺灣IC設計指數,"3,961.11",-,33.22,-0.83,
特選臺灣環境永續高股息指數,"6,897.56",-,19.67,-0.28,
臺灣友善環境50指數,"5,579.42",+,36.90,0.67,
特選臺灣IC設計產業代表指數,"5,216.64",-,40.02,-0.76,
特選臺灣綠能指數,"5,657.61",+,8.35,0.15,
特選臺灣智慧50指數,"5,163.81",+,28.22,0.55,
臺灣晶圓製造指數,"6,079.69",+,10.76,0.18,
臺灣精選高息指數,"5,251.96",-,14.90,-0.28,
臺灣多因子優選高股息30指數,"8,722.12",-,42.50,-0.48,
特選臺灣優利高填息30指數,"7,252.20",+,12.19,0.17,
特選臺灣科技優息指數,"8,761.80",+,17.23,0.20,
臺灣半導體收益指數,"6,648.60",+,15.32,0.23,
臺灣優選成長高股息指數,"7,652.12",-,3.23,-0.04,
特選臺灣ESG低碳高息40指數,"8,163.61",+,37.04,0.46,
臺灣優選多因子30指數,"8,418.37",+,26.69,0.32,
臺灣創新科技50指數,"7,182.09",+,23.48,0.33,
臺灣全市場新經濟產業指數,"5,216.86",+,49.20,0.95,
臺灣ESG永續高股息等權重指數,"6,206.13",-,8.52,-0.14,
臺灣永續高息中小型指數,"5,816.53",-,6.09,-0.10,
特選臺灣高息優質成長指數,"6,015.23",-,32.87,-0.54,
特選臺灣高息動能指數,"6,550.77",+,27.11,0.42,
臺灣電子成長高息等權重指數,"5,671.20",+,18.62,0.33,
特選臺灣優利成長指數,"5,197.55",+,3.11,0.06,
臺灣價值高息指數,"5,518.35",+,12.72,0.23,
特選臺灣IC設計動能指數,"4,601.72",-,22.32,-0.48,
臺灣科技高股息指數,"5,477.13",-,8.18,-0.15,
臺灣趨勢動能高股息指數,"5,758.17",-,4.39,-0.08,
特選臺灣科技高息成長指數,"5,274.21",-,3.90,-0.07,
特選臺灣AI優息動能指數,"4,754.10",+,26.37,0.56,
臺灣優選AI 50指數,"4,893.69",+,4.33,0.09,
價格指數(臺灣指數公司),,,,,
指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
金融類日報酬兩倍指數,"45,773.71",+,380.06,0.84,
金融類日報酬反向一倍指數,"3,566.98",-,14.99,-0.42,
漲升股利150指數,"9,962.31",+,42.96,0.43,
藍籌30指數,"10,397.07",+,68.51,0.66,
工業菁英30指數,"11,045.71",+,46.07,0.42,
低波動股利精選30指數,"8,373.98",+,47.26,0.57,
中小型A級動能50指數,"24,071.15",-,22.71,-0.09,
特選高息低波指數,"10,443.51",+,14.13,0.14,
臺灣永續指數,"11,496.99",+,72.51,0.63,
價值投資指數,"8,232.44",-,43.54,-0.53,
存股雙十等權重指數,"9,325.62",+,31.19,0.34,
特選大蘋果指數,"10,932.58",+,1.87,0.02,
中小型300指數,"11,772.79",-,20.75,-0.18,
臺灣500指數,"11,185.29",+,45.09,0.40,
臺灣勞工權益指數,"9,409.81",+,18.48,0.20,
微波高息精選20指數,"8,570.84",+,11.18,0.13,
特選世代行動通訊指數,"8,379.41",+,39.99,0.48,
智慧投資多因子30指數,"7,958.53",+,28.33,0.36,
臺股期貨指數,"12,146.55",+,79.81,0.66,
特選價值成長指數,"9,711.42",-,48.75,-0.50,
臺灣上櫃永續指數,"8,022.43",-,5.96,-0.07,
特選台股領航指數,"10,720.46",+,43.93,0.41,
特選Smart多因子指數,"8,864.89",+,36.59,0.41,
特選ESG高股息指數,"6,656.50",+,20.81,0.31,
特選上櫃ESG成長指數,"5,652.13",-,3.51,-0.06,
特選上櫃ESG電子菁英指數,"5,719.84",-,10.97,-0.19,
臺灣優息存股指數,"5,256.35",+,33.49,0.64,
特選上櫃ESG永續高股息指數,"7,765.60",-,57.95,-0.74,
特選臺灣金融高股息存股指數,"6,606.65",+,41.84,0.64,
特選臺灣產業龍頭存股等權重指數,"6,976.54",-,16.33,-0.23,
上櫃ESG 30指數,"6,878.63",+,18.76,0.27,
臺灣ESG低碳50指數,"7,505.70",+,53.42,0.72,
臺灣創新板指數,"6,761.12",+,29.30,0.44,
特選上櫃ESG龍頭指數,"6,446.32",-,10.60,-0.16,
報酬指數(臺灣證券交易所),,,,,
報酬指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
寶島股價報酬指數,"37,413.48",+,170.94,0.46,
發行量加權股價報酬指數,"48,884.73",+,257.50,0.53,
臺灣公司治理100報酬指數,"18,957.46",+,165.13,0.88,
臺灣50報酬指數,"40,160.20",+,350.22,0.88,
