指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
寶島股價指數,"21,537.72",-,349.31,-1.60,
發行量加權股價指數,"19,106.20",-,288.83,-1.49,
臺灣公司治理100指數,"11,394.42",-,150.09,-1.30,
臺灣50指數,"15,895.16",-,217.20,-1.35,
臺灣50權重上限30%指數,"13,970.43",-,156.52,-1.11,
臺灣中型100指數,"16,347.50",-,268.60,-1.62,
臺灣資訊科技指數,"31,026.13",-,479.67,-1.52,
臺灣發達指數,"8,628.00",-,150.64,-1.72,
臺灣高股息指數,"8,441.72",-,90.38,-1.06,
臺灣就業99指數,"11,620.42",-,132.27,-1.13,
臺灣高薪100指數,"10,606.86",-,131.83,-1.23,
未含金融指數,"16,469.97",-,280.22,-1.67,
未含電子指數,"17,290.03",-,219.42,-1.25,
未含金融電子指數,"12,765.23",-,250.73,-1.93,
小型股300指數,"9,435.66",-,229.33,-2.37,
水泥窯製類指數,551.66,-,3.25,-0.59,
塑膠化工類指數,543.13,-,9.79,-1.77,
機電類指數,"5,687.38",-,93.99,-1.63,
水泥類指數,146.65,-,0.47,-0.32,
食品類指數,"1,984.60",-,9.30,-0.47,
塑膠類指數,101.22,-,2.28,-2.20,
紡織纖維類指數,502.40,-,11.04,-2.15,
電機機械類指數,309.82,-,8.44,-2.65,
電器電纜類指數,74.13,-,1.84,-2.42,
化學生技醫療類指數,115.97,-,2.90,-2.44,
化學類指數,143.81,-,3.29,-2.24,
生技醫療類指數,63.29,-,1.66,-2.56,
玻璃陶瓷類指數,40.49,-,1.07,-2.57,
造紙類指數,241.85,-,4.88,-1.98,
鋼鐵類指數,117.57,-,3.90,-3.21,
橡膠類指數,256.66,+,5.04,2.00,
汽車類指數,340.08,-,3.05,-0.89,
電子工業類指數,"1,022.07",-,16.60,-1.60,
半導體類指數,521.70,-,9.15,-1.72,
電腦及週邊設備類指數,222.62,-,3.05,-1.35,
光電類指數,32.86,-,0.60,-1.79,
通信網路類指數,153.39,-,1.54,-0.99,
電子零組件類指數,179.99,-,4.65,-2.52,
電子通路類指數,218.03,-,2.43,-1.10,
資訊服務類指數,200.74,-,4.87,-2.37,
其他電子類指數,130.12,-,0.26,-0.20,
建材營造類指數,491.93,-,8.87,-1.77,
航運類指數,184.63,-,4.85,-2.56,
觀光餐旅類指數,108.57,-,1.80,-1.63,
金融保險類指數,"1,941.93",-,1.65,-0.08,
貿易百貨類指數,257.12,-,2.55,-0.98,
油電燃氣類指數,52.87,-,0.81,-1.51,
綠能環保類指數,92.75,-,1.66,-1.76,
數位雲端類指數,54.05,-,1.75,-3.14,
運動休閒類指數,78.58,-,1.75,-2.18,
居家生活類指數,102.29,-,2.25,-2.15,
其他類指數,279.63,-,6.71,-2.34,
臺指日報酬兩倍指數,"41,579.17",-,"1,276.41",-2.98,
臺指反向一倍指數,"3,262.99",+,47.88,1.49,
電子類兩倍槓桿指數,"50,104.62",-,"1,654.42",-3.20,
電子類反向指數,"2,456.09",+,38.64,1.60,
價格指數(跨市場),,,,,
指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
臺灣生技指數,"3,214.59",-,93.70,-2.83,
臺灣中小型公司治理指數,"8,213.15",-,197.86,-2.35,
臺灣IPO指數,"4,644.84",-,157.77,-3.29,
智慧中立指數,"3,798.46",-,24.20,-0.63,
臺灣5G指數,"9,843.77",-,162.46,-1.62,
臺灣企業社會責任中小型指數,"9,840.95",-,209.17,-2.08,
特選臺灣電動車代表指數,"8,268.37",-,94.33,-1.13,
臺灣科技龍頭通訊指數,"8,481.54",-,105.65,-1.23,
臺灣全市場指數,"6,612.39",-,106.68,-1.59,
臺灣全市場半導體指數,"6,556.84",-,125.02,-1.87,
臺灣智慧移動與電動車指數,"4,859.04",-,75.30,-1.53,
特選小資高價30指數,"6,451.68",-,129.24,-1.96,
特選臺灣綠能及電動車指數,"5,087.73",-,78.18,-1.51,
特選臺灣智能車供應鏈聯盟指數,"6,024.18",-,81.60,-1.34,
臺灣全市場半導體精選30指數,"5,155.27",-,89.84,-1.71,
特選臺灣高股息30指數,"4,455.43",-,68.69,-1.52,
臺灣友善環境指數,"5,945.71",-,77.74,-1.29,
台灣永續價值指數,"5,415.46",-,51.37,-0.94,
特選臺灣IC設計指數,"3,809.73",-,76.42,-1.97,
特選臺灣環境永續高股息指數,"6,161.61",-,139.51,-2.21,
臺灣友善環境50指數,"4,970.58",-,58.77,-1.17,
特選臺灣IC設計產業代表指數,"4,984.64",-,76.21,-1.51,
特選臺灣綠能指數,"4,228.47",-,107.50,-2.48,
特選臺灣智慧50指數,"4,619.60",-,68.90,-1.47,
臺灣晶圓製造指數,"5,159.32",-,101.06,-1.92,
臺灣精選高息指數,"5,022.73",-,85.26,-1.67,
臺灣多因子優選高股息30指數,"7,627.99",-,106.71,-1.38,
特選臺灣優利高填息30指數,"6,643.26",-,84.27,-1.25,
特選臺灣科技優息指數,"7,895.92",-,64.17,-0.81,
臺灣半導體收益指數,"5,818.74",-,104.20,-1.76,
臺灣優選成長高股息指數,"6,555.72",-,118.71,-1.78,
特選臺灣ESG低碳高息40指數,"7,332.65",-,69.75,-0.94,
臺灣優選多因子30指數,"7,759.00",-,64.62,-0.83,
臺灣創新科技50指數,"6,332.92",-,117.84,-1.83,
臺灣全市場新經濟產業指數,"4,031.62",-,95.70,-2.32,
臺灣ESG永續高股息等權重指數,"5,258.98",-,110.67,-2.06,
臺灣永續高息中小型指數,"4,857.35",-,62.17,-1.26,
特選臺灣高息優質成長指數,"5,322.23",-,77.21,-1.43,
特選臺灣高息動能指數,"6,056.01",-,59.00,-0.96,
臺灣電子成長高息等權重指數,"5,043.19",-,92.86,-1.81,
特選臺灣優利成長指數,"4,359.68",-,85.75,-1.93,
臺灣價值高息指數,"4,915.04",-,73.32,-1.47,
特選臺灣IC設計動能指數,"3,996.40",-,86.60,-2.12,
臺灣科技高股息指數,"4,577.05",-,58.19,-1.26,
臺灣趨勢動能高股息指數,"5,206.93",-,66.38,-1.26,
特選臺灣科技高息成長指數,"4,727.52",-,70.61,-1.47,
特選臺灣AI優息動能指數,"4,063.73",-,80.32,-1.94,
臺灣優選AI 50指數,"3,985.99",-,91.32,-2.24,
臺灣AI供應鏈聯盟指數,"4,466.34",-,90.07,-1.98,
台灣旗艦動能50指數,"4,662.05",-,62.28,-1.32,
價格指數(臺灣指數公司),,,,,
指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
金融類日報酬兩倍指數,"39,150.01",-,66.59,-0.17,
金融類日報酬反向一倍指數,"3,701.98",+,3.14,0.08,
漲升股利150指數,"8,594.01",-,142.45,-1.63,
藍籌30指數,"9,484.59",-,151.25,-1.57,
工業菁英30指數,"9,427.02",-,170.39,-1.78,
低波動股利精選30指數,"8,148.26",-,41.65,-0.51,
中小型A級動能50指數,"17,216.54",-,418.13,-2.37,
特選高息低波指數,"9,512.83",-,56.45,-0.59,
臺灣永續指數,"10,200.47",-,116.34,-1.13,
價值投資指數,"6,768.58",-,134.19,-1.94,
存股雙十等權重指數,"8,620.52",-,140.11,-1.60,
特選大蘋果指數,"9,141.54",-,106.80,-1.15,
中小型300指數,"9,634.77",-,193.18,-1.97,
臺灣500指數,"9,690.06",-,138.01,-1.40,
臺灣勞工權益指數,"8,790.88",-,83.80,-0.94,
微波高息精選20指數,"8,370.73",-,35.75,-0.43,
