指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
寶島股價指數,"17,899.94",+,107.53,0.60,
發行量加權股價指數,"15,598.49",+,94.70,0.61,
臺灣公司治理100指數,"8,902.27",+,78.77,0.89,
臺灣50指數,"11,960.60",+,156.23,1.32,
臺灣50權重上限30%指數,"11,288.52",+,118.78,1.06,
臺灣中型100指數,"13,801.57",-,55.92,-0.40,
臺灣資訊科技指數,"20,848.70",+,410.35,2.01,
臺灣發達指數,"9,952.39",-,124.68,-1.24,
臺灣高股息指數,"6,475.31",+,11.78,0.18,
臺灣就業99指數,"9,556.71",-,11.62,-0.12,
臺灣高薪100指數,"8,490.51",+,13.17,0.16,
未含金融指數,"13,470.64",+,103.70,0.78,
未含電子指數,"17,903.62",-,148.94,-0.83,
未含金融電子指數,"15,004.11",-,139.07,-0.92,
小型股300指數,"8,825.32",-,19.83,-0.22,
水泥窯製類指數,657.63,-,17.76,-2.63,
塑膠化工類指數,849.89,-,7.61,-0.89,
機電類指數,"4,119.42",+,58.84,1.45,
水泥類指數,169.65,-,4.56,-2.62,
食品類指數,"1,874.73",-,3.91,-0.21,
塑膠類指數,245.64,-,2.52,-1.02,
紡織纖維類指數,584.75,-,2.13,-0.36,
電機機械類指數,262.80,+,2.18,0.84,
電器電纜類指數,114.34,-,8.82,-7.16,
化學生技醫療類指數,124.02,-,0.87,-0.70,
化學類指數,135.98,-,1.48,-1.08,
生技醫療類指數,77.01,-,0.28,-0.36,
玻璃陶瓷類指數,59.36,-,1.65,-2.70,
造紙類指數,314.99,-,2.71,-0.85,
鋼鐵類指數,145.64,-,3.49,-2.34,
橡膠類指數,238.87,-,1.55,-0.64,
汽車類指數,347.95,-,1.81,-0.52,
電子工業類指數,733.63,+,11.23,1.55,
半導體類指數,355.44,+,8.27,2.38,
電腦及週邊設備類指數,134.32,-,0.36,-0.27,
光電類指數,35.33,-,0.28,-0.79,
通信網路類指數,130.15,-,0.29,-0.22,
電子零組件類指數,163.42,+,0.76,0.47,
電子通路類指數,178.86,-,0.24,-0.13,
資訊服務類指數,138.79,+,2.05,1.50,
其他電子類指數,98.72,+,1.10,1.13,
建材營造類指數,363.67,-,1.46,-0.40,
航運類指數,166.17,-,1.92,-1.14,
觀光類指數,144.70,-,1.14,-0.78,
金融保險類指數,"1,562.05",-,9.56,-0.61,
貿易百貨類指數,297.35,-,0.95,-0.32,
油電燃氣類指數,110.23,-,1.79,-1.60,
其他類指數,371.53,+,0.20,0.05,
臺指日報酬兩倍指數,"30,300.37",+,365.69,1.22,
臺指反向一倍指數,"4,368.70",-,26.85,-0.61,
電子類兩倍槓桿指數,"29,332.66",+,884.48,3.11,
電子類反向指數,"3,879.12",-,61.25,-1.55,
價格指數(跨市場),,,,,
指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
臺灣生技指數,"4,529.71",-,6.33,-0.14,
臺灣中小型公司治理指數,"7,517.01",+,45.10,0.60,
臺灣IPO指數,"5,255.97",+,17.76,0.34,
智慧中立指數,"3,445.49",+,13.66,0.40,
臺灣5G指數,"7,912.40",+,176.82,2.29,
臺灣企業社會責任中小型指數,"8,553.45",-,0.65,-0.01,
特選臺灣電動車代表指數,"5,888.99",-,15.19,-0.26,
臺灣5G+通訊指數,"5,914.71",+,119.07,2.05,
臺灣全市場指數,"5,317.64",+,42.47,0.81,
臺灣全市場半導體指數,"5,239.90",+,136.63,2.68,
臺灣智慧移動與電動車指數,"4,079.92",+,69.55,1.73,
特選小資高價30指數,"4,980.51",+,114.74,2.36,
特選臺灣綠能及電動車指數,"4,659.27",+,18.74,0.40,
特選臺灣智能車供應鏈聯盟指數,"4,433.98",+,67.02,1.53,
臺灣全市場半導體精選30指數,"4,165.27",+,114.92,2.84,
特選臺灣高股息30指數,"4,061.16",+,18.67,0.46,
