指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
寶島股價指數,"16,616.04",+,12.54,0.08,
發行量加權股價指數,"14,535.23",-,2.12,-0.01,
臺灣公司治理100指數,"8,360.17",-,29.86,-0.36,
臺灣50指數,"11,223.93",-,28.25,-0.25,
臺灣50權重上限30%指數,"10,626.06",-,21.34,-0.20,
臺灣中型100指數,"12,706.89",+,1.09,0.01,
臺灣資訊科技指數,"19,378.51",-,32.86,-0.17,
臺灣發達指數,"9,442.71",-,14.17,-0.15,
臺灣高股息指數,"5,982.87",+,14.73,0.25,
臺灣就業99指數,"8,905.10",-,15.98,-0.18,
臺灣高薪100指數,"7,975.68",-,3.47,-0.04,
未含金融指數,"12,519.14",+,4.26,0.03,
未含電子指數,"16,711.40",-,13.93,-0.08,
未含金融電子指數,"13,895.62",+,6.12,0.04,
小型股300指數,"7,969.98",+,71.26,0.90,
水泥窯製類指數,608.90,+,14.66,2.47,
塑膠化工類指數,804.05,+,4.02,0.50,
機電類指數,"3,820.46",-,0.93,-0.02,
水泥類指數,155.45,+,4.77,3.17,
食品類指數,"1,762.84",-,1.20,-0.07,
塑膠類指數,240.65,+,0.67,0.28,
紡織纖維類指數,563.11,-,2.48,-0.44,
電機機械類指數,214.91,-,0.84,-0.39,
電器電纜類指數,101.05,-,5.14,-4.84,
化學生技醫療類指數,107.27,+,1.11,1.05,
化學類指數,125.62,+,0.40,0.32,
生技醫療類指數,62.49,+,1.11,1.81,
玻璃陶瓷類指數,58.38,-,0.71,-1.20,
造紙類指數,306.94,-,1.23,-0.40,
鋼鐵類指數,134.09,-,0.84,-0.62,
橡膠類指數,231.04,+,1.25,0.54,
汽車類指數,321.94,+,1.83,0.57,
電子工業類指數,682.86,+,0.20,0.03,
半導體類指數,326.22,-,0.79,-0.24,
電腦及週邊設備類指數,122.00,+,0.40,0.33,
光電類指數,34.48,+,0.92,2.74,
通信網路類指數,121.90,-,0.34,-0.28,
電子零組件類指數,161.40,+,0.93,0.58,
電子通路類指數,165.84,+,0.74,0.45,
資訊服務類指數,118.81,+,1.01,0.86,
其他電子類指數,95.68,-,0.03,-0.03,
建材營造類指數,341.77,+,2.32,0.68,
航運類指數,156.29,-,0.32,-0.20,
觀光類指數,103.22,+,2.11,2.09,
金融保險類指數,"1,484.46",-,5.56,-0.37,
貿易百貨類指數,266.13,-,1.45,-0.54,
油電燃氣類指數,109.39,+,0.55,0.51,
其他類指數,340.49,-,1.29,-0.38,
臺指日報酬兩倍指數,"26,479.93",-,7.73,-0.03,
臺指反向一倍指數,"4,719.02",+,0.69,0.01,
電子類兩倍槓桿指數,"25,694.18",+,15.05,0.06,
電子類反向指數,"4,214.81",-,1.24,-0.03,
價格指數(跨市場),,,,,
指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
臺灣生技指數,"4,105.83",+,37.67,0.93,
臺灣中小型公司治理指數,"6,700.64",+,9.00,0.13,
臺灣IPO指數,"4,634.85",+,48.32,1.05,
智慧中立指數,"3,458.75",-,18.75,-0.54,
臺灣5G指數,"7,388.11",+,1.68,0.02,
臺灣企業社會責任中小型指數,"7,830.27",+,32.07,0.41,
特選臺灣電動車代表指數,"5,701.08",-,2.38,-0.04,
臺灣5G+通訊指數,"5,567.08",+,7.19,0.13,
臺灣全市場指數,"4,939.66",+,0.90,0.02,
臺灣全市場半導體指數,"4,705.85",+,3.50,0.07,
臺灣電動車與自駕科技永續概念指數,"4,099.29",-,2.61,-0.06,
臺灣智慧移動與電動車指數,"3,868.83",+,36.94,0.96,
特選小資高價30指數,"4,422.21",+,15.65,0.36,
特選臺灣綠能及電動車指數,"4,279.69",+,2.66,0.06,
特選臺灣智能車供應鏈聯盟指數,"4,161.38",+,5.61,0.13,
臺灣全市場半導體精選30指數,"3,743.67",+,0.44,0.01,
特選臺灣高股息30指數,"3,756.68",+,13.06,0.35,
