指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
寶島股價指數,"24,860.54",-,351.85,-1.40,
發行量加權股價指數,"21,961.68",-,316.68,-1.42,
臺灣公司治理100指數,"12,926.52",-,202.55,-1.54,
臺灣50指數,"18,113.13",-,306.76,-1.67,
臺灣中型100指數,"19,082.91",-,201.89,-1.05,
臺灣資訊科技指數,"35,728.47",-,710.67,-1.95,
臺灣發達指數,"9,869.48",-,74.93,-0.75,
臺灣高股息指數,"9,366.50",-,76.78,-0.81,
臺灣就業99指數,"13,171.62",-,149.72,-1.12,
臺灣高薪100指數,"11,846.90",-,114.81,-0.96,
未含金融指數,"19,044.40",-,303.33,-1.57,
未含電子指數,"19,471.20",-,180.22,-0.92,
未含金融電子指數,"14,587.50",-,190.81,-1.29,
小型股300指數,"11,274.16",-,122.45,-1.07,
水泥窯製類指數,608.99,-,9.13,-1.48,
塑膠化工類指數,619.01,-,11.12,-1.76,
機電類指數,"6,613.62",-,109.79,-1.63,
水泥類指數,159.98,-,2.99,-1.83,
食品類指數,"2,147.23",-,15.12,-0.70,
塑膠類指數,111.31,-,4.06,-3.52,
紡織纖維類指數,604.93,-,11.87,-1.92,
電機機械類指數,389.50,-,4.11,-1.04,
電器電纜類指數,93.10,-,1.55,-1.64,
化學生技醫療類指數,138.13,-,1.16,-0.83,
化學類指數,170.26,-,2.88,-1.66,
生技醫療類指數,75.65,-,0.26,-0.34,
玻璃陶瓷類指數,48.77,+,0.54,1.12,
造紙類指數,281.59,-,3.15,-1.11,
鋼鐵類指數,141.95,-,1.96,-1.36,
橡膠類指數,269.47,-,2.50,-0.92,
汽車類指數,372.76,+,0.21,0.06,
電子工業類指數,"1,185.89",-,19.86,-1.65,
半導體類指數,599.57,-,13.10,-2.14,
電腦及週邊設備類指數,260.53,-,1.18,-0.45,
光電類指數,39.26,-,1.21,-2.99,
通信網路類指數,167.51,+,0.46,0.28,
電子零組件類指數,227.61,-,1.21,-0.53,
電子通路類指數,238.59,+,2.32,0.98,
資訊服務類指數,230.10,-,1.09,-0.47,
其他電子類指數,155.67,-,2.15,-1.36,
建材營造類指數,556.03,-,0.51,-0.09,
航運類指數,203.72,-,1.65,-0.80,
觀光餐旅類指數,119.69,-,2.48,-2.03,
金融保險類指數,"2,131.97",-,5.26,-0.25,
貿易百貨類指數,275.24,-,4.36,-1.56,
油電燃氣類指數,55.67,-,1.51,-2.64,
其他類指數,321.10,-,6.01,-1.84,
臺指日報酬兩倍指數,"56,606.72",-,"1,656.38",-2.84,
臺指反向一倍指數,"2,920.93",+,40.94,1.42,
電子類兩倍槓桿指數,"69,728.63",-,"2,375.26",-3.29,
電子類反向指數,"2,185.23",+,35.41,1.65,
價格指數(跨市場),,,,,
指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
臺灣生技指數,"3,819.73",-,27.06,-0.70,
臺灣中小型公司治理指數,"9,881.79",-,140.68,-1.40,
臺灣IPO指數,"5,960.29",-,46.64,-0.78,
智慧中立指數,"3,856.11",+,5.90,0.15,
臺灣5G指數,"11,079.40",-,132.76,-1.18,
臺灣企業社會責任中小型指數,"11,673.07",-,196.65,-1.66,
特選臺灣電動車代表指數,"9,625.13",-,95.66,-0.98,
臺灣科技龍頭通訊指數,"9,658.20",-,140.97,-1.44,
臺灣全市場指數,"7,632.71",-,103.74,-1.34,
臺灣全市場半導體指數,"7,526.91",-,123.69,-1.62,
臺灣智慧移動與電動車指數,"5,517.76",-,73.13,-1.31,
特選小資高價30指數,"7,583.02",-,85.34,-1.11,
