指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
寶島股價指數,"21,392.53",+,"1,809.24",9.24,
發行量加權股價指數,"19,000.03",+,"1,608.27",9.25,
臺灣公司治理100指數,"11,435.35",+,965.44,9.22,
臺灣50指數,"15,981.58",+,"1,376.07",9.42,
臺灣50權重上限30%指數,"13,821.68",+,"1,154.72",9.12,
臺灣中型100指數,"15,739.47",+,"1,347.25",9.36,
臺灣資訊科技指數,"31,041.67",+,"2,798.27",9.91,
臺灣發達指數,"8,533.68",+,623.56,7.88,
臺灣高股息指數,"8,103.74",+,681.42,9.18,
臺灣就業99指數,"11,480.66",+,925.77,8.77,
臺灣高薪100指數,"10,366.69",+,864.45,9.10,
未含金融指數,"16,352.22",+,"1,400.59",9.37,
未含電子指數,"17,172.91",+,"1,361.02",8.61,
未含金融電子指數,"12,579.86",+,"1,012.64",8.75,
小型股300指數,"9,284.04",+,785.16,9.24,
水泥窯製類指數,570.11,+,36.17,6.77,
塑膠化工類指數,534.50,+,44.57,9.10,
機電類指數,"5,655.87",+,493.04,9.55,
水泥類指數,152.84,+,9.27,6.46,
食品類指數,"2,049.88",+,110.83,5.72,
塑膠類指數,100.69,+,8.96,9.77,
紡織纖維類指數,503.72,+,36.28,7.76,
電機機械類指數,300.28,+,26.57,9.71,
電器電纜類指數,74.17,+,6.41,9.46,
化學生技醫療類指數,113.92,+,9.39,8.98,
化學類指數,141.26,+,11.89,9.19,
生技醫療類指數,62.17,+,5.06,8.86,
玻璃陶瓷類指數,39.12,+,3.40,9.52,
造紙類指數,243.71,+,21.43,9.64,
鋼鐵類指數,122.86,+,10.78,9.62,
橡膠類指數,247.38,+,17.91,7.80,
汽車類指數,328.68,+,26.99,8.95,
電子工業類指數,"1,016.97",+,88.63,9.55,
半導體類指數,531.98,+,47.98,9.91,
電腦及週邊設備類指數,204.13,+,18.38,9.90,
光電類指數,31.13,+,2.77,9.77,
通信網路類指數,153.98,+,6.40,4.34,
電子零組件類指數,173.77,+,15.47,9.77,
電子通路類指數,202.71,+,17.90,9.69,
