指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
寶島股價指數,"25,348.20",-,607.95,-2.34,
發行量加權股價指數,"22,488.33",-,523.53,-2.28,
臺灣公司治理100指數,"13,588.05",-,309.86,-2.23,
臺灣50指數,"19,175.87",-,470.25,-2.39,
臺灣50權重上限30%指數,"16,170.60",-,410.45,-2.48,
臺灣中型100指數,"18,594.97",-,458.60,-2.41,
臺灣資訊科技指數,"38,434.07",-,"1,097.30",-2.78,
臺灣發達指數,"9,523.74",-,162.08,-1.67,
臺灣高股息指數,"9,035.82",-,165.23,-1.80,
臺灣就業99指數,"13,031.58",-,217.03,-1.64,
臺灣高薪100指數,"11,602.08",-,254.15,-2.14,
未含金融指數,"19,622.60",-,495.19,-2.46,
未含電子指數,"18,550.13",-,150.39,-0.80,
未含金融電子指數,"13,726.73",-,121.08,-0.87,
小型股300指數,"10,676.10",-,242.73,-2.22,
水泥窯製類指數,552.07,+,2.40,0.44,
塑膠化工類指數,581.83,-,3.16,-0.54,
機電類指數,"6,965.87",-,202.89,-2.83,
水泥類指數,145.68,+,0.64,0.44,
食品類指數,"2,034.44",-,13.11,-0.64,
塑膠類指數,99.27,+,1.49,1.52,
紡織纖維類指數,579.72,-,2.05,-0.35,
電機機械類指數,377.20,-,6.98,-1.82,
電器電纜類指數,83.50,-,1.22,-1.44,
化學生技醫療類指數,132.72,-,2.49,-1.84,
化學類指數,154.21,-,2.41,-1.54,
生技醫療類指數,75.12,-,1.54,-2.01,
玻璃陶瓷類指數,42.82,+,0.19,0.45,
造紙類指數,273.89,+,0.61,0.22,
鋼鐵類指數,110.59,-,1.56,-1.39,
橡膠類指數,264.31,-,0.13,-0.05,
汽車類指數,362.25,-,4.43,-1.21,
電子工業類指數,"1,252.45",-,36.86,-2.86,
半導體類指數,649.58,-,17.56,-2.63,
電腦及週邊設備類指數,264.60,-,7.84,-2.88,
光電類指數,38.68,-,1.14,-2.86,
通信網路類指數,162.95,-,2.19,-1.33,
電子零組件類指數,226.48,-,9.48,-4.02,
電子通路類指數,238.02,-,4.78,-1.97,
資訊服務類指數,213.15,-,2.73,-1.26,
其他電子類指數,160.83,-,8.39,-4.96,
建材營造類指數,512.41,-,5.74,-1.11,
航運類指數,193.87,-,4.79,-2.41,
觀光餐旅類指數,112.37,-,1.36,-1.20,
金融保險類指數,"2,075.24",-,14.30,-0.68,
貿易百貨類指數,273.11,+,0.22,0.08,
油電燃氣類指數,52.79,+,2.68,5.35,
綠能環保類指數,102.35,-,1.73,-1.66,
數位雲端類指數,59.76,-,0.25,-0.42,
運動休閒類指數,94.61,-,0.41,-0.43,
居家生活類指數,122.20,+,0.92,0.76,
其他類指數,307.69,-,4.08,-1.31,
臺指日報酬兩倍指數,"59,645.71",-,"2,843.30",-4.55,
臺指反向一倍指數,"2,866.31",+,63.76,2.28,
電子類兩倍槓桿指數,"78,414.36",-,"4,755.47",-5.72,
電子類反向指數,"2,085.62",+,57.97,2.86,
價格指數(跨市場),,,,,
指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
臺灣生技指數,"3,905.06",-,72.17,-1.81,
臺灣中小型公司治理指數,"9,908.39",-,349.68,-3.41,
臺灣IPO指數,"5,492.60",-,148.06,-2.62,
智慧中立指數,"3,644.56",+,7.19,0.20,
臺灣5G指數,"11,271.57",-,407.09,-3.49,
臺灣企業社會責任中小型指數,"11,262.61",-,222.10,-1.93,
特選臺灣電動車代表指數,"9,609.62",-,271.05,-2.74,
臺灣5G+通訊指數,"10,014.13",-,349.87,-3.38,
臺灣全市場指數,"7,754.27",-,194.27,-2.44,
臺灣全市場半導體指數,"7,623.39",-,286.04,-3.62,
臺灣智慧移動與電動車指數,"5,567.57",-,185.13,-3.22,
特選小資高價30指數,"8,044.20",-,323.95,-3.87,
特選臺灣綠能及電動車指數,"5,829.33",-,139.33,-2.33,
特選臺灣智能車供應鏈聯盟指數,"7,195.86",-,241.33,-3.24,
臺灣全市場半導體精選30指數,"5,964.08",-,226.89,-3.66,
特選臺灣高股息30指數,"4,863.22",-,119.88,-2.41,
臺灣友善環境指數,"6,906.35",-,156.24,-2.21,
台灣永續價值指數,"6,291.51",-,139.18,-2.16,
特選臺灣IC設計指數,"4,272.92",-,166.56,-3.75,
特選臺灣環境永續高股息指數,"6,542.02",-,114.51,-1.72,
臺灣友善環境50指數,"5,742.48",-,155.93,-2.64,
