指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
寶島股價指數,"17,021.57",+,240.06,1.43,
發行量加權股價指數,"14,937.70",+,204.48,1.39,
臺灣公司治理100指數,"8,636.78",+,131.08,1.54,
臺灣50指數,"11,552.63",+,188.06,1.65,
臺灣50權重上限30%指數,"10,927.25",+,192.05,1.79,
臺灣中型100指數,"12,654.16",+,106.08,0.85,
臺灣資訊科技指數,"19,742.34",+,359.90,1.86,
臺灣發達指數,"9,875.71",+,81.20,0.83,
臺灣高股息指數,"6,244.57",+,87.26,1.42,
臺灣就業99指數,"8,914.72",+,101.25,1.15,
臺灣高薪100指數,"8,183.12",+,118.85,1.47,
未含金融指數,"12,888.90",+,183.03,1.44,
未含電子指數,"17,331.50",+,127.72,0.74,
未含金融電子指數,"14,553.64",+,92.08,0.64,
小型股300指數,"8,112.75",+,82.79,1.03,
水泥窯製類指數,636.85,+,3.71,0.59,
塑膠化工類指數,800.91,+,10.61,1.34,
機電類指數,"3,901.34",+,67.63,1.76,
水泥類指數,169.83,+,1.22,0.72,
食品類指數,"1,843.43",-,1.09,-0.06,
塑膠類指數,231.54,+,3.61,1.58,
紡織纖維類指數,552.95,+,2.85,0.52,
電機機械類指數,228.88,+,0.30,0.13,
電器電纜類指數,86.70,+,0.87,1.01,
化學生技醫療類指數,112.81,+,1.03,0.92,
化學類指數,133.86,+,1.07,0.81,
生技醫療類指數,64.79,+,0.70,1.09,
玻璃陶瓷類指數,46.36,-,0.18,-0.39,
造紙類指數,293.37,+,2.42,0.83,
鋼鐵類指數,139.42,-,0.35,-0.25,
橡膠類指數,248.85,+,2.25,0.91,
汽車類指數,321.30,-,1.75,-0.54,
電子工業類指數,697.60,+,12.41,1.81,
半導體類指數,335.84,+,6.64,2.02,
電腦及週邊設備類指數,124.73,+,1.52,1.23,
光電類指數,32.17,+,0.37,1.16,
通信網路類指數,132.05,+,0.38,0.29,
電子零組件類指數,156.80,+,3.71,2.42,
電子通路類指數,169.17,+,2.39,1.43,
資訊服務類指數,121.89,+,1.03,0.85,
其他電子類指數,97.12,+,1.75,1.83,
建材營造類指數,344.62,+,0.80,0.23,
航運類指數,204.44,+,4.16,2.08,
觀光類指數,98.76,-,0.38,-0.38,
金融保險類指數,"1,504.70",+,14.79,0.99,
貿易百貨類指數,302.98,-,1.65,-0.54,
油電燃氣類指數,109.64,+,0.80,0.74,
其他類指數,344.46,+,0.50,0.15,
臺指日報酬兩倍指數,"28,371.45",+,766.26,2.78,
臺指反向一倍指數,"4,657.91",-,65.56,-1.39,
電子類兩倍槓桿指數,"27,435.24",+,959.06,3.62,
電子類反向指數,"4,220.98",-,77.86,-1.81,
價格指數(跨市場),,,,,
指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
臺灣生技指數,"3,992.05",+,63.69,1.62,
臺灣中小型公司治理指數,"6,601.76",+,89.42,1.37,
臺灣IPO指數,"5,461.63",+,191.65,3.64,
智慧中立指數,"3,723.84",+,14.30,0.39,
臺灣5G指數,"7,439.33",+,197.87,2.73,
臺灣企業社會責任中小型指數,"7,664.48",+,62.94,0.83,
特選臺灣電動車代表指數,"5,447.73",+,3.87,0.07,
臺灣5G+通訊指數,"5,621.04",+,139.28,2.54,
臺灣全市場指數,"5,057.99",+,75.05,1.51,
臺灣全市場半導體指數,"4,780.69",+,149.66,3.23,
臺灣電動車與自駕科技永續概念指數,"4,105.28",+,103.90,2.60,
臺灣智慧移動與電動車指數,"3,827.16",+,114.27,3.08,
特選小資高價30指數,"4,335.39",+,112.04,2.65,
特選臺灣綠能及電動車指數,"4,226.52",+,58.65,1.41,
特選臺灣智能車供應鏈聯盟指數,"4,125.65",+,84.61,2.09,
臺灣全市場半導體精選30指數,"3,777.74",+,119.13,3.26,
特選臺灣高股息30指數,"3,877.33",+,36.47,0.95,
臺灣友善環境指數,"4,507.87",+,68.48,1.54,
台灣永續價值指數,"4,171.63",+,49.51,1.20,
特選臺灣IC設計指數,"2,927.58",+,123.97,4.42,
特選臺灣環境永續高股息指數,"4,090.64",+,34.02,0.84,
臺灣友善環境50指數,"3,959.26",+,77.66,2.00,
特選台灣策略高股息30指數,"3,869.79",+,52.17,1.37,
特選臺灣IC設計產業代表指數,"3,284.45",+,146.14,4.66,
特選臺灣綠能指數,"4,535.53",+,25.81,0.57,
特選臺灣成長高股息指數,"3,811.30",+,30.45,0.81,
特選臺灣智慧50指數,"3,879.90",+,91.64,2.42,
特選臺灣標竿PCB指數,"3,881.10",+,116.44,3.09,
臺灣晶圓製造指數,"4,305.50",+,138.23,3.32,
臺灣精選高息指數,"3,960.47",+,87.95,2.27,
臺灣多因子優選高股息30指數,"4,656.07",+,37.16,0.80,
特選臺灣優利高填息30指數,"4,501.70",+,76.74,1.73,
價格指數(臺灣指數公司),,,,,
指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
金融類日報酬兩倍指數,"25,244.94",+,491.44,1.99,
金融類日報酬反向一倍指數,"5,120.18",-,51.34,-0.99,
漲升股利150指數,"7,740.16",+,83.13,1.09,
藍籌30指數,"7,253.86",+,134.57,1.89,
工業菁英30指數,"7,717.29",+,194.64,2.59,
電子菁英30指數,"7,352.12",+,142.24,1.97,
低波動股利精選30指數,"6,769.68",+,76.73,1.15,
中小型A級動能50指數,"12,908.59",+,46.50,0.36,
特選高息低波指數,"6,629.08",+,57.56,0.88,
臺灣永續指數,"7,599.04",+,115.89,1.55,
特選內需高收益指數,"5,860.97",-,7.38,-0.13,
價值投資指數,"5,951.55",+,163.05,2.82,
存股雙十等權重指數,"6,842.42",+,115.02,1.71,
