指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
寶島股價指數,"24,870.88",-,344.61,-1.37,
發行量加權股價指數,"21,960.83",-,310.84,-1.40,
臺灣公司治理100指數,"12,885.71",-,204.34,-1.56,
臺灣50指數,"18,033.94",-,300.68,-1.64,
臺灣50權重上限30%指數,"15,809.65",-,231.68,-1.44,
臺灣中型100指數,"19,260.00",-,231.23,-1.19,
臺灣資訊科技指數,"35,526.98",-,655.85,-1.81,
臺灣發達指數,"9,946.10",-,118.48,-1.18,
臺灣高股息指數,"9,441.53",-,108.71,-1.14,
臺灣就業99指數,"13,247.15",-,144.15,-1.08,
臺灣高薪100指數,"11,941.95",-,126.62,-1.05,
未含金融指數,"19,033.93",-,287.12,-1.49,
未含電子指數,"19,645.25",-,132.13,-0.67,
未含金融電子指數,"14,758.41",-,98.53,-0.66,
小型股300指數,"11,348.31",-,80.98,-0.71,
水泥窯製類指數,614.56,+,1.49,0.24,
塑膠化工類指數,631.15,-,4.42,-0.70,
機電類指數,"6,587.86",-,114.99,-1.72,
水泥類指數,161.74,+,0.08,0.05,
食品類指數,"2,135.00",-,23.48,-1.09,
塑膠類指數,117.27,-,1.59,-1.34,
紡織纖維類指數,608.00,-,4.10,-0.67,
電機機械類指數,389.37,-,6.33,-1.60,
電器電纜類指數,94.73,-,0.43,-0.45,
化學生技醫療類指數,138.19,-,0.55,-0.40,
化學類指數,168.77,+,0.49,0.29,
生技醫療類指數,76.09,-,0.60,-0.78,
玻璃陶瓷類指數,48.57,+,0.77,1.61,
造紙類指數,286.91,-,0.30,-0.10,
鋼鐵類指數,144.30,+,0.26,0.18,
橡膠類指數,272.25,-,0.47,-0.17,
汽車類指數,380.06,-,1.15,-0.30,
電子工業類指數,"1,181.04",-,20.73,-1.72,
半導體類指數,596.34,-,10.25,-1.69,
電腦及週邊設備類指數,260.39,-,5.70,-2.14,
光電類指數,39.97,-,0.12,-0.30,
通信網路類指數,167.09,-,1.88,-1.11,
電子零組件類指數,227.69,-,5.29,-2.27,
電子通路類指數,241.26,-,3.75,-1.53,
資訊服務類指數,231.58,-,0.65,-0.28,
其他電子類指數,153.43,-,3.03,-1.94,
建材營造類指數,557.15,-,5.93,-1.05,
航運類指數,207.70,-,0.62,-0.30,
觀光餐旅類指數,119.60,-,0.25,-0.21,
金融保險類指數,"2,140.52",-,14.59,-0.68,
貿易百貨類指數,273.65,-,0.91,-0.33,
油電燃氣類指數,58.50,-,0.98,-1.65,
綠能環保類指數,109.94,-,0.03,-0.03,
數位雲端類指數,61.99,-,1.47,-2.32,
運動休閒類指數,95.07,-,1.03,-1.07,
居家生活類指數,123.03,-,0.93,-0.75,
其他類指數,323.45,-,1.29,-0.40,
臺指日報酬兩倍指數,"56,585.70",-,"1,624.86",-2.79,
臺指反向一倍指數,"2,920.19",+,40.20,1.40,
電子類兩倍槓桿指數,"69,129.96",-,"2,470.14",-3.45,
電子類反向指數,"2,193.29",+,37.19,1.72,
價格指數(跨市場),,,,,
指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
臺灣生技指數,"3,860.43",-,19.81,-0.51,
臺灣中小型公司治理指數,"9,877.39",-,171.18,-1.70,
臺灣IPO指數,"5,942.81",-,83.17,-1.38,
智慧中立指數,"3,840.11",-,11.21,-0.29,
臺灣5G指數,"11,203.75",-,160.87,-1.42,
臺灣企業社會責任中小型指數,"11,725.69",-,116.71,-0.99,
特選臺灣電動車代表指數,"9,632.27",-,158.46,-1.62,
臺灣科技龍頭通訊指數,"9,655.62",-,174.54,-1.78,
臺灣全市場指數,"7,643.73",-,106.00,-1.37,
臺灣全市場半導體指數,"7,603.77",-,93.47,-1.21,
臺灣智慧移動與電動車指數,"5,534.11",-,99.69,-1.77,
特選小資高價30指數,"7,581.02",-,164.24,-2.12,
特選臺灣綠能及電動車指數,"5,876.80",-,90.08,-1.51,
特選臺灣智能車供應鏈聯盟指數,"6,928.86",-,119.11,-1.69,
臺灣全市場半導體精選30指數,"5,959.72",-,71.09,-1.18,
特選臺灣高股息30指數,"5,093.79",-,43.47,-0.85,
臺灣友善環境指數,"6,790.26",-,97.84,-1.42,
台灣永續價值指數,"6,165.06",-,88.38,-1.41,
特選臺灣IC設計指數,"4,482.89",-,62.81,-1.38,
特選臺灣環境永續高股息指數,"7,045.05",-,54.17,-0.76,
臺灣友善環境50指數,"5,634.44",-,85.05,-1.49,
特選臺灣IC設計產業代表指數,"5,733.41",-,83.26,-1.43,
特選臺灣綠能指數,"5,103.15",-,60.35,-1.17,
特選臺灣智慧50指數,"5,229.81",-,73.13,-1.38,
臺灣晶圓製造指數,"5,871.82",-,88.38,-1.48,
臺灣精選高息指數,"5,584.47",-,38.28,-0.68,
臺灣多因子優選高股息30指數,"8,456.48",-,83.96,-0.98,
特選臺灣優利高填息30指數,"7,357.89",-,66.67,-0.90,
特選臺灣科技優息指數,"8,744.96",-,95.32,-1.08,
臺灣半導體收益指數,"6,691.06",-,70.89,-1.05,
臺灣優選成長高股息指數,"7,565.48",-,77.30,-1.01,
特選臺灣ESG低碳高息40指數,"8,205.39",-,41.14,-0.50,
臺灣優選多因子30指數,"8,699.20",-,77.11,-0.88,
臺灣創新科技50指數,"7,296.12",-,131.87,-1.78,
臺灣全市場新經濟產業指數,"4,783.25",-,39.27,-0.81,
臺灣ESG永續高股息等權重指數,"6,235.92",-,31.63,-0.50,
臺灣永續高息中小型指數,"5,627.71",-,54.98,-0.97,
特選臺灣高息優質成長指數,"6,090.90",-,66.44,-1.08,
特選臺灣高息動能指數,"6,578.13",-,70.16,-1.06,
臺灣電子成長高息等權重指數,"5,892.18",-,54.89,-0.92,
特選臺灣優利成長指數,"5,057.09",-,43.19,-0.85,
臺灣價值高息指數,"5,556.05",-,63.77,-1.13,
特選臺灣IC設計動能指數,"4,772.36",-,61.36,-1.27,
臺灣科技高股息指數,"5,327.43",-,46.83,-0.87,
臺灣趨勢動能高股息指數,"5,859.49",-,54.57,-0.92,
特選臺灣科技高息成長指數,"5,369.84",-,47.60,-0.88,
特選臺灣AI優息動能指數,"4,809.18",-,70.42,-1.44,
臺灣優選AI 50指數,"4,810.08",-,80.01,-1.64,
臺灣AI供應鏈聯盟指數,"5,281.00",-,118.55,-2.20,
台灣旗艦動能50指數,"5,295.22",-,75.53,-1.41,
價格指數(臺灣指數公司),,,,,
指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
金融類日報酬兩倍指數,"48,676.95",-,668.13,-1.35,
金融類日報酬反向一倍指數,"3,431.20",+,23.07,0.68,
