指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
寶島股價指數,"19,371.86",+,227.48,1.19,
發行量加權股價指數,"17,015.36",+,190.11,1.13,
臺灣公司治理100指數,"9,878.78",+,106.08,1.09,
臺灣50指數,"13,253.44",+,130.82,1.00,
臺灣50權重上限30%指數,"12,571.78",+,128.60,1.03,
臺灣中型100指數,"14,143.32",+,130.33,0.93,
臺灣資訊科技指數,"22,683.53",+,213.82,0.95,
臺灣發達指數,"11,224.66",+,157.46,1.42,
臺灣高股息指數,"7,839.47",+,93.28,1.20,
臺灣就業99指數,"10,072.03",+,94.99,0.95,
臺灣高薪100指數,"9,384.89",+,84.47,0.91,
未含金融指數,"14,712.79",+,175.50,1.21,
未含電子指數,"19,656.12",+,252.03,1.30,
未含金融電子指數,"16,587.99",+,264.31,1.62,
小型股300指數,"8,964.35",+,145.95,1.66,
水泥窯製類指數,707.66,+,7.44,1.06,
塑膠化工類指數,934.63,+,11.09,1.20,
機電類指數,"4,436.17",+,44.71,1.02,
水泥類指數,184.39,+,2.35,1.29,
食品類指數,"1,867.66",+,2.47,0.13,
塑膠類指數,285.11,+,2.85,1.01,
紡織纖維類指數,592.38,+,4.44,0.76,
電機機械類指數,222.01,+,1.48,0.67,
電器電纜類指數,84.51,+,1.39,1.67,
化學生技醫療類指數,115.94,+,1.54,1.35,
化學類指數,143.35,+,2.11,1.49,
生技醫療類指數,63.03,+,0.70,1.12,
玻璃陶瓷類指數,60.09,-,0.18,-0.30,
造紙類指數,373.31,+,5.04,1.37,
鋼鐵類指數,181.13,+,2.47,1.38,
橡膠類指數,277.30,+,5.88,2.17,
汽車類指數,312.22,+,1.66,0.53,
電子工業類指數,796.82,+,8.06,1.02,
半導體類指數,394.81,+,3.92,1.00,
電腦及週邊設備類指數,139.39,+,1.51,1.10,
光電類指數,38.79,+,0.36,0.94,
通信網路類指數,133.57,+,0.62,0.47,
電子零組件類指數,177.65,+,3.32,1.90,
電子通路類指數,202.18,+,2.79,1.40,
資訊服務類指數,132.32,+,1.15,0.88,
其他電子類指數,95.74,+,0.36,0.38,
建材營造類指數,361.78,+,3.52,0.98,
航運類指數,278.88,+,12.21,4.58,
觀光類指數,94.09,+,0.07,0.07,
金融保險類指數,"1,686.30",+,9.05,0.54,
貿易百貨類指數,305.51,+,4.94,1.64,
油電燃氣類指數,129.59,+,0.98,0.76,
其他類指數,372.84,+,4.98,1.35,
臺指日報酬兩倍指數,"37,452.90",+,827.66,2.26,
臺指反向一倍指數,"4,159.58",-,47.54,-1.13,
電子類兩倍槓桿指數,"36,669.45",+,734.41,2.04,
電子類反向指數,"3,785.30",-,39.08,-1.02,
價格指數(跨市場),,,,,
指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
臺灣生技指數,"4,138.74",+,54.83,1.34,
臺灣中小型公司治理指數,"7,703.74",+,93.37,1.23,
臺灣IPO指數,"6,722.02",+,81.27,1.22,
智慧中立指數,"4,130.45",+,26.99,0.66,
臺灣5G指數,"8,898.04",+,113.80,1.30,
臺灣企業社會責任中小型指數,"8,558.27",+,95.09,1.12,
特選臺灣電動車代表指數,"6,062.37",+,53.58,0.89,
臺灣5G+通訊指數,"6,459.75",+,59.29,0.93,
臺灣全市場指數,"5,780.23",+,65.83,1.15,
臺灣全市場半導體指數,"5,995.17",+,75.82,1.28,
臺灣電動車與自駕科技永續概念指數,"4,803.93",+,61.75,1.30,
臺灣智慧移動與電動車指數,"4,637.27",+,61.03,1.33,
特選小資高價30指數,"5,188.34",+,65.70,1.28,
特選臺灣綠能及電動車指數,"4,772.91",+,48.03,1.02,
特選臺灣智能車供應鏈聯盟指數,"4,721.01",+,54.01,1.16,
臺灣全市場半導體精選30指數,"4,762.45",+,58.67,1.25,
特選臺灣高股息30指數,"5,183.43",+,67.63,1.32,
臺灣友善環境指數,"5,285.81",+,70.96,1.36,
台灣永續價值指數,"4,739.65",+,48.14,1.03,
特選臺灣IC設計指數,"4,182.43",+,50.25,1.22,
價格指數(臺灣指數公司),,,,,
指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
金融類日報酬兩倍指數,"32,277.71",+,344.61,1.08,
金融類日報酬反向一倍指數,"4,650.57",-,25.23,-0.54,
漲升股利150指數,"8,853.24",+,98.38,1.12,
藍籌30指數,"8,363.37",+,67.82,0.82,
工業菁英30指數,"9,238.80",+,80.47,0.88,
電子菁英30指數,"8,370.19",+,85.53,1.03,
低波動股利精選30指數,"7,252.70",+,26.05,0.36,
中小型A級動能50指數,"15,017.45",+,150.92,1.02,
特選高息低波指數,"7,511.19",+,57.77,0.78,
臺灣永續指數,"8,660.87",+,88.42,1.03,
特選內需高收益指數,"6,281.57",+,48.85,0.78,
價值投資指數,"8,111.57",+,143.96,1.81,
存股雙十等權重指數,"8,527.60",+,106.10,1.26,
特選大蘋果指數,"7,033.01",+,73.41,1.05,
中小型300指數,"9,112.08",+,102.44,1.14,
特股高息20指數,"6,166.37",+,10.43,0.17,
臺灣500指數,"8,800.90",+,99.04,1.14,
臺灣勞工權益指數,"7,882.03",+,57.32,0.73,
微波高息精選20指數,"6,619.68",+,30.29,0.46,
特選世代行動通訊指數,"5,926.72",+,46.25,0.79,
智慧投資多因子30指數,"6,032.09",+,98.10,1.65,
臺股期貨指數,"8,434.09",+,121.44,1.46,
特選價值成長指數,"8,567.25",+,114.18,1.35,
臺灣上櫃永續指數,"6,241.72",+,118.25,1.93,
特選台股領航指數,"7,931.64",+,97.18,1.24,
特選Smart多因子指數,"6,679.32",+,88.13,1.34,
特選ESG高股息指數,"4,752.09",+,49.99,1.06,
特選上櫃ESG成長指數,"4,584.31",+,73.03,1.62,
特選上櫃ESG電子菁英指數,"4,908.02",+,76.13,1.58,
新臺灣高股息指數,"5,140.44",+,52.44,1.03,
臺灣ESG優息存股指數,"4,998.63",+,30.12,0.61,
報酬指數(臺灣證券交易所),,,,,
報酬指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
寶島股價報酬指數,"25,888.96",+,304.02,1.19,
發行量加權股價報酬指數,"33,756.37",+,377.15,1.13,
臺灣公司治理100報酬指數,"12,931.80",+,138.87,1.09,
臺灣50報酬指數,"26,581.69",+,262.38,1.00,
臺灣50權重上限30%報酬指數,"25,302.78",+,258.82,1.03,
臺灣中型100報酬指數,"26,310.77",+,242.45,0.93,
臺灣資訊科技股報酬指數,"42,962.12",+,404.97,0.95,
臺灣發達報酬指數,"20,329.33",+,285.19,1.42,
臺灣高股息報酬指數,"19,635.27",+,233.63,1.20,
臺灣就業99報酬指數,"14,918.55",+,140.69,0.95,
臺灣高薪100報酬指數,"12,690.62",+,114.23,0.91,
未含金融電子報酬指數,"33,247.06",+,529.76,1.62,
小型股300報酬指數,"11,298.54",+,183.95,1.66,
水泥類報酬指數,350.57,+,4.46,1.29,
食品類報酬指數,"2,811.96",+,3.71,0.13,
塑膠類報酬指數,482.78,+,4.83,1.01,
紡織纖維類報酬指數,930.58,+,6.97,0.75,
電機機械類報酬指數,327.09,+,2.19,0.67,
電器電纜類報酬指數,124.27,+,2.04,1.67,
化學生技醫療類報酬指數,176.46,+,2.33,1.34,
化學類報酬指數,232.80,+,3.43,1.50,
生技醫療類報酬指數,86.96,+,0.97,1.13,
玻璃陶瓷類報酬指數,69.86,-,0.21,-0.30,
造紙類報酬指數,550.20,+,7.43,1.37,
鋼鐵類報酬指數,281.67,+,3.84,1.38,
橡膠類報酬指數,425.54,+,9.02,2.17,
汽車類報酬指數,483.65,+,2.57,0.53,
