指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
寶島股價指數,"20,001.18",-,35.32,-0.18,
發行量加權股價指數,"17,567.53",-,28.37,-0.16,
臺灣公司治理100指數,"10,184.82",-,60.90,-0.59,
臺灣50指數,"14,009.83",-,92.49,-0.66,
臺灣50權重上限30%指數,"13,299.14",-,51.22,-0.38,
臺灣中型100指數,"13,696.93",+,143.72,1.06,
臺灣資訊科技指數,"24,537.70",-,127.37,-0.52,
臺灣發達指數,"11,553.39",+,6.06,0.05,
臺灣高股息指數,"8,328.53",+,8.30,0.10,
臺灣就業99指數,"10,740.43",+,138.60,1.31,
臺灣高薪100指數,"9,126.20",-,17.78,-0.19,
未含金融指數,"15,466.47",-,27.40,-0.18,
未含電子指數,"19,068.01",+,15.74,0.08,
未含金融電子指數,"16,650.13",+,20.59,0.12,
小型股300指數,"9,536.22",+,45.38,0.48,
水泥窯製類指數,823.36,+,16.59,2.06,
塑膠化工類指數,"1,030.14",-,13.38,-1.28,
機電類指數,"4,774.80",-,9.86,-0.21,
水泥類指數,208.20,+,1.23,0.59,
食品類指數,"2,011.18",+,47.41,2.41,
塑膠類指數,307.20,-,4.86,-1.56,
紡織纖維類指數,678.81,+,11.58,1.74,
電機機械類指數,276.89,+,4.99,1.84,
電器電纜類指數,96.01,+,6.51,7.27,
化學生技醫療類指數,118.03,+,0.40,0.34,
化學類指數,133.13,+,1.76,1.34,
生技醫療類指數,71.60,-,0.57,-0.79,
玻璃陶瓷類指數,82.69,+,7.28,9.65,
造紙類指數,471.88,+,0.44,0.09,
鋼鐵類指數,178.97,-,3.54,-1.94,
橡膠類指數,400.01,-,9.17,-2.24,
汽車類指數,355.72,-,0.13,-0.04,
電子工業類指數,854.41,-,2.59,-0.30,
半導體類指數,421.73,-,3.24,-0.76,
電腦及週邊設備類指數,145.54,-,0.09,-0.06,
光電類指數,55.12,+,1.45,2.70,
通信網路類指數,132.91,+,0.15,0.11,
電子零組件類指數,179.25,+,1.98,1.12,
電子通路類指數,168.26,+,1.81,1.09,
資訊服務類指數,137.68,+,0.26,0.19,
其他電子類指數,109.24,-,1.03,-0.93,
建材營造類指數,380.54,-,1.23,-0.32,
航運類指數,172.88,+,1.60,0.93,
觀光類指數,111.07,+,0.12,0.11,
金融保險類指數,"1,502.70",-,0.36,-0.02,
貿易百貨類指數,290.72,-,0.11,-0.04,
油電燃氣類指數,133.37,+,0.01,0.01,
其他類指數,367.61,-,0.33,-0.09,
臺指日報酬兩倍指數,"40,896.33",-,132.30,-0.32,
臺指反向一倍指數,"4,126.31",+,6.64,0.16,
電子類兩倍槓桿指數,"43,445.30",-,264.20,-0.60,
電子類反向指數,"3,637.18",+,10.96,0.30,
價格指數(跨市場),,,,,
指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
臺灣生技指數,"4,647.79",-,87.55,-1.85,
臺灣中小型公司治理指數,"7,842.70",+,5.07,0.06,
臺灣IPO指數,"7,574.18",-,58.76,-0.77,
智慧中立指數,"4,468.26",-,10.07,-0.22,
臺灣企業社會責任中小型指數,"7,745.94",+,61.30,0.80,
臺灣5G+通訊指數,"7,007.50",-,15.91,-0.23,
臺灣全市場指數,"6,001.17",-,9.62,-0.16,
臺灣全市場半導體指數,"6,363.64",+,0.96,0.02,
價格指數(臺灣指數公司),,,,,
指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
金融類日報酬兩倍指數,"26,235.02",-,12.57,-0.05,
金融類日報酬反向一倍指數,"5,341.23",+,1.28,0.02,
漲升股利150指數,"9,582.58",+,1.75,0.02,
漲升股利100指數,"8,434.28",-,29.19,-0.34,
藍籌30指數,"8,823.36",-,20.86,-0.24,
工業菁英30指數,"9,912.79",-,41.24,-0.41,
電子菁英30指數,"9,381.40",-,26.07,-0.28,
低波動股利精選30指數,"6,775.82",-,0.73,-0.01,
低貝塔100指數,"7,649.44",-,28.60,-0.37,
中小型精選50指數,"7,461.22",-,41.24,-0.55,
中小型A級動能50指數,"16,244.34",+,182.23,1.13,
特選高息低波指數,"7,416.62",-,28.28,-0.38,
臺灣永續指數,"8,932.99",-,22.30,-0.25,
特選內需高收益指數,"6,289.10",+,10.04,0.16,
價值投資指數,"8,368.33",+,14.71,0.18,
中小型300指數,"9,016.00",+,40.86,0.46,
臺灣勞工權益指數,"7,739.32",-,23.63,-0.30,
智慧投資多因子30指數,"6,442.52",-,24.00,-0.37,
臺股期貨指數,"8,342.81",-,18.08,-0.22,
臺灣上櫃企業社會責任指數,"6,763.22",+,4.90,0.07,
特選Smart多因子指數,"6,787.98",-,19.55,-0.29,
報酬指數(臺灣證券交易所),,,,,
報酬指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
寶島股價報酬指數,"26,058.21",-,45.87,-0.18,
發行量加權股價報酬指數,"33,979.54",-,54.69,-0.16,
臺灣公司治理100報酬指數,"13,004.49",-,77.76,-0.59,
臺灣50報酬指數,"27,449.49",-,181.21,-0.66,
臺灣50權重上限30%報酬指數,"26,058.84",-,100.35,-0.38,
臺灣中型100報酬指數,"24,716.33",+,259.36,1.06,
臺灣資訊科技股報酬指數,"45,481.77",-,236.07,-0.52,
臺灣發達報酬指數,"20,375.36",+,10.68,0.05,
臺灣高股息報酬指數,"19,895.12",+,19.82,0.10,
臺灣就業99報酬指數,"15,402.73",+,198.76,1.31,
臺灣高薪100報酬指數,"11,933.92",-,23.25,-0.19,
未含金融電子報酬指數,"32,560.76",+,40.96,0.13,
小型股300報酬指數,"11,665.81",+,55.51,0.48,
水泥類報酬指數,369.78,+,2.19,0.60,
食品類報酬指數,"2,920.83",+,68.87,2.41,
塑膠類報酬指數,506.25,-,8.01,-1.56,
紡織纖維類報酬指數,"1,039.89",+,18.19,1.78,
電機機械類報酬指數,399.71,+,7.21,1.84,
電器電纜類報酬指數,136.65,+,9.26,7.27,
化學生技醫療類報酬指數,174.76,+,0.59,0.34,
化學類報酬指數,209.43,+,2.76,1.34,
生技醫療類報酬指數,96.54,-,0.77,-0.79,
玻璃陶瓷類報酬指數,94.99,+,8.36,9.65,
造紙類報酬指數,677.57,+,0.63,0.09,
鋼鐵類報酬指數,274.40,-,5.44,-1.94,
橡膠類報酬指數,600.55,-,13.77,-2.24,
汽車類報酬指數,531.90,-,0.19,-0.04,
電子工業類報酬指數,"1,509.21",-,4.58,-0.30,
半導體類報酬指數,707.73,-,5.44,-0.76,
電腦及週邊設備類報酬指數,284.83,-,0.18,-0.06,
光電類報酬指數,75.36,+,1.97,2.68,
通信網路類報酬指數,260.36,+,0.28,0.11,
電子零組件類報酬指數,314.13,+,3.47,1.12,
電子通路類報酬指數,355.65,+,3.84,1.09,
資訊服務類報酬指數,286.73,+,0.54,0.19,
其他電子類報酬指數,162.27,-,1.53,-0.93,
建材營造類報酬指數,690.13,-,2.22,-0.32,
航運類報酬指數,241.65,+,2.23,0.93,
觀光類報酬指數,146.90,+,0.16,0.11,
金融保險類報酬指數,"2,394.85",-,0.58,-0.02,
貿易百貨類報酬指數,429.35,-,0.17,-0.04,
油電燃氣類報酬指數,200.74,+,0.02,0.01,
其他類報酬指數,585.55,-,0.52,-0.09,
報酬指數(跨市場),,,,,
報酬指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
臺灣生技報酬指數,"4,980.63",-,93.83,-1.85,
