指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
寶島股價指數,"26,006.73",-,97.64,-0.37,
發行量加權股價指數,"22,905.98",-,80.71,-0.35,
臺灣公司治理100指數,"13,388.44",-,29.19,-0.22,
臺灣50指數,"18,537.27",-,45.31,-0.24,
臺灣50權重上限30%指數,"16,383.99",-,60.98,-0.37,
臺灣中型100指數,"20,695.77",-,91.15,-0.44,
臺灣資訊科技指數,"37,209.32",-,73.84,-0.20,
臺灣發達指數,"10,364.98",-,36.46,-0.35,
臺灣高股息指數,"10,079.49",-,75.00,-0.74,
臺灣就業99指數,"13,673.70",-,77.79,-0.57,
臺灣高薪100指數,"12,140.03",-,54.55,-0.45,
未含金融指數,"20,115.04",-,67.80,-0.34,
未含電子指數,"20,411.33",-,107.04,-0.52,
未含金融電子指數,"16,213.22",-,87.96,-0.54,
小型股300指數,"12,080.61",-,88.24,-0.73,
水泥窯製類指數,628.79,+,0.59,0.09,
塑膠化工類指數,748.11,-,5.51,-0.73,
機電類指數,"6,908.59",-,19.47,-0.28,
水泥類指數,164.17,,--,--,
食品類指數,"2,252.27",-,12.36,-0.55,
塑膠類指數,167.98,-,0.95,-0.56,
紡織纖維類指數,666.14,+,1.79,0.27,
電機機械類指數,449.58,-,1.90,-0.42,
電器電纜類指數,118.06,-,0.75,-0.63,
化學生技醫療類指數,143.26,-,1.25,-0.86,
化學類指數,172.28,-,1.57,-0.90,
生技醫療類指數,79.78,-,0.67,-0.83,
玻璃陶瓷類指數,52.49,+,0.37,0.71,
造紙類指數,340.09,-,3.52,-1.02,
鋼鐵類指數,143.62,-,0.63,-0.44,
橡膠類指數,292.76,-,2.70,-0.91,
汽車類指數,409.47,-,3.96,-0.96,
電子工業類指數,"1,234.25",-,3.41,-0.28,
半導體類指數,612.80,-,1.25,-0.20,
電腦及週邊設備類指數,284.18,-,4.10,-1.42,
光電類指數,42.38,-,0.17,-0.40,
通信網路類指數,157.90,-,0.27,-0.17,
電子零組件類指數,239.92,-,0.77,-0.32,
電子通路類指數,277.22,-,0.27,-0.10,
資訊服務類指數,204.33,-,3.51,-1.69,
其他電子類指數,183.22,+,1.15,0.63,
建材營造類指數,604.66,-,4.65,-0.76,
航運類指數,197.66,-,0.05,-0.03,
觀光餐旅類指數,132.77,-,1.00,-0.75,
金融保險類指數,"2,001.15",-,9.76,-0.49,
貿易百貨類指數,298.71,-,3.17,-1.05,
油電燃氣類指數,89.01,-,0.22,-0.25,
綠能環保類指數,124.96,-,1.54,-1.22,
數位雲端類指數,70.89,-,0.04,-0.06,
運動休閒類指數,97.09,-,1.43,-1.45,
居家生活類指數,116.89,+,2.12,1.85,
其他類指數,367.99,-,3.81,-1.02,
臺指日報酬兩倍指數,"63,929.69",-,452.11,-0.70,
臺指反向一倍指數,"2,902.85",+,10.16,0.35,
電子類兩倍槓桿指數,"79,809.92",-,442.22,-0.55,
電子類反向指數,"2,213.59",+,6.08,0.28,
價格指數(跨市場),,,,,
指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
臺灣生技指數,"4,397.84",-,40.06,-0.90,
臺灣中小型公司治理指數,"10,741.38",-,85.72,-0.79,
臺灣IPO指數,"5,963.88",-,82.83,-1.37,
智慧中立指數,"3,839.00",+,7.12,0.19,
臺灣5G指數,"11,733.42",-,52.94,-0.45,
臺灣企業社會責任中小型指數,"12,699.19",-,78.94,-0.62,
特選臺灣電動車代表指數,"10,594.53",+,7.87,0.07,
臺灣5G+通訊指數,"10,249.22",-,29.55,-0.29,
臺灣全市場指數,"7,934.51",-,29.18,-0.37,
臺灣全市場半導體指數,"8,099.65",-,57.01,-0.70,
臺灣智慧移動與電動車指數,"6,075.14",-,22.39,-0.37,
特選小資高價30指數,"8,032.95",-,59.39,-0.73,
特選臺灣綠能及電動車指數,"6,354.68",-,31.14,-0.49,
特選臺灣智能車供應鏈聯盟指數,"7,380.44",-,23.10,-0.31,
