指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
寶島股價指數,"20,152.43",-,97.49,-0.48,
發行量加權股價指數,"17,576.55",-,75.48,-0.43,
臺灣公司治理100指數,"9,873.84",-,26.22,-0.26,
臺灣50指數,"13,131.40",-,25.10,-0.19,
臺灣50權重上限30%指數,"12,315.06",-,31.00,-0.25,
臺灣中型100指數,"17,774.09",-,141.82,-0.79,
臺灣資訊科技指數,"24,877.71",-,40.82,-0.16,
臺灣發達指數,"9,805.69",-,52.94,-0.54,
臺灣高股息指數,"8,630.17",-,53.18,-0.61,
臺灣就業99指數,"11,443.42",-,86.25,-0.75,
臺灣高薪100指數,"9,748.40",-,17.12,-0.18,
未含金融指數,"15,243.39",-,59.78,-0.39,
未含電子指數,"18,497.79",-,109.61,-0.59,
未含金融電子指數,"15,132.21",-,80.79,-0.53,
小型股300指數,"10,172.91",-,87.85,-0.86,
水泥窯製類指數,609.24,-,7.83,-1.27,
塑膠化工類指數,810.58,-,6.85,-0.84,
機電類指數,"4,879.42",-,17.34,-0.35,
水泥類指數,159.00,-,2.01,-1.25,
食品類指數,"2,064.59",-,7.39,-0.36,
塑膠類指數,219.90,-,1.94,-0.87,
紡織纖維類指數,629.74,-,1.74,-0.28,
電機機械類指數,307.92,-,3.10,-1.00,
電器電纜類指數,106.24,-,0.50,-0.47,
化學生技醫療類指數,127.15,-,1.03,-0.80,
化學類指數,159.50,-,1.13,-0.70,
生技醫療類指數,68.69,-,0.63,-0.91,
玻璃陶瓷類指數,51.11,-,0.72,-1.39,
造紙類指數,351.54,-,3.46,-0.97,
鋼鐵類指數,146.73,+,0.43,0.29,
橡膠類指數,269.04,-,2.04,-0.75,
汽車類指數,413.62,-,4.40,-1.05,
電子工業類指數,871.02,-,2.94,-0.34,
半導體類指數,408.10,-,0.63,-0.15,
電腦及週邊設備類指數,225.11,-,0.93,-0.41,
光電類指數,36.37,-,0.29,-0.79,
通信網路類指數,148.72,-,0.50,-0.34,
電子零組件類指數,201.93,-,3.08,-1.50,
電子通路類指數,232.97,-,1.80,-0.77,
資訊服務類指數,176.76,-,0.95,-0.53,
其他電子類指數,102.04,+,0.19,0.19,
建材營造類指數,427.79,-,0.17,-0.04,
航運類指數,152.40,+,0.40,0.26,
觀光餐旅類指數,128.00,-,1.20,-0.93,
金融保險類指數,"1,703.80",-,12.28,-0.72,
貿易百貨類指數,283.15,-,0.50,-0.18,
油電燃氣類指數,110.00,-,0.89,-0.80,
