指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
寶島股價指數,"22,607.06",-,79.38,-0.35,
發行量加權股價指數,"19,784.45",-,72.75,-0.37,
臺灣公司治理100指數,"11,353.50",-,54.25,-0.48,
臺灣50指數,"15,454.87",-,67.76,-0.44,
臺灣50權重上限30%指數,"14,028.02",-,55.63,-0.39,
臺灣中型100指數,"19,273.01",-,82.53,-0.43,
臺灣資訊科技指數,"30,640.22",-,125.98,-0.41,
臺灣發達指數,"9,686.34",-,39.60,-0.41,
臺灣高股息指數,"9,656.90",-,9.30,-0.10,
臺灣就業99指數,"12,476.32",-,69.98,-0.56,
臺灣高薪100指數,"10,707.69",-,52.55,-0.49,
未含金融指數,"17,301.81",-,58.31,-0.34,
未含電子指數,"18,700.27",-,60.88,-0.32,
未含金融電子指數,"15,019.42",-,27.24,-0.18,
小型股300指數,"10,747.03",+,14.74,0.14,
水泥窯製類指數,574.37,-,4.21,-0.73,
塑膠化工類指數,744.05,-,5.97,-0.80,
機電類指數,"5,817.63",-,20.20,-0.35,
水泥類指數,149.59,-,1.27,-0.84,
食品類指數,"2,118.55",+,12.65,0.60,
塑膠類指數,184.20,-,3.30,-1.76,
紡織纖維類指數,631.67,+,0.22,0.03,
電機機械類指數,401.41,+,4.34,1.09,
電器電纜類指數,105.26,-,0.51,-0.48,
化學生技醫療類指數,130.17,+,0.07,0.05,
化學類指數,168.28,-,0.88,-0.52,
生技醫療類指數,68.71,+,0.37,0.54,
玻璃陶瓷類指數,48.83,,--,--,
造紙類指數,335.57,+,3.40,1.02,
鋼鐵類指數,138.24,-,0.85,-0.61,
橡膠類指數,270.25,+,1.69,0.63,
汽車類指數,409.70,-,0.13,-0.03,
電子工業類指數,"1,037.27",-,4.02,-0.39,
半導體類指數,501.60,-,3.08,-0.61,
電腦及週邊設備類指數,266.10,+,0.41,0.15,
光電類指數,38.25,+,0.41,1.08,
通信網路類指數,148.56,-,0.39,-0.26,
電子零組件類指數,220.69,-,1.30,-0.59,
電子通路類指數,277.73,-,5.10,-1.80,
資訊服務類指數,194.54,-,0.59,-0.30,
其他電子類指數,128.94,+,0.90,0.70,
建材營造類指數,466.69,-,1.23,-0.26,
航運類指數,154.45,-,1.14,-0.73,
觀光餐旅類指數,125.38,-,0.54,-0.43,
金融保險類指數,"1,791.85",-,11.25,-0.62,
貿易百貨類指數,276.52,-,0.45,-0.16,
油電燃氣類指數,94.91,-,0.40,-0.42,
綠能環保類指數,103.82,-,0.29,-0.28,
數位雲端類指數,66.42,-,0.65,-0.97,
運動休閒類指數,96.48,+,1.27,1.33,
居家生活類指數,106.11,-,0.71,-0.66,
其他類指數,355.94,-,0.37,-0.10,
臺指日報酬兩倍指數,"48,113.95",-,355.15,-0.73,
臺指反向一倍指數,"3,390.45",+,12.38,0.37,
電子類兩倍槓桿指數,"57,208.88",-,445.16,-0.77,
電子類反向指數,"2,673.18",+,10.28,0.39,
價格指數(跨市場),,,,,
指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
臺灣生技指數,"3,981.57",+,14.20,0.36,
臺灣中小型公司治理指數,"9,648.44",-,101.25,-1.04,
臺灣IPO指數,"5,666.47",-,54.03,-0.94,
智慧中立指數,"3,652.97",+,11.60,0.32,
臺灣5G指數,"10,160.64",-,84.09,-0.82,
臺灣企業社會責任中小型指數,"12,743.88",+,48.38,0.38,
特選臺灣電動車代表指數,"9,331.10",+,28.81,0.31,
臺灣5G+通訊指數,"8,444.46",-,40.09,-0.47,
臺灣全市場指數,"6,846.95",-,25.95,-0.38,
臺灣全市場半導體指數,"7,092.35",-,47.65,-0.67,
臺灣智慧移動與電動車指數,"5,331.70",-,3.51,-0.07,
特選小資高價30指數,"6,821.59",-,42.30,-0.62,
特選臺灣綠能及電動車指數,"5,779.96",-,16.56,-0.29,
特選臺灣智能車供應鏈聯盟指數,"6,168.04",-,19.89,-0.32,
臺灣全市場半導體精選30指數,"5,659.23",-,38.97,-0.68,
特選臺灣高股息30指數,"5,720.45",+,21.62,0.38,
