指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
寶島股價指數,"19,371.84",+,120.16,0.62,
發行量加權股價指數,"16,920.92",+,113.36,0.67,
臺灣公司治理100指數,"9,507.67",+,77.52,0.82,
臺灣50指數,"12,605.83",+,113.88,0.91,
臺灣50權重上限30%指數,"11,845.81",+,85.59,0.73,
臺灣中型100指數,"17,098.33",+,110.80,0.65,
臺灣資訊科技指數,"23,517.14",+,276.98,1.19,
臺灣發達指數,"9,877.21",+,56.84,0.58,
臺灣高股息指數,"8,219.23",+,67.13,0.82,
臺灣就業99指數,"11,090.24",+,41.79,0.38,
臺灣高薪100指數,"9,274.76",+,82.17,0.89,
未含金融指數,"14,658.24",+,118.70,0.82,
未含電子指數,"18,061.19",+,3.02,0.02,
未含金融電子指數,"14,811.62",+,31.33,0.21,
小型股300指數,"9,833.29",+,14.18,0.14,
水泥窯製類指數,613.17,-,5.18,-0.84,
塑膠化工類指數,826.20,+,0.71,0.09,
機電類指數,"4,661.41",+,47.35,1.03,
水泥類指數,159.59,-,0.75,-0.47,
食品類指數,"1,996.71",+,12.93,0.65,
塑膠類指數,228.82,-,0.10,-0.04,
紡織纖維類指數,591.60,-,1.96,-0.33,
電機機械類指數,297.19,-,0.40,-0.13,
電器電纜類指數,102.99,+,1.17,1.15,
化學生技醫療類指數,127.39,+,0.58,0.46,
化學類指數,159.86,+,0.49,0.31,
生技醫療類指數,68.79,+,0.43,0.63,
玻璃陶瓷類指數,52.41,-,1.68,-3.11,
造紙類指數,338.74,+,0.34,0.10,
鋼鐵類指數,139.14,+,1.33,0.97,
橡膠類指數,256.89,-,0.55,-0.21,
汽車類指數,411.36,-,2.84,-0.69,
電子工業類指數,831.78,+,8.70,1.06,
半導體類指數,379.30,+,5.83,1.56,
電腦及週邊設備類指數,229.18,-,0.53,-0.23,
光電類指數,34.65,-,0.04,-0.12,
通信網路類指數,145.27,+,1.14,0.79,
電子零組件類指數,202.62,+,2.05,1.02,
電子通路類指數,197.08,+,3.92,2.03,
資訊服務類指數,170.49,+,0.73,0.43,
其他電子類指數,104.06,-,0.29,-0.28,
建材營造類指數,382.62,+,0.74,0.19,
航運類指數,145.05,+,3.51,2.48,
觀光餐旅類指數,129.37,-,1.04,-0.80,
金融保險類指數,"1,654.74",-,6.76,-0.41,
貿易百貨類指數,278.84,-,0.85,-0.30,
油電燃氣類指數,109.49,-,1.36,-1.23,
綠能環保類指數,89.97,+,0.83,0.93,
數位雲端類指數,83.57,+,0.74,0.89,
