指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
寶島股價指數,"16,317.20",-,567.56,-3.36,
發行量加權股價指數,"14,343.08",-,482.65,-3.26,
臺灣公司治理100指數,"8,271.13",-,269.30,-3.15,
臺灣50指數,"10,979.01",-,378.31,-3.33,
臺灣50權重上限30%指數,"10,533.36",-,317.79,-2.93,
臺灣中型100指數,"12,121.82",-,477.05,-3.79,
臺灣資訊科技指數,"18,058.44",-,825.84,-4.37,
臺灣發達指數,"9,985.52",-,151.57,-1.50,
臺灣高股息指數,"6,015.19",-,170.63,-2.76,
臺灣就業99指數,"8,789.23",-,231.54,-2.57,
臺灣高薪100指數,"8,088.41",-,214.36,-2.58,
未含金融指數,"12,238.98",-,444.39,-3.50,
未含電子指數,"17,601.34",-,375.73,-2.09,
未含金融電子指數,"14,628.12",-,350.72,-2.34,
小型股300指數,"7,871.53",-,296.09,-3.63,
水泥窯製類指數,623.30,+,4.06,0.66,
塑膠化工類指數,884.53,-,15.27,-1.70,
機電類指數,"3,615.56",-,152.34,-4.04,
水泥類指數,166.12,+,2.17,1.32,
食品類指數,"1,841.69",+,2.20,0.12,
塑膠類指數,272.11,-,2.60,-0.95,
紡織纖維類指數,532.86,-,13.00,-2.38,
電機機械類指數,227.60,-,7.65,-3.25,
電器電纜類指數,89.53,-,3.20,-3.45,
化學生技醫療類指數,111.08,-,3.74,-3.26,
化學類指數,131.03,-,4.55,-3.36,
生技醫療類指數,64.26,-,2.09,-3.15,
玻璃陶瓷類指數,45.56,-,1.86,-3.92,
造紙類指數,296.02,-,12.45,-4.04,
鋼鐵類指數,134.33,-,1.01,-0.75,
橡膠類指數,240.62,-,8.01,-3.22,
汽車類指數,322.92,-,4.39,-1.34,
電子工業類指數,644.77,-,27.35,-4.07,
半導體類指數,304.01,-,15.49,-4.85,
電腦及週邊設備類指數,118.89,-,2.43,-2.00,
光電類指數,30.00,-,1.59,-5.03,
通信網路類指數,135.30,-,0.18,-0.13,
電子零組件類指數,139.12,-,6.55,-4.50,
電子通路類指數,167.52,-,6.08,-3.50,
資訊服務類指數,120.05,-,2.54,-2.07,
其他電子類指數,95.67,-,2.98,-3.02,
建材營造類指數,343.66,-,5.59,-1.60,
航運類指數,182.58,-,10.68,-5.53,
觀光類指數,95.61,-,2.95,-2.99,
金融保險類指數,"1,565.18",-,24.05,-1.51,
貿易百貨類指數,282.30,-,1.43,-0.50,
油電燃氣類指數,121.42,-,0.87,-0.71,
其他類指數,342.69,-,16.49,-4.59,
臺指日報酬兩倍指數,"26,249.53",-,"1,828.13",-6.51,
臺指反向一倍指數,"4,868.07",+,153.48,3.26,
電子類兩倍槓桿指數,"23,566.66",-,"2,087.88",-8.14,
電子類反向指數,"4,592.71",+,179.58,4.07,
價格指數(跨市場),,,,,
指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
臺灣生技指數,"3,884.05",-,175.70,-4.33,
臺灣中小型公司治理指數,"6,150.17",-,250.54,-3.91,
臺灣IPO指數,"5,228.11",-,260.42,-4.74,
智慧中立指數,"3,715.64",-,17.42,-0.47,
臺灣5G指數,"6,810.25",-,260.93,-3.69,
臺灣企業社會責任中小型指數,"7,499.83",-,260.79,-3.36,
特選臺灣電動車代表指數,"5,151.19",-,179.70,-3.37,
臺灣5G+通訊指數,"5,231.25",-,202.13,-3.72,
臺灣全市場指數,"4,820.38",-,177.48,-3.55,
