指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
寶島股價指數,"19,652.20",-,1.42,-0.01,
發行量加權股價指數,"17,263.04",-,1.70,-0.01,
臺灣公司治理100指數,"10,026.67",-,6.35,-0.06,
臺灣50指數,"13,419.39",-,37.51,-0.28,
臺灣50權重上限30%指數,"12,752.32",-,25.23,-0.20,
臺灣中型100指數,"14,455.96",+,48.63,0.34,
臺灣資訊科技指數,"22,920.52",-,136.01,-0.59,
臺灣發達指數,"11,400.02",+,70.83,0.63,
臺灣高股息指數,"8,045.98",+,61.02,0.76,
臺灣就業99指數,"10,312.12",+,37.27,0.36,
臺灣高薪100指數,"9,587.71",+,23.10,0.24,
未含金融指數,"14,899.10",-,15.51,-0.10,
未含電子指數,"20,039.59",+,138.95,0.70,
未含金融電子指數,"16,845.21",+,116.14,0.69,
小型股300指數,"9,128.76",+,26.39,0.29,
水泥窯製類指數,722.24,+,4.42,0.62,
塑膠化工類指數,955.31,+,7.81,0.82,
機電類指數,"4,487.52",-,20.36,-0.45,
水泥類指數,187.02,+,0.98,0.53,
食品類指數,"1,863.91",-,12.98,-0.69,
塑膠類指數,290.81,+,2.00,0.69,
紡織纖維類指數,580.09,+,3.49,0.61,
電機機械類指數,226.35,-,1.32,-0.58,
電器電纜類指數,85.92,+,1.60,1.90,
化學生技醫療類指數,119.07,+,1.35,1.15,
化學類指數,149.26,+,2.91,1.99,
生技醫療類指數,63.50,-,0.02,-0.03,
玻璃陶瓷類指數,63.64,+,0.71,1.13,
造紙類指數,385.41,+,3.73,0.98,
鋼鐵類指數,186.92,+,1.95,1.05,
橡膠類指數,284.39,+,2.81,1.00,
汽車類指數,315.19,+,0.11,0.03,
電子工業類指數,805.88,-,3.75,-0.46,
半導體類指數,398.03,-,2.42,-0.60,
電腦及週邊設備類指數,142.42,+,0.31,0.22,
光電類指數,39.72,+,0.49,1.25,
通信網路類指數,134.65,+,0.23,0.17,
電子零組件類指數,181.16,-,2.02,-1.10,
