指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
寶島股價指數,"19,615.25",-,131.44,-0.67,
發行量加權股價指數,"17,202.11",-,121.76,-0.70,
臺灣公司治理100指數,"9,988.85",-,114.28,-1.13,
臺灣50指數,"13,732.57",-,196.16,-1.41,
臺灣50權重上限30%指數,"13,018.56",-,171.94,-1.30,
臺灣中型100指數,"13,218.18",+,123.79,0.95,
臺灣資訊科技指數,"23,916.37",-,317.94,-1.31,
臺灣發達指數,"11,408.86",-,5.56,-0.05,
臺灣高股息指數,"8,253.64",+,18.69,0.23,
臺灣就業99指數,"10,221.55",+,64.27,0.63,
臺灣高薪100指數,"8,929.89",-,47.58,-0.53,
未含金融指數,"15,151.53",-,107.18,-0.70,
未含電子指數,"18,738.99",+,6.76,0.04,
未含金融電子指數,"16,410.28",+,52.73,0.32,
小型股300指數,"9,389.97",+,60.90,0.65,
水泥窯製類指數,831.05,+,45.39,5.78,
塑膠化工類指數,"1,038.85",-,3.34,-0.32,
機電類指數,"4,658.41",-,53.52,-1.14,
水泥類指數,216.40,+,10.88,5.29,
食品類指數,"1,974.90",-,3.26,-0.16,
塑膠類指數,309.99,-,3.01,-0.96,
紡織纖維類指數,661.05,-,3.63,-0.55,
電機機械類指數,265.76,-,4.35,-1.61,
電器電纜類指數,77.40,-,0.24,-0.31,
化學生技醫療類指數,116.86,+,0.11,0.09,
化學類指數,130.27,+,0.71,0.55,
生技醫療類指數,71.86,-,0.29,-0.40,
玻璃陶瓷類指數,71.63,+,5.70,8.65,
造紙類指數,462.08,+,12.39,2.76,
鋼鐵類指數,178.36,-,0.37,-0.21,
橡膠類指數,412.82,+,9.10,2.25,
汽車類指數,351.04,-,6.85,-1.91,
電子工業類指數,834.88,-,9.53,-1.13,
半導體類指數,409.04,-,6.31,-1.52,
電腦及週邊設備類指數,146.05,-,0.65,-0.44,
光電類指數,51.74,+,0.88,1.73,
通信網路類指數,132.39,-,0.64,-0.48,
電子零組件類指數,176.68,-,2.06,-1.15,
電子通路類指數,167.14,+,0.37,0.22,
資訊服務類指數,137.34,-,0.13,-0.09,
其他電子類指數,110.88,-,1.34,-1.19,
建材營造類指數,377.26,+,3.30,0.88,
航運類指數,165.11,+,12.48,8.18,
觀光類指數,112.20,+,0.08,0.07,
金融保險類指數,"1,465.66",-,10.43,-0.71,
貿易百貨類指數,290.21,+,0.10,0.03,
油電燃氣類指數,128.59,-,4.80,-3.60,
其他類指數,366.27,-,3.47,-0.94,
臺指日報酬兩倍指數,"39,229.14",-,559.30,-1.41,
臺指反向一倍指數,"4,215.78",+,29.42,0.70,
電子類兩倍槓桿指數,"41,509.15",-,958.58,-2.26,
電子類反向指數,"3,724.79",+,41.57,1.13,
價格指數(跨市場),,,,,
指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
臺灣生技指數,"4,737.91",-,17.30,-0.36,
臺灣中小型公司治理指數,"7,772.45",-,40.63,-0.52,
臺灣IPO指數,"7,782.86",-,94.41,-1.20,
智慧中立指數,"4,496.49",+,16.00,0.36,
臺灣企業社會責任中小型指數,"7,541.36",+,131.38,1.77,
臺灣5G+通訊指數,"6,786.56",-,90.70,-1.32,
臺灣全市場指數,"5,877.27",-,37.18,-0.63,
臺灣全市場半導體指數,"6,066.78",-,70.55,-1.15,
價格指數(臺灣指數公司),,,,,
指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
金融類日報酬兩倍指數,"24,969.10",-,357.92,-1.41,
金融類日報酬反向一倍指數,"5,478.85",+,38.44,0.71,
漲升股利150指數,"9,314.55",-,31.40,-0.34,
漲升股利100指數,"8,354.88",-,97.71,-1.16,
藍籌30指數,"8,617.76",-,114.06,-1.31,
工業菁英30指數,"9,623.14",-,145.33,-1.49,
電子菁英30指數,"9,188.58",-,134.43,-1.44,
低波動股利精選30指數,"6,708.66",-,21.07,-0.31,
低貝塔100指數,"7,538.43",-,29.47,-0.39,
中小型精選50指數,"7,480.04",+,66.10,0.89,
中小型A級動能50指數,"15,839.09",+,291.82,1.88,
特選高息低波指數,"7,424.05",+,36.94,0.50,
臺灣永續指數,"8,738.78",-,88.20,-1.00,
特選內需高收益指數,"6,292.17",+,36.30,0.58,
價值投資指數,"8,261.95",-,7.75,-0.09,
中小型300指數,"8,851.45",+,40.69,0.46,
臺灣勞工權益指數,"7,594.59",-,56.42,-0.74,
智慧投資多因子30指數,"6,382.60",-,7.11,-0.11,
臺股期貨指數,"8,154.86",-,56.15,-0.68,
臺灣上櫃企業社會責任指數,"6,589.41",+,12.85,0.20,
特選Smart多因子指數,"6,602.25",-,42.01,-0.63,
報酬指數(臺灣證券交易所),,,,,
報酬指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
寶島股價報酬指數,"25,549.56",-,171.15,-0.67,
發行量加權股價報酬指數,"33,265.38",-,235.46,-0.70,
臺灣公司治理100報酬指數,"12,750.93",-,145.87,-1.13,
臺灣50報酬指數,"26,906.24",-,384.36,-1.41,
臺灣50權重上限30%報酬指數,"25,509.04",-,336.92,-1.30,
臺灣中型100報酬指數,"23,820.69",+,223.09,0.95,
臺灣資訊科技股報酬指數,"44,317.94",-,589.15,-1.31,
臺灣發達報酬指數,"20,115.82",-,9.81,-0.05,
臺灣高股息報酬指數,"19,664.11",+,44.53,0.23,
臺灣就業99報酬指數,"14,650.79",+,92.11,0.63,
臺灣高薪100報酬指數,"11,671.17",-,62.18,-0.53,
未含金融電子報酬指數,"32,085.15",+,103.11,0.32,
小型股300報酬指數,"11,484.65",+,74.49,0.65,
水泥類報酬指數,384.33,+,19.32,5.29,
食品類報酬指數,"2,860.06",-,4.72,-0.16,
塑膠類報酬指數,510.85,-,4.95,-0.96,
紡織纖維類報酬指數,"1,012.23",-,5.56,-0.55,
電機機械類報酬指數,383.64,-,6.28,-1.61,
電器電纜類報酬指數,110.17,-,0.33,-0.30,
化學生技醫療類報酬指數,173.04,+,0.17,0.10,
化學類報酬指數,204.93,+,1.11,0.54,
生技醫療類報酬指數,96.88,-,0.39,-0.40,
玻璃陶瓷類報酬指數,82.28,+,6.54,8.63,
造紙類報酬指數,663.49,+,17.78,2.75,
鋼鐵類報酬指數,273.48,-,0.55,-0.20,
橡膠類報酬指數,619.79,+,13.66,2.25,
汽車類報酬指數,524.90,-,10.25,-1.92,
電子工業類報酬指數,"1,474.33",-,16.83,-1.13,
半導體類報酬指數,686.44,-,10.58,-1.52,
電腦及週邊設備類報酬指數,285.02,-,1.26,-0.44,
光電類報酬指數,70.74,+,1.20,1.73,
通信網路類報酬指數,259.35,-,1.26,-0.48,
電子零組件類報酬指數,309.63,-,3.61,-1.15,
電子通路類報酬指數,352.22,+,0.77,0.22,
資訊服務類報酬指數,286.03,-,0.28,-0.10,
其他電子類報酬指數,164.67,-,2.00,-1.20,
建材營造類報酬指數,684.18,+,5.99,0.88,
航運類報酬指數,230.79,+,17.45,8.18,
觀光類報酬指數,148.39,+,0.10,0.07,
金融保險類報酬指數,"2,335.82",-,16.63,-0.71,
貿易百貨類報酬指數,428.52,+,0.15,0.04,
油電燃氣類報酬指數,193.54,-,7.23,-3.60,
其他類報酬指數,583.32,-,5.53,-0.94,
報酬指數(跨市場),,,,,
報酬指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
臺灣生技報酬指數,"5,077.21",-,18.53,-0.36,
臺灣中小型公司治理報酬指數,"9,341.70",-,48.83,-0.52,
臺灣IPO報酬指數,"8,525.76",-,103.43,-1.20,
智慧中立報酬指數,"4,723.47",+,16.80,0.36,
加權指數掩護性臺指買權價外5%報酬指數,"7,121.08",-,10.76,-0.15,
