指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
寶島股價指數,"19,559.34",-,71.52,-0.36,
發行量加權股價指數,"17,235.61",-,49.39,-0.29,
臺灣公司治理100指數,"10,092.74",-,28.51,-0.28,
臺灣50指數,"13,745.97",-,157.75,-1.13,
臺灣50權重上限30%指數,"13,063.76",-,120.49,-0.91,
臺灣中型100指數,"13,316.36",+,124.79,0.95,
臺灣資訊科技指數,"23,545.89",-,564.35,-2.34,
臺灣發達指數,"11,698.00",+,271.86,2.38,
臺灣高股息指數,"8,299.17",+,14.23,0.17,
臺灣就業99指數,"10,213.41",+,10.28,0.10,
臺灣高薪100指數,"9,071.37",+,71.28,0.79,
未含金融指數,"15,063.07",-,105.41,-0.69,
未含電子指數,"19,523.35",+,551.48,2.91,
未含金融電子指數,"16,916.03",+,458.97,2.79,
小型股300指數,"9,249.19",+,71.76,0.78,
水泥窯製類指數,835.51,+,21.88,2.69,
塑膠化工類指數,"1,013.74",+,9.18,0.91,
機電類指數,"4,566.08",-,95.13,-2.04,
水泥類指數,208.07,+,2.88,1.40,
食品類指數,"1,987.10",+,24.12,1.23,
塑膠類指數,303.97,+,2.95,0.98,
紡織纖維類指數,722.12,+,30.06,4.34,
電機機械類指數,259.82,+,3.78,1.48,
電器電纜類指數,97.50,+,4.23,4.54,
化學生技醫療類指數,115.66,+,0.84,0.73,
化學類指數,130.68,+,1.52,1.18,
生技醫療類指數,70.01,+,0.13,0.19,
玻璃陶瓷類指數,89.98,+,7.22,8.72,
造紙類指數,457.22,+,25.96,6.02,
鋼鐵類指數,207.65,+,15.59,8.12,
橡膠類指數,385.44,+,3.26,0.85,
汽車類指數,347.54,+,2.38,0.69,
電子工業類指數,817.11,-,18.10,-2.17,
半導體類指數,403.88,-,10.01,-2.42,
電腦及週邊設備類指數,144.81,-,0.77,-0.53,
光電類指數,48.65,-,1.53,-3.05,
通信網路類指數,129.95,-,0.25,-0.19,
電子零組件類指數,167.73,-,4.20,-2.44,
電子通路類指數,166.81,+,0.29,0.17,
資訊服務類指數,134.89,-,0.75,-0.55,
其他電子類指數,105.12,-,3.00,-2.77,
建材營造類指數,374.81,+,5.14,1.39,
航運類指數,190.80,+,13.43,7.57,
觀光類指數,106.18,+,1.98,1.90,
金融保險類指數,"1,569.43",+,48.75,3.21,
貿易百貨類指數,291.94,+,3.05,1.06,
油電燃氣類指數,138.82,+,3.05,2.25,
其他類指數,358.70,+,4.53,1.28,
臺指日報酬兩倍指數,"39,322.71",-,226.01,-0.57,
臺指反向一倍指數,"4,201.25",+,11.97,0.29,
電子類兩倍槓桿指數,"39,639.65",-,"1,795.92",-4.33,
電子類反向指數,"3,794.25",+,80.48,2.17,
價格指數(跨市場),,,,,
指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
臺灣生技指數,"4,557.17",+,5.37,0.12,
臺灣中小型公司治理指數,"7,763.07",+,13.93,0.18,
臺灣IPO指數,"7,313.27",-,67.97,-0.92,
智慧中立指數,"4,404.19",-,8.41,-0.19,
臺灣企業社會責任中小型指數,"7,739.89",+,142.34,1.87,
臺灣5G+通訊指數,"6,658.14",-,211.55,-3.08,
臺灣全市場指數,"5,854.30",-,30.24,-0.51,
臺灣全市場半導體指數,"5,909.01",-,208.57,-3.41,
價格指數(臺灣指數公司),,,,,
指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
金融類日報酬兩倍指數,"28,568.96",+,"1,721.36",6.41,
金融類日報酬反向一倍指數,"5,105.27",-,169.09,-3.21,
漲升股利150指數,"9,233.73",-,22.65,-0.24,
漲升股利100指數,"8,282.12",-,11.73,-0.14,
藍籌30指數,"8,666.91",-,88.17,-1.01,
工業菁英30指數,"9,565.43",-,231.14,-2.36,
電子菁英30指數,"9,014.14",-,234.13,-2.53,
低波動股利精選30指數,"6,966.22",+,159.77,2.35,
低貝塔100指數,"7,569.26",+,39.00,0.52,
中小型精選50指數,"7,438.36",+,80.77,1.10,
中小型A級動能50指數,"16,105.18",+,322.91,2.05,
特選高息低波指數,"7,436.31",+,63.91,0.87,
臺灣永續指數,"8,768.42",-,66.81,-0.76,
特選內需高收益指數,"6,277.21",+,59.05,0.95,
價值投資指數,"8,302.51",+,88.06,1.07,
中小型300指數,"8,833.26",+,104.24,1.19,
臺灣勞工權益指數,"7,765.14",+,59.73,0.78,
智慧投資多因子30指數,"6,273.78",-,26.96,-0.43,
臺股期貨指數,"8,197.67",-,28.07,-0.34,
臺灣上櫃企業社會責任指數,"6,366.56",-,36.43,-0.57,
特選Smart多因子指數,"6,680.57",-,16.75,-0.25,
報酬指數(臺灣證券交易所),,,,,
報酬指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
寶島股價報酬指數,"25,482.56",-,93.18,-0.36,
發行量加權股價報酬指數,"33,337.53",-,95.54,-0.29,
臺灣公司治理100報酬指數,"12,886.92",-,36.40,-0.28,
臺灣50報酬指數,"26,932.50",-,309.09,-1.13,
臺灣50權重上限30%報酬指數,"25,597.63",-,236.09,-0.91,
臺灣中型100報酬指數,"24,029.57",+,225.18,0.95,
臺灣資訊科技股報酬指數,"43,643.40",-,"1,046.05",-2.34,
臺灣發達報酬指數,"20,630.40",+,479.46,2.38,
臺灣高股息報酬指數,"19,824.99",+,33.97,0.17,
臺灣就業99報酬指數,"14,646.94",+,14.74,0.10,
臺灣高薪100報酬指數,"11,862.23",+,93.22,0.79,
未含金融電子報酬指數,"33,080.76",+,897.56,2.79,
小型股300報酬指數,"11,314.69",+,87.79,0.78,
水泥類報酬指數,369.54,+,5.11,1.40,
食品類報酬指數,"2,885.85",+,35.03,1.23,
塑膠類報酬指數,500.94,+,4.88,0.98,
紡織纖維類報酬指數,"1,106.24",+,46.06,4.34,
電機機械類報酬指數,375.07,+,5.46,1.48,
電器電纜類報酬指數,138.77,+,6.02,4.53,
化學生技醫療類報酬指數,171.25,+,1.23,0.72,
化學類報酬指數,205.59,+,2.41,1.19,
生技醫療類報酬指數,94.40,+,0.19,0.20,
玻璃陶瓷類報酬指數,103.37,+,8.30,8.73,
造紙類報酬指數,656.52,+,37.27,6.02,
鋼鐵類報酬指數,318.39,+,23.92,8.12,
橡膠類報酬指數,578.67,+,4.88,0.85,
汽車類報酬指數,519.67,+,3.55,0.69,
電子工業類報酬指數,"1,443.32",-,31.97,-2.17,
半導體類報酬指數,677.78,-,16.79,-2.42,
電腦及週邊設備類報酬指數,283.39,-,1.51,-0.53,
光電類報酬指數,66.52,-,2.09,-3.05,
通信網路類報酬指數,254.57,-,0.49,-0.19,
電子零組件類報酬指數,293.94,-,7.36,-2.44,
電子通路類報酬指數,352.58,+,0.61,0.17,
資訊服務類報酬指數,280.94,-,1.56,-0.55,
其他電子類報酬指數,156.14,-,4.46,-2.78,
建材營造類報酬指數,679.73,+,9.32,1.39,
航運類報酬指數,266.70,+,18.78,7.58,
觀光類報酬指數,140.43,+,2.61,1.89,
金融保險類報酬指數,"2,501.19",+,77.69,3.21,
貿易百貨類報酬指數,431.16,+,4.51,1.06,
