指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
寶島股價指數,"24,236.89",-,129.26,-0.53,
發行量加權股價指數,"21,536.57",-,115.67,-0.53,
臺灣公司治理100指數,"12,842.44",-,85.06,-0.66,
臺灣50指數,"18,068.16",-,137.57,-0.76,
臺灣50權重上限30%指數,"15,623.13",-,113.52,-0.72,
臺灣中型100指數,"18,233.90",-,24.04,-0.13,
臺灣資訊科技指數,"35,527.11",-,245.68,-0.69,
臺灣發達指數,"9,665.50",-,36.31,-0.37,
臺灣高股息指數,"9,243.12",-,37.59,-0.41,
臺灣就業99指數,"12,759.30",-,59.23,-0.46,
臺灣高薪100指數,"11,732.17",-,89.36,-0.76,
未含金融指數,"18,668.98",-,91.78,-0.49,
未含電子指數,"18,826.92",-,109.15,-0.58,
未含金融電子指數,"13,968.57",-,55.46,-0.40,
小型股300指數,"10,487.31",-,3.04,-0.03,
水泥窯製類指數,561.64,-,0.22,-0.04,
塑膠化工類指數,580.94,-,1.90,-0.33,
機電類指數,"6,520.07",-,34.07,-0.52,
水泥類指數,149.20,,--,--,
食品類指數,"2,114.26",-,1.51,-0.07,
塑膠類指數,103.49,-,1.08,-1.03,
紡織纖維類指數,554.03,+,4.59,0.84,
電機機械類指數,373.55,-,2.80,-0.74,
電器電纜類指數,85.51,-,0.24,-0.28,
化學生技醫療類指數,129.16,+,0.34,0.26,
化學類指數,157.15,+,0.41,0.26,
生技醫療類指數,71.27,+,0.20,0.28,
玻璃陶瓷類指數,41.44,-,0.15,-0.36,
造紙類指數,271.45,-,0.01,--,
鋼鐵類指數,120.44,-,0.52,-0.43,
橡膠類指數,262.90,-,2.53,-0.95,
汽車類指數,358.34,+,0.88,0.25,
電子工業類指數,"1,170.29",-,6.07,-0.52,
半導體類指數,596.68,-,5.25,-0.87,
電腦及週邊設備類指數,259.17,+,3.16,1.23,
光電類指數,35.41,-,0.28,-0.78,
通信網路類指數,168.04,+,0.13,0.08,
電子零組件類指數,219.35,-,0.12,-0.05,
電子通路類指數,241.79,-,0.58,-0.24,
資訊服務類指數,217.06,-,1.51,-0.69,
其他電子類指數,146.65,-,0.62,-0.42,
建材營造類指數,529.74,+,2.10,0.40,
航運類指數,219.05,-,4.31,-1.93,
觀光餐旅類指數,120.25,-,0.10,-0.08,
金融保險類指數,"2,096.69",-,18.80,-0.89,
貿易百貨類指數,261.80,-,0.83,-0.32,
油電燃氣類指數,58.50,+,1.25,2.18,
綠能環保類指數,106.60,-,1.02,-0.95,
數位雲端類指數,54.82,-,0.17,-0.31,
運動休閒類指數,80.62,-,0.34,-0.42,
居家生活類指數,122.63,+,1.25,1.03,
其他類指數,298.32,-,2.76,-0.92,
臺指日報酬兩倍指數,"52,564.35",-,567.68,-1.07,
臺指反向一倍指數,"2,879.51",+,15.30,0.53,
電子類兩倍槓桿指數,"65,194.66",-,679.82,-1.03,
電子類反向指數,"2,127.80",+,10.92,0.52,
價格指數(跨市場),,,,,
指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
臺灣生技指數,"3,553.64",-,2.20,-0.06,
臺灣中小型公司治理指數,"9,495.01",-,5.58,-0.06,
臺灣IPO指數,"5,496.69",-,42.62,-0.77,
智慧中立指數,"3,897.21",+,4.96,0.13,
臺灣5G指數,"10,851.41",-,81.16,-0.74,
臺灣企業社會責任中小型指數,"10,911.15",-,15.05,-0.14,
特選臺灣電動車代表指數,"9,221.91",+,11.29,0.12,
臺灣科技龍頭通訊指數,"9,516.67",-,57.79,-0.60,
臺灣全市場指數,"7,431.98",-,42.75,-0.57,
臺灣全市場半導體指數,"7,196.70",-,69.69,-0.96,
臺灣智慧移動與電動車指數,"5,459.47",-,21.87,-0.40,
特選小資高價30指數,"7,513.86",-,23.45,-0.31,
特選臺灣綠能及電動車指數,"5,662.21",-,12.09,-0.21,
特選臺灣智能車供應鏈聯盟指數,"6,742.42",-,37.71,-0.56,
臺灣全市場半導體精選30指數,"5,654.55",-,51.76,-0.91,
特選臺灣高股息30指數,"4,907.05",-,47.50,-0.96,
臺灣友善環境指數,"6,666.21",-,41.98,-0.63,
台灣永續價值指數,"6,040.39",-,32.42,-0.53,
特選臺灣IC設計指數,"4,208.57",-,28.61,-0.68,
特選臺灣環境永續高股息指數,"6,908.41",-,86.53,-1.24,
臺灣友善環境50指數,"5,524.14",-,38.77,-0.70,
特選臺灣IC設計產業代表指數,"5,333.24",+,5.60,0.11,
特選臺灣綠能指數,"4,872.64",-,59.85,-1.21,
特選臺灣智慧50指數,"5,182.00",-,54.00,-1.03,
臺灣晶圓製造指數,"5,689.35",-,45.48,-0.79,
臺灣精選高息指數,"5,448.31",-,60.96,-1.11,
臺灣多因子優選高股息30指數,"8,234.59",-,85.32,-1.03,
特選臺灣優利高填息30指數,"7,302.91",-,62.57,-0.85,
特選臺灣科技優息指數,"8,439.63",-,41.23,-0.49,
臺灣半導體收益指數,"6,370.16",-,48.09,-0.75,
臺灣優選成長高股息指數,"7,395.16",-,20.69,-0.28,
特選臺灣ESG低碳高息40指數,"7,830.51",-,64.68,-0.82,
臺灣優選多因子30指數,"8,486.69",-,136.09,-1.58,
臺灣創新科技50指數,"7,105.23",-,47.55,-0.66,
臺灣全市場新經濟產業指數,"4,368.21",-,6.75,-0.15,
