指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
寶島股價指數,"17,154.19",+,50.20,0.29,
發行量加權股價指數,"14,953.63",+,27.44,0.18,
臺灣公司治理100指數,"8,574.79",-,6.12,-0.07,
臺灣50指數,"11,437.03",-,17.64,-0.15,
臺灣50權重上限30%指數,"10,817.82",-,5.29,-0.05,
臺灣中型100指數,"12,923.89",+,114.06,0.89,
臺灣資訊科技指數,"19,451.27",-,5.07,-0.03,
臺灣發達指數,"9,836.61",+,43.11,0.44,
臺灣高股息指數,"6,091.55",+,27.52,0.45,
臺灣就業99指數,"8,998.41",+,32.48,0.36,
臺灣高薪100指數,"8,175.00",+,3.92,0.05,
未含金融指數,"12,838.44",+,34.07,0.27,
未含電子指數,"17,577.49",+,24.02,0.14,
未含金融電子指數,"14,609.48",+,54.89,0.38,
小型股300指數,"8,395.64",+,77.82,0.94,
水泥窯製類指數,636.76,+,0.44,0.07,
塑膠化工類指數,832.63,+,2.70,0.33,
機電類指數,"3,875.52",+,9.08,0.23,
水泥類指數,169.83,-,0.10,-0.06,
食品類指數,"1,840.08",+,3.29,0.18,
塑膠類指數,237.41,-,0.16,-0.07,
紡織纖維類指數,572.50,+,6.32,1.12,
電機機械類指數,227.67,+,1.50,0.66,
電器電纜類指數,95.31,+,1.27,1.35,
化學生技醫療類指數,123.13,+,1.22,1.00,
化學類指數,141.50,+,1.21,0.86,
生技醫療類指數,73.12,+,0.82,1.13,
玻璃陶瓷類指數,46.30,+,0.45,0.98,
造紙類指數,303.26,+,1.69,0.56,
鋼鐵類指數,138.31,+,1.01,0.74,
橡膠類指數,246.17,+,2.10,0.86,
汽車類指數,327.90,+,2.78,0.86,
電子工業類指數,692.40,+,1.48,0.21,
半導體類指數,328.41,-,0.86,-0.26,
電腦及週邊設備類指數,122.40,+,1.03,0.85,
光電類指數,33.72,+,0.86,2.62,
通信網路類指數,136.25,+,0.74,0.55,
電子零組件類指數,156.62,+,1.48,0.95,
電子通路類指數,173.39,+,1.55,0.90,
資訊服務類指數,128.63,+,0.70,0.55,
其他電子類指數,101.47,+,0.85,0.84,
建材營造類指數,358.93,+,2.96,0.83,
航運類指數,188.11,+,0.13,0.07,
觀光類指數,99.24,+,1.05,1.07,
金融保險類指數,"1,562.91",-,6.42,-0.41,
貿易百貨類指數,287.31,-,1.36,-0.47,
油電燃氣類指數,109.55,-,0.59,-0.54,
其他類指數,353.70,+,2.07,0.59,
臺指日報酬兩倍指數,"28,365.74",+,103.91,0.37,
臺指反向一倍指數,"4,642.13",-,8.55,-0.18,
電子類兩倍槓桿指數,"26,937.82",+,114.91,0.43,
電子類反向指數,"4,238.52",-,9.10,-0.21,
價格指數(跨市場),,,,,
指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
臺灣生技指數,"4,645.88",+,88.09,1.93,
臺灣中小型公司治理指數,"6,684.90",+,30.77,0.46,
臺灣IPO指數,"5,368.18",+,68.54,1.29,
智慧中立指數,"3,630.48",-,26.70,-0.73,
臺灣5G指數,"7,220.88",+,26.91,0.37,
臺灣企業社會責任中小型指數,"7,823.17",+,36.36,0.47,
特選臺灣電動車代表指數,"5,647.32",+,91.53,1.65,
臺灣5G+通訊指數,"5,527.37",+,20.72,0.38,
臺灣全市場指數,"5,088.42",+,12.78,0.25,
臺灣全市場半導體指數,"4,626.45",+,7.72,0.17,
臺灣電動車與自駕科技永續概念指數,"4,024.48",+,21.18,0.53,
臺灣智慧移動與電動車指數,"3,679.19",+,18.83,0.51,
特選小資高價30指數,"4,272.28",+,10.89,0.26,
特選臺灣綠能及電動車指數,"4,311.22",+,30.07,0.70,
特選臺灣智能車供應鏈聯盟指數,"4,112.75",+,22.58,0.55,
臺灣全市場半導體精選30指數,"3,634.23",+,0.48,0.01,
特選臺灣高股息30指數,"3,762.05",+,25.48,0.68,
臺灣友善環境指數,"4,472.47",+,10.75,0.24,
台灣永續價值指數,"4,198.62",-,0.56,-0.01,
特選臺灣IC設計指數,"2,706.45",-,6.14,-0.23,
特選臺灣環境永續高股息指數,"3,933.11",+,24.89,0.64,
臺灣友善環境50指數,"3,893.98",+,2.35,0.06,
特選台灣策略高股息30指數,"3,704.15",+,7.35,0.20,
特選臺灣IC設計產業代表指數,"3,172.71",-,17.87,-0.56,
特選臺灣綠能指數,"4,750.67",+,69.68,1.49,
特選臺灣成長高股息指數,"3,672.26",+,17.75,0.49,
特選臺灣智慧50指數,"3,758.18",+,2.36,0.06,
特選臺灣標竿PCB指數,"3,775.46",+,51.96,1.40,
臺灣晶圓製造指數,"4,192.16",+,21.89,0.52,
臺灣精選高息指數,"3,704.29",+,14.63,0.40,
臺灣多因子優選高股息30指數,"4,661.00",+,12.70,0.27,
特選臺灣優利高填息30指數,"4,346.46",+,7.77,0.18,
價格指數(臺灣指數公司),,,,,
指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
金融類日報酬兩倍指數,"27,194.35",-,224.34,-0.82,
金融類日報酬反向一倍指數,"4,921.90",+,20.05,0.41,
漲升股利150指數,"7,694.25",+,15.02,0.20,
藍籌30指數,"7,182.44",-,6.10,-0.08,
工業菁英30指數,"7,584.58",+,19.57,0.26,
電子菁英30指數,"7,286.58",+,30.16,0.42,
低波動股利精選30指數,"6,882.20",-,11.09,-0.16,
中小型A級動能50指數,"13,747.57",+,278.99,2.07,
