指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
寶島股價指數,"18,902.98",+,392.32,2.12,
發行量加權股價指數,"16,610.62",+,344.40,2.12,
臺灣公司治理100指數,"9,642.33",+,219.87,2.33,
臺灣50指數,"12,867.57",+,303.07,2.41,
臺灣50權重上限30%指數,"12,237.92",+,259.19,2.16,
臺灣中型100指數,"14,017.22",+,277.04,2.02,
臺灣資訊科技指數,"21,900.75",+,582.99,2.73,
臺灣發達指數,"11,039.38",+,135.83,1.25,
臺灣高股息指數,"7,330.23",+,67.98,0.94,
臺灣就業99指數,"9,918.40",+,211.90,2.18,
臺灣高薪100指數,"9,276.10",+,178.68,1.96,
未含金融指數,"14,314.60",+,297.97,2.13,
未含電子指數,"19,476.13",+,282.05,1.47,
未含金融電子指數,"16,362.81",+,197.75,1.22,
小型股300指數,"8,826.43",+,144.90,1.67,
水泥窯製類指數,668.80,+,8.54,1.29,
塑膠化工類指數,926.18,+,11.11,1.21,
機電類指數,"4,305.91",+,106.50,2.54,
水泥類指數,173.86,+,1.81,1.05,
食品類指數,"1,845.81",+,24.70,1.36,
塑膠類指數,281.65,+,2.68,0.96,
紡織纖維類指數,579.10,+,9.97,1.75,
電機機械類指數,234.03,+,4.08,1.77,
電器電纜類指數,110.61,+,3.36,3.13,
化學生技醫療類指數,119.44,+,2.28,1.95,
化學類指數,149.16,+,2.91,1.99,
生技醫療類指數,64.01,+,1.17,1.86,
玻璃陶瓷類指數,57.59,+,1.55,2.77,
造紙類指數,335.09,+,5.68,1.72,
鋼鐵類指數,163.23,+,1.10,0.68,
橡膠類指數,256.49,+,3.16,1.25,
汽車類指數,330.40,+,6.20,1.91,
電子工業類指數,770.38,+,19.15,2.55,
半導體類指數,378.57,+,11.30,3.08,
電腦及週邊設備類指數,132.32,+,2.70,2.08,
光電類指數,34.31,+,0.49,1.45,
通信網路類指數,137.35,+,1.54,1.13,
電子零組件類指數,170.93,+,4.67,2.81,
電子通路類指數,197.14,-,1.30,-0.66,
資訊服務類指數,128.29,+,0.71,0.56,
其他電子類指數,101.74,+,0.77,0.76,
建材營造類指數,372.62,+,3.21,0.87,
航運類指數,272.01,+,0.16,0.06,
觀光類指數,95.77,+,2.91,3.13,
金融保險類指數,"1,688.95",+,33.98,2.05,
貿易百貨類指數,289.61,+,0.52,0.18,
油電燃氣類指數,125.38,+,1.57,1.27,
其他類指數,370.09,+,8.72,2.41,
臺指日報酬兩倍指數,"35,395.65",+,"1,437.95",4.23,
臺指反向一倍指數,"4,225.58",-,91.40,-2.12,
電子類兩倍槓桿指數,"33,889.48",+,"1,643.97",5.10,
電子類反向指數,"3,870.91",-,101.26,-2.55,
價格指數(跨市場),,,,,
指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
臺灣生技指數,"4,000.14",+,56.51,1.43,
臺灣中小型公司治理指數,"7,154.53",+,132.92,1.89,
臺灣IPO指數,"6,599.57",+,166.01,2.58,
智慧中立指數,"4,063.89",-,1.60,-0.04,
臺灣5G指數,"8,519.51",+,211.90,2.55,
臺灣企業社會責任中小型指數,"8,488.80",+,135.77,1.63,
特選臺灣電動車代表指數,"5,722.29",+,94.63,1.68,
臺灣5G+通訊指數,"6,240.32",+,147.22,2.42,
臺灣全市場指數,"5,631.54",+,121.12,2.20,
臺灣全市場半導體指數,"5,665.92",+,169.15,3.08,
臺灣電動車與自駕科技永續概念指數,"4,606.98",+,117.50,2.62,
臺灣智慧移動與電動車指數,"4,386.35",+,109.02,2.55,
特選小資高價30指數,"4,861.42",+,149.80,3.18,
特選臺灣綠能及電動車指數,"4,671.40",+,86.31,1.88,
特選臺灣智能車供應鏈聯盟指數,"4,548.47",+,105.39,2.37,
臺灣全市場半導體精選30指數,"4,490.03",+,139.47,3.21,
特選臺灣高股息30指數,"4,714.34",+,84.68,1.83,
臺灣友善環境指數,"5,131.16",+,106.85,2.13,
台灣永續價值指數,"4,621.53",+,103.74,2.30,
特選臺灣IC設計指數,"3,716.69",+,121.76,3.39,
特選臺灣環境永續高股息指數,"4,624.15",+,48.35,1.06,
臺灣友善環境50指數,"4,482.92",+,92.04,2.10,
特選台灣策略高股息30指數,"4,588.20",+,96.94,2.16,
特選臺灣IC設計產業代表指數,"4,135.89",+,125.61,3.13,
特選臺灣綠能指數,"4,830.09",+,109.15,2.31,
特選臺灣成長高股息指數,"4,534.89",+,78.12,1.75,
特選臺灣智慧50指數,"4,681.02",+,98.85,2.16,
特選臺灣標竿PCB指數,"4,625.48",+,144.71,3.23,
價格指數(臺灣指數公司),,,,,
指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
金融類日報酬兩倍指數,"32,036.65",+,"1,263.67",4.11,
