指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
寶島股價指數,"23,051.87",+,444.81,1.97,
發行量加權股價指數,"20,199.09",+,414.64,2.10,
臺灣公司治理100指數,"11,627.65",+,274.15,2.41,
臺灣50指數,"15,857.08",+,402.21,2.60,
臺灣50權重上限30%指數,"14,338.72",+,310.70,2.21,
臺灣中型100指數,"19,555.84",+,282.83,1.47,
臺灣資訊科技指數,"31,437.64",+,797.42,2.60,
臺灣發達指數,"9,880.84",+,194.50,2.01,
臺灣高股息指數,"9,756.00",+,99.10,1.03,
臺灣就業99指數,"12,693.39",+,217.07,1.74,
臺灣高薪100指數,"10,871.36",+,163.67,1.53,
未含金融指數,"17,671.97",+,370.16,2.14,
未含電子指數,"18,947.12",+,246.85,1.32,
未含金融電子指數,"15,188.68",+,169.26,1.13,
小型股300指數,"10,877.76",+,130.73,1.22,
水泥窯製類指數,583.82,+,9.45,1.65,
塑膠化工類指數,753.27,+,9.22,1.24,
機電類指數,"5,962.08",+,144.45,2.48,
水泥類指數,152.12,+,2.53,1.69,
食品類指數,"2,121.21",+,2.66,0.13,
塑膠類指數,187.49,+,3.29,1.79,
紡織纖維類指數,636.98,+,5.31,0.84,
電機機械類指數,413.37,+,11.96,2.98,
電器電纜類指數,107.38,+,2.12,2.01,
化學生技醫療類指數,130.96,+,0.79,0.61,
化學類指數,171.68,+,3.40,2.02,
生技醫療類指數,68.33,-,0.38,-0.55,
玻璃陶瓷類指數,49.48,+,0.65,1.33,
造紙類指數,338.34,+,2.77,0.83,
鋼鐵類指數,140.12,+,1.88,1.36,
橡膠類指數,272.93,+,2.68,0.99,
汽車類指數,411.69,+,1.99,0.49,
電子工業類指數,"1,062.90",+,25.63,2.47,
半導體類指數,515.91,+,14.31,2.85,
電腦及週邊設備類指數,269.85,+,3.75,1.41,
光電類指數,38.39,+,0.14,0.37,
通信網路類指數,150.08,+,1.52,1.02,
電子零組件類指數,226.44,+,5.75,2.61,
電子通路類指數,282.49,+,4.76,1.71,
資訊服務類指數,193.64,-,0.90,-0.46,
其他電子類指數,132.64,+,3.70,2.87,
建材營造類指數,474.95,+,8.26,1.77,
航運類指數,154.86,+,0.41,0.27,
觀光餐旅類指數,126.05,+,0.67,0.53,
金融保險類指數,"1,822.76",+,30.91,1.73,
貿易百貨類指數,279.39,+,2.87,1.04,
油電燃氣類指數,94.42,-,0.49,-0.52,
綠能環保類指數,105.76,+,1.94,1.87,
數位雲端類指數,67.33,+,0.91,1.37,
運動休閒類指數,97.28,+,0.80,0.83,
居家生活類指數,107.15,+,1.04,0.98,
其他類指數,361.81,+,5.87,1.65,
臺指日報酬兩倍指數,"50,130.68",+,"2,016.73",4.19,
臺指反向一倍指數,"3,319.39",-,71.06,-2.10,
電子類兩倍槓桿指數,"60,036.04",+,"2,827.16",4.94,
電子類反向指數,"2,607.13",-,66.05,-2.47,
價格指數(跨市場),,,,,
指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
臺灣生技指數,"3,988.30",+,6.73,0.17,
臺灣中小型公司治理指數,"9,796.79",+,148.35,1.54,
臺灣IPO指數,"5,725.87",+,59.40,1.05,
智慧中立指數,"3,653.65",+,0.68,0.02,
臺灣5G指數,"10,357.78",+,197.14,1.94,
臺灣企業社會責任中小型指數,"12,868.55",+,124.67,0.98,
特選臺灣電動車代表指數,"9,566.27",+,235.17,2.52,
臺灣5G+通訊指數,"8,650.58",+,206.12,2.44,
臺灣全市場指數,"6,989.00",+,142.05,2.07,
臺灣全市場半導體指數,"7,222.25",+,129.90,1.83,
臺灣智慧移動與電動車指數,"5,406.18",+,74.48,1.40,
特選小資高價30指數,"6,970.55",+,148.96,2.18,
特選臺灣綠能及電動車指數,"5,905.70",+,125.74,2.18,
特選臺灣智能車供應鏈聯盟指數,"6,307.45",+,139.41,2.26,
臺灣全市場半導體精選30指數,"5,764.81",+,105.58,1.87,
特選臺灣高股息30指數,"5,725.85",+,5.40,0.09,
臺灣友善環境指數,"6,160.51",+,116.33,1.92,
台灣永續價值指數,"5,595.14",+,128.47,2.35,
特選臺灣IC設計指數,"4,703.55",+,40.19,0.86,
特選臺灣環境永續高股息指數,"7,099.22",+,57.24,0.81,
臺灣友善環境50指數,"5,080.85",+,111.75,2.25,
特選臺灣IC設計產業代表指數,"5,927.64",+,43.11,0.73,
特選臺灣綠能指數,"5,849.51",+,180.36,3.18,
特選臺灣智慧50指數,"4,695.41",+,87.80,1.91,
特選臺灣標竿PCB指數,"5,485.15",+,73.12,1.35,
臺灣晶圓製造指數,"5,997.95",+,113.70,1.93,
臺灣精選高息指數,"5,758.25",-,22.77,-0.39,
臺灣多因子優選高股息30指數,"8,431.24",+,4.71,0.06,
特選臺灣優利高填息30指數,"7,184.51",+,61.57,0.86,
特選臺灣科技優息指數,"9,708.34",+,4.13,0.04,
臺灣工業4.0指數,"7,420.00",+,161.35,2.22,
臺灣半導體收益指數,"6,983.43",+,83.84,1.22,
臺灣優選成長高股息指數,"7,874.68",+,11.30,0.14,
特選臺灣ESG低碳高息40指數,"8,987.56",+,18.58,0.21,
臺灣優選多因子30指數,"7,543.68",+,129.97,1.75,
臺灣創新科技50指數,"6,792.42",+,149.75,2.25,
臺灣全市場新經濟產業指數,"4,822.24",+,50.44,1.06,
臺灣ESG永續高股息等權重指數,"6,586.67",+,32.59,0.50,
臺灣永續高息中小型指數,"6,559.55",-,4.12,-0.06,
特選臺灣高息優質成長指數,"6,206.37",-,6.40,-0.10,
特選臺灣高息動能指數,"6,958.66",+,9.63,0.14,
臺灣電子成長高息等權重指數,"5,802.34",+,63.88,1.11,
特選臺灣優利成長指數,"5,586.61",+,3.89,0.07,
臺灣價值高息指數,"5,963.06",+,2.10,0.04,
特選臺灣IC設計動能指數,"5,258.56",+,100.78,1.95,
臺灣科技高股息指數,"5,965.06",+,0.10,--,
臺灣趨勢動能高股息指數,"5,997.70",+,23.05,0.39,
價格指數(臺灣指數公司),,,,,
指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
金融類日報酬兩倍指數,"36,181.94",+,"1,206.67",3.45,
金融類日報酬反向一倍指數,"4,128.16",-,72.46,-1.72,
漲升股利150指數,"9,796.71",+,145.53,1.51,
藍籌30指數,"9,560.88",+,201.82,2.16,
工業菁英30指數,"10,650.52",+,206.73,1.98,
電子菁英30指數,"12,077.69",+,227.01,1.92,
低波動股利精選30指數,"7,773.80",+,120.29,1.57,
中小型A級動能50指數,"26,457.78",+,336.34,1.29,
特選高息低波指數,"10,033.10",+,102.21,1.03,
臺灣永續指數,"10,433.80",+,236.16,2.32,
價值投資指數,"7,599.45",+,119.39,1.60,
存股雙十等權重指數,"9,379.11",+,113.51,1.23,
特選大蘋果指數,"10,727.79",+,235.45,2.24,
中小型300指數,"11,705.97",+,179.59,1.56,
臺灣500指數,"10,349.13",+,204.66,2.02,
臺灣勞工權益指數,"9,144.24",+,103.50,1.14,
微波高息精選20指數,"8,429.05",+,91.31,1.10,
特選世代行動通訊指數,"8,966.15",+,90.64,1.02,
智慧投資多因子30指數,"6,755.63",+,114.42,1.72,
臺股期貨指數,"11,011.79",+,234.21,2.17,
特選價值成長指數,"9,008.24",+,83.07,0.93,
臺灣上櫃永續指數,"7,652.18",+,51.78,0.68,
特選台股領航指數,"9,642.76",+,198.42,2.10,
特選Smart多因子指數,"8,129.59",+,171.93,2.16,
特選ESG高股息指數,"6,514.05",+,63.41,0.98,
特選上櫃ESG成長指數,"5,632.73",+,38.70,0.69,
特選上櫃ESG電子菁英指數,"5,696.04",+,41.30,0.73,
臺灣優息存股指數,"4,900.44",+,67.94,1.41,
特選上櫃ESG永續高股息指數,"7,987.48",+,77.32,0.98,
特選臺灣金融高股息存股指數,"5,918.69",+,104.83,1.80,
特選臺灣產業龍頭存股等權重指數,"6,769.28",+,88.77,1.33,
上櫃ESG 30指數,"6,732.69",+,21.28,0.32,
臺灣ESG低碳50指數,"7,074.73",+,145.62,2.10,
臺灣創新板指數,"5,539.86",+,6.84,0.12,
特選上櫃ESG龍頭指數,"6,439.67",+,80.46,1.27,
報酬指數(臺灣證券交易所),,,,,
報酬指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
寶島股價報酬指數,"33,494.10",+,649.82,1.98,
發行量加權股價報酬指數,"43,630.49",+,900.52,2.11,
臺灣公司治理100報酬指數,"16,643.67",+,392.41,2.41,
臺灣50報酬指數,"34,553.61",+,880.42,2.61,
臺灣50權重上限30%報酬指數,"31,694.68",+,692.19,2.23,
臺灣中型100報酬指數,"39,457.16",+,570.64,1.47,
臺灣資訊科技股報酬指數,"64,254.49",+,"1,638.42",2.62,
臺灣發達報酬指數,"19,961.67",+,392.94,2.01,
臺灣高股息報酬指數,"28,350.05",+,287.98,1.03,
臺灣就業99報酬指數,"20,547.70",+,353.68,1.75,
臺灣高薪100報酬指數,"16,937.73",+,257.56,1.54,
未含金融電子報酬指數,"33,835.33",+,379.01,1.13,
小型股300報酬指數,"14,950.26",+,181.01,1.23,
水泥類報酬指數,311.07,+,5.17,1.69,
食品類報酬指數,"3,434.05",+,4.30,0.13,
塑膠類報酬指數,356.22,+,6.24,1.78,
紡織纖維類報酬指數,"1,083.46",+,9.03,0.84,
電機機械類報酬指數,637.58,+,18.44,2.98,
電器電纜類報酬指數,171.99,+,3.40,2.02,
化學生技醫療類報酬指數,211.83,+,1.35,0.64,
化學類報酬指數,300.79,+,5.96,2.02,
生技醫療類報酬指數,98.70,-,0.48,-0.48,
玻璃陶瓷類報酬指數,62.79,+,0.84,1.36,
造紙類報酬指數,538.56,+,4.41,0.83,
鋼鐵類報酬指數,245.96,+,3.34,1.38,
橡膠類報酬指數,451.39,+,4.44,0.99,
汽車類報酬指數,672.39,+,3.25,0.49,
電子工業類報酬指數,"2,077.64",+,50.41,2.49,
半導體類報酬指數,945.89,+,26.23,2.85,
電腦及週邊設備類報酬指數,619.77,+,8.60,1.41,
光電類報酬指數,58.59,+,0.48,0.83,
通信網路類報酬指數,326.37,+,3.30,1.02,
電子零組件類報酬指數,436.69,+,11.08,2.60,
電子通路類報酬指數,727.38,+,12.54,1.75,
資訊服務類報酬指數,472.97,+,0.51,0.11,
其他電子類報酬指數,224.67,+,6.28,2.88,
建材營造類報酬指數,998.69,+,17.37,1.77,
航運類報酬指數,297.31,+,0.80,0.27,
觀光餐旅類報酬指數,178.27,+,0.95,0.54,
金融保險類報酬指數,"3,242.12",+,54.97,1.72,
貿易百貨類報酬指數,449.62,+,4.61,1.04,
油電燃氣類報酬指數,151.61,-,0.78,-0.51,
綠能環保類報酬指數,107.89,+,1.99,1.88,
數位雲端類報酬指數,67.60,+,0.91,1.36,
運動休閒類報酬指數,101.00,+,0.83,0.83,
居家生活類報酬指數,110.45,+,1.07,0.98,
其他類報酬指數,635.19,+,10.54,1.69,
報酬指數(跨市場),,,,,
報酬指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
臺灣生技報酬指數,"4,479.45",+,7.57,0.17,
臺灣中小型公司治理報酬指數,"13,399.63",+,202.91,1.54,
臺灣IPO報酬指數,"6,895.52",+,73.73,1.08,
智慧中立報酬指數,"4,565.36",+,0.86,0.02,
加權指數掩護性臺指買權價外5%報酬指數,"8,516.18",+,142.09,1.70,
臺灣5G報酬指數,"12,241.80",+,232.99,1.94,
臺灣企業社會責任中小型報酬指數,"15,680.50",+,151.91,0.98,
特選臺灣電動車代表報酬指數,"11,134.80",+,273.73,2.52,
臺灣5G+通訊報酬指數,"9,887.41",+,238.27,2.47,
臺灣全市場報酬指數,"7,820.71",+,159.69,2.08,
臺灣全市場半導體報酬指數,"8,225.61",+,147.95,1.83,
臺灣智慧移動與電動車報酬指數,"6,154.42",+,91.75,1.51,
特選小資高價30報酬指數,"7,753.05",+,169.32,2.23,
特選臺灣綠能及電動車報酬指數,"6,677.00",+,142.17,2.18,
特選臺灣智能車供應鏈聯盟報酬指數,"7,104.78",+,158.54,2.28,
臺灣全市場半導體精選30報酬指數,"6,450.80",+,118.14,1.87,
特選臺灣高股息30報酬指數,"7,312.13",+,9.99,0.14,
臺灣友善環境報酬指數,"6,840.14",+,129.17,1.92,
台灣永續價值報酬指數,"6,049.95",+,138.92,2.35,
特選臺灣IC設計報酬指數,"5,377.76",+,45.94,0.86,
特選臺灣環境永續高股息報酬指數,"9,150.44",+,73.78,0.81,
臺灣友善環境50報酬指數,"5,655.70",+,124.39,2.25,
特選臺灣IC設計產業代表報酬指數,"6,789.19",+,49.38,0.73,
特選臺灣綠能報酬指數,"6,341.36",+,195.53,3.18,
特選臺灣智慧50報酬指數,"5,295.21",+,100.68,1.94,
特選臺灣標竿PCB報酬指數,"6,020.19",+,80.25,1.35,
臺灣晶圓製造報酬指數,"6,641.80",+,125.89,1.93,
臺灣精選高息報酬指數,"7,494.75",-,29.64,-0.39,
臺灣多因子優選高股息30報酬指數,"9,673.52",+,5.40,0.06,
特選臺灣優利高填息30報酬指數,"8,521.10",+,73.02,0.86,
特選臺灣科技優息報酬指數,"10,395.98",+,4.42,0.04,
臺灣工業4.0報酬指數,"7,656.02",+,166.48,2.22,
臺灣半導體收益報酬指數,"7,446.05",+,89.39,1.22,
臺灣優選成長高股息報酬指數,"8,309.46",+,11.91,0.14,
特選臺灣ESG低碳高息40報酬指數,"9,489.19",+,19.63,0.21,
臺灣優選多因子30報酬指數,"7,763.30",+,133.75,1.75,
臺灣創新科技50報酬指數,"7,116.42",+,156.89,2.25,
臺灣全市場新經濟產業報酬指數,"4,981.27",+,52.11,1.06,
臺灣ESG永續高股息等權重報酬指數,"6,899.93",+,34.15,0.50,
臺灣永續高息中小型報酬指數,"6,673.88",-,4.19,-0.06,
特選臺灣高息優質成長報酬指數,"6,226.24",-,6.41,-0.10,
特選臺灣高息動能報酬指數,"6,969.51",+,9.65,0.14,
臺灣電子成長高息等權重報酬指數,"5,823.48",+,70.50,1.23,
特選臺灣優利成長報酬指數,"5,587.73",+,3.90,0.07,
臺灣價值高息報酬指數,"5,975.76",+,2.10,0.04,
特選臺灣IC設計動能報酬指數,"5,272.45",+,101.05,1.95,
臺灣科技高股息報酬指數,"5,975.21",+,0.10,--,
臺灣趨勢動能高股息報酬指數,"6,005.50",+,23.08,0.39,
報酬指數(臺灣指數公司),,,,,
報酬指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記
漲升股利150報酬指數,"14,057.26",+,212.57,1.54,
藍籌30報酬指數,"12,734.02",+,272.86,2.19,
工業菁英30報酬指數,"14,377.26",+,287.61,2.04,
電子菁英30報酬指數,"15,895.80",+,307.04,1.97,
低波動股利精選30報酬指數,"10,475.12",+,162.09,1.57,
中小型A級動能50報酬指數,"32,150.01",+,408.71,1.29,
特選高息低波報酬指數,"14,651.21",+,149.26,1.03,
臺灣永續報酬指數,"13,884.98",+,314.28,2.32,
價值投資報酬指數,"10,691.68",+,167.96,1.60,
存股雙十等權重報酬指數,"12,744.81",+,162.13,1.29,
特選大蘋果報酬指數,"13,447.05",+,311.36,2.37,
中小型300報酬指數,"14,180.81",+,217.88,1.56,
臺灣500報酬指數,"12,577.37",+,250.23,2.03,
臺灣勞工權益報酬指數,"11,756.56",+,136.93,1.18,
微波高息精選20報酬指數,"10,362.20",+,112.25,1.10,
